date,bankruptcy
2016-05-01,44.0
2016-05-02,84.0
2016-05-03,95.0
2016-05-04,100.0
2016-05-05,94.0
2016-05-06,83.0
2016-05-07,51.0
2016-05-08,43.0
2016-05-09,82.0
2016-05-10,84.0
2016-05-11,90.0
2016-05-12,86.0
2016-05-13,77.0
2016-05-14,45.0
2016-05-15,46.0
2016-05-16,84.0
2016-05-17,87.0
2016-05-18,85.0
2016-05-19,79.0
2016-05-20,67.0
2016-05-21,49.0
2016-05-22,44.0
2016-05-23,77.0
2016-05-24,81.0
2016-05-25,79.0
2016-05-26,73.0
2016-05-27,66.0
2016-05-28,42.0
2016-05-29,38.0
2016-05-30,36.0
2016-05-31,81.0
2016-06-01,78.0
2016-06-02,80.0
2016-06-03,71.0
2016-06-04,46.0
2016-06-05,42.0
2016-06-06,80.0
2016-06-07,79.0
2016-06-08,77.0
2016-06-09,78.0
2016-06-10,86.0
2016-06-11,52.0
2016-06-12,46.0
2016-06-13,74.0
2016-06-14,82.0
2016-06-15,76.0
2016-06-16,73.0
2016-06-17,65.0
2016-06-18,43.0
2016-06-19,39.0
2016-06-20,75.0
2016-06-21,85.0
2016-06-22,76.0
2016-06-23,77.0
2016-06-24,69.0
2016-06-25,43.0
2016-06-26,47.0
2016-06-27,79.0
2016-06-28,85.0
2016-06-29,79.0
2016-06-30,73.0
2016-07-01,62.0
2016-07-02,38.0
2016-07-03,37.0
2016-07-04,38.0
2016-07-05,73.0
2016-07-06,85.0
2016-07-07,77.0
2016-07-08,69.0
2016-07-09,47.0
2016-07-10,43.0
2016-07-11,77.0
2016-07-12,73.0
2016-07-13,84.0
2016-07-14,79.0
2016-07-15,67.0
2016-07-16,44.0
2016-07-17,42.0
2016-07-18,77.0
2016-07-19,80.0
2016-07-20,84.0
2016-07-21,79.0
2016-07-22,77.0
2016-07-23,49.0
2016-07-24,43.0
2016-07-25,81.0
2016-07-26,89.0
2016-07-27,79.0
2016-07-28,79.0
2016-07-29,82.0
2016-07-30,48.0
2016-07-31,45.0
2016-08-01,74.0
2016-08-02,82.0
2016-08-03,78.0
