date,barack obama dinner
2016-05-01,100.0
2016-05-02,69.0
2016-05-03,25.0
2016-05-04,16.0
2016-05-05,10.0
2016-05-06,7.0
2016-05-07,7.0
2016-05-08,6.0
2016-05-09,4.0
2016-05-10,5.0
2016-05-11,2.0
2016-05-12,2.0
2016-05-13,3.0
2016-05-14,4.0
2016-05-15,1.0
2016-05-16,1.0
2016-05-17,2.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,1.0
2016-05-21,0.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,0.0
2016-05-26,3.0
2016-05-27,0.0
2016-05-28,1.0
2016-05-29,0.0
2016-05-30,3.0
2016-05-31,1.0
2016-06-01,0.0
2016-06-02,1.0
2016-06-03,0.0
2016-06-04,4.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,2.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-11,2.0
2016-06-12,1.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,1.0
2016-06-17,0.0
2016-06-18,1.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,1.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,2.0
2016-06-30,0.0
2016-07-01,1.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,1.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,1.0
2016-07-08,1.0
2016-07-09,2.0
2016-07-10,1.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-16,0.0
2016-07-17,1.0
2016-07-18,1.0
2016-07-19,1.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,1.0
2016-07-23,0.0
2016-07-24,1.0
2016-07-25,0.0
2016-07-26,2.0
2016-07-27,1.0
2016-07-28,2.0
2016-07-29,4.0
2016-07-30,0.0
2016-07-31,1.0
2016-08-01,0.0
2016-08-02,1.0
2016-08-03,1.0
2016-08-04,0.0
2016-08-05,3.0
2016-08-06,0.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-09,0.0
2016-08-10,1.0
2016-08-11,0.0
2016-08-12,1.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,1.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,3.0
2016-08-22,0.0
2016-08-23,1.0
2016-08-24,1.0
2016-08-25,1.0
2016-08-26,3.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,2.0
2016-09-02,1.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,1.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,1.0
2016-09-09,1.0
2016-09-10,1.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,1.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-18,1.0
2016-09-19,1.0
2016-09-20,0.0
2016-09-21,1.0
2016-09-22,1.0
2016-09-23,0.0
2016-09-24,1.0
2016-09-25,0.0
2016-09-26,1.0
2016-09-27,4.0
2016-09-28,2.0
2016-09-29,2.0
2016-09-30,1.0
2016-10-01,0.5
2016-10-02,0.8244575936883629
2016-10-03,1.1745562130177514
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,1.1745562130177514
2016-10-07,0.5
2016-10-08,1.324457593688363
2016-10-09,1.0
2016-10-10,1.04930966469428
2016-10-11,1.04930966469428
2016-10-12,1.749506903353057
2016-10-13,1.9240631163708086
2016-10-14,1.6745562130177514
2016-10-15,2.324457593688363
2016-10-16,0.0
2016-10-17,0.5
2016-10-18,1.6745562130177514
2016-10-19,7.122287968441814
2016-10-20,5.773175542406312
2016-10-21,18.49506903353057
2016-10-22,4.848126232741617
2016-10-23,3.523668639053254
2016-10-24,2.04930966469428
2016-10-25,2.54930966469428
2016-10-26,2.8491124260355027
2016-10-27,1.1745562130177514
2016-10-28,2.4240631163708084
2016-10-29,2.824457593688363
2016-10-30,1.324457593688363
2016-10-31,0.6745562130177514
2016-11-01,1.9240631163708086
2016-11-02,2.6982248520710055
2016-11-03,1.3491124260355027
2016-11-04,1.4990138067061143
2016-11-05,1.4990138067061143
2016-11-06,1.6489151873767258
2016-11-07,2.6982248520710055
2016-11-08,1.3491124260355027
2016-11-09,6.895463510848126
2016-11-10,6.895463510848126
2016-11-11,9.293885601577909
2016-11-12,3.14792899408284
2016-11-13,5.396449704142011
2016-11-14,1.3491124260355027
2016-11-15,2.6982248520710055
2016-11-16,4.796844181459566
2016-11-17,2.09861932938856
2016-11-18,1.3491124260355027
2016-11-19,1.6489151873767258
2016-11-20,0.0
