date,benghazi
2016-05-01,8.0
2016-05-02,6.0
2016-05-03,6.0
2016-05-04,13.0
2016-05-05,13.0
2016-05-06,12.0
2016-05-07,11.0
2016-05-08,11.0
2016-05-09,8.0
2016-05-10,10.0
2016-05-11,11.0
2016-05-12,11.0
2016-05-13,8.0
2016-05-14,9.0
2016-05-15,8.0
2016-05-16,8.0
2016-05-17,8.0
2016-05-18,8.0
2016-05-19,8.0
2016-05-20,7.0
2016-05-21,9.0
2016-05-22,9.0
2016-05-23,7.0
2016-05-24,15.0
2016-05-25,23.0
2016-05-26,28.0
2016-05-27,28.0
2016-05-28,30.0
2016-05-29,32.0
2016-05-30,27.0
2016-05-31,20.0
2016-06-01,18.0
2016-06-02,19.0
2016-06-03,21.0
2016-06-04,26.0
2016-06-05,28.0
2016-06-06,18.0
2016-06-07,19.0
2016-06-08,30.0
2016-06-09,29.0
2016-06-10,31.0
2016-06-11,43.0
2016-06-12,48.0
2016-06-13,28.0
2016-06-14,20.0
2016-06-15,17.0
2016-06-16,16.0
2016-06-17,16.0
2016-06-18,25.0
2016-06-19,29.0
2016-06-20,16.0
2016-06-21,18.0
2016-06-22,14.0
2016-06-23,14.0
2016-06-24,15.0
2016-06-25,20.0
2016-06-26,24.0
2016-06-27,20.0
2016-06-28,100.0
2016-06-29,68.0
2016-06-30,32.0
2016-07-01,22.0
2016-07-02,28.0
2016-07-03,33.0
2016-07-04,26.0
2016-07-05,26.0
2016-07-06,23.0
2016-07-07,21.0
2016-07-08,16.0
2016-07-09,18.0
2016-07-10,19.0
2016-07-11,12.0
2016-07-12,10.0
2016-07-13,9.0
2016-07-14,11.0
2016-07-15,13.0
2016-07-16,15.0
2016-07-17,18.0
2016-07-18,14.0
2016-07-19,69.0
2016-07-20,28.0
2016-07-21,24.0
2016-07-22,22.0
2016-07-23,24.0
2016-07-24,28.0
2016-07-25,18.0
2016-07-26,20.0
2016-07-27,23.0
2016-07-28,24.0
2016-07-29,34.0
2016-07-30,25.0
2016-07-31,26.0
2016-08-01,26.0
2016-08-02,27.0
2016-08-03,18.0
2016-08-04,14.0
2016-08-05,15.0
2016-08-06,14.0
2016-08-07,16.0
2016-08-08,11.0
2016-08-09,24.0
2016-08-10,15.0
2016-08-11,11.0
2016-08-12,10.0
2016-08-13,13.0
2016-08-14,13.0
2016-08-15,10.0
2016-08-16,8.0
2016-08-17,8.0
2016-08-18,7.0
2016-08-19,7.0
2016-08-20,10.0
2016-08-21,10.0
2016-08-22,8.0
2016-08-23,7.0
2016-08-24,6.0
2016-08-25,7.0
2016-08-26,8.0
2016-08-27,8.0
2016-08-28,11.0
2016-08-29,6.0
2016-08-30,7.0
2016-08-31,10.0
2016-09-01,8.0
2016-09-02,8.0
2016-09-03,7.0
2016-09-04,8.0
2016-09-05,8.0
2016-09-06,8.0
2016-09-07,7.0
2016-09-08,10.0
2016-09-09,8.0
2016-09-10,8.0
2016-09-11,17.0
2016-09-12,13.0
2016-09-13,8.0
2016-09-14,8.0
2016-09-15,7.0
2016-09-16,7.0
2016-09-17,8.0
2016-09-18,8.0
2016-09-19,7.0
2016-09-20,6.0
2016-09-21,6.0
2016-09-22,5.0
2016-09-23,7.0
2016-09-24,9.0
2016-09-25,9.0
2016-09-26,11.0
2016-09-27,34.0
2016-09-28,20.0
2016-09-29,15.0
2016-09-30,13.0
2016-10-01,13.877870563674321
2016-10-02,14.190501043841337
2016-10-03,12.752609603340293
2016-10-04,12.252609603340293
2016-10-05,11.939979123173277
2016-10-06,9.689457202505219
2016-10-07,10.314718162839249
2016-10-08,24.69258872651357
2016-10-09,30.318893528183715
2016-10-10,48.197807933194156
2016-10-11,27.568371607515658
2016-10-12,25.505219206680586
2016-10-13,19.691544885177453
2016-10-14,20.191544885177453
2016-10-15,20.191544885177453
2016-10-16,22.254697286012526
2016-10-17,17.25365344467641
2016-10-18,21.629436325678498
2016-10-19,29.193632567849686
2016-10-20,28.881002087682674
2016-10-21,16.441022964509393
2016-10-22,17.25365344467641
2016-10-23,20.004175365344466
2016-10-24,12.752609603340293
2016-10-25,13.065240083507307
2016-10-26,11.939979123173277
2016-10-27,13.877870563674321
2016-10-28,13.877870563674321
2016-10-29,16.628392484342378
2016-10-30,16.128392484342378
2016-10-31,13.065240083507307
2016-11-01,13.377870563674321
2016-11-02,14.381002087682672
2016-11-03,17.50730688935282
2016-11-04,15.006263048016702
2016-11-05,18.132567849686847
2016-11-06,20.633611691022963
2016-11-07,21.884133611691023
2016-11-08,39.39144050104384
2016-11-09,62.52609603340292
2016-11-10,33.76409185803758
2016-11-11,19.383089770354907
2016-11-12,19.383089770354907
2016-11-13,14.381002087682672
2016-11-14,8.75365344467641
2016-11-15,8.12839248434238
2016-11-16,8.12839248434238
2016-11-17,6.877870563674321
2016-11-18,7.503131524008351
2016-11-19,8.12839248434238
2016-11-20,8.75365344467641
2016-11-21,6.252609603340292
2016-11-22,5.627348643006263
2016-11-23,4.376826722338205
2016-11-24,5.002087682672234
2016-11-25,5.002087682672234
2016-11-26,5.627348643006263
2016-11-27,8.12839248434238
2016-11-28,5.002087682672234
2016-11-29,5.002087682672234
2016-11-30,3.7515657620041756
2016-12-01,4.376826722338205
2016-12-02,3.7515657620041756
2016-12-03,5.627348643006263
2016-12-04,4.376826722338205
2016-12-05,4.376826722338205
2016-12-06,3.126304801670146
2016-12-07,3.7515657620041756
2016-12-08,3.7515657620041756
2016-12-09,4.376826722338205
2016-12-10,3.7515657620041756
2016-12-11,6.252609603340292
2016-12-12,3.7515657620041756
2016-12-13,5.002087682672234
2016-12-14,3.7515657620041756
2016-12-15,3.7515657620041756
2016-12-16,4.376826722338205
2016-12-17,5.627348643006263
2016-12-18,5.002087682672234
2016-12-19,5.627348643006263
2016-12-20,7.503131524008351
2016-12-21,5.002087682672234
2016-12-22,5.627348643006263
2016-12-23,3.7515657620041756
2016-12-24,5.002087682672234
2016-12-25,5.627348643006263
2016-12-26,5.002087682672234
2016-12-27,5.002087682672234
2016-12-28,3.7515657620041756
2016-12-29,3.7515657620041756
2016-12-30,4.376826722338205
2016-12-31,5.627348643006263
2017-01-01,8.75365344467641
2017-01-02,8.12839248434238
2017-01-03,7.503131524008351
2017-01-04,5.627348643006263
2017-01-05,6.252609603340292
2017-01-06,6.252609603340292
2017-01-07,10.004175365344468
2017-01-08,11.254697286012526
2017-01-09,6.252609603340292
2017-01-10,6.877870563674321
2017-01-11,6.252609603340292
2017-01-12,4.376826722338205
2017-01-13,6.252609603340292
2017-01-14,8.12839248434238
2017-01-15,9.378914405010438
2017-01-16,7.503131524008351
2017-01-17,5.002087682672234
2017-01-18,4.376826722338205
2017-01-19,4.376826722338205
2017-01-20,5.627348643006263
2017-01-21,8.75365344467641
2017-01-22,11.254697286012526
2017-01-23,7.503131524008351
2017-01-24,5.627348643006263
2017-01-25,5.002087682672234
2017-01-26,5.627348643006263
2017-01-27,5.002087682672234
2017-01-28,5.627348643006263
2017-01-29,10.004175365344468
2017-01-30,6.877870563674321
2017-01-31,4.376826722338205
2017-02-01,5.002087682672234
2017-02-02,5.002087682672234
2017-02-03,6.252609603340292
2017-02-04,7.503131524008351
2017-02-05,6.877870563674321
2017-02-06,4.376826722338205
2017-02-07,4.376826722338205
2017-02-08,4.376826722338205
2017-02-09,5.627348643006263
2017-02-10,4.376826722338205
2017-02-11,6.252609603340292
2017-02-12,6.252609603340292
2017-02-13,4.376826722338205
2017-02-14,5.002087682672234
2017-02-15,6.252609603340292
2017-02-16,5.627348643006263
2017-02-17,5.002087682672234
2017-02-18,5.627348643006263
2017-02-19,6.877870563674321
2017-02-20,5.002087682672234
2017-02-21,4.376826722338205
2017-02-22,3.126304801670146
2017-02-23,3.126304801670146
2017-02-24,3.7515657620041756
2017-02-25,5.627348643006263
2017-02-26,7.503131524008351
2017-02-27,6.252609603340292
2017-02-28,5.002087682672234
2017-03-01,4.668363102633989
2017-03-02,5.420984665964128
2017-03-03,5.8862488687842935
2017-03-04,5.300987097828731
2017-03-05,8.06411518001778
2017-03-06,3.595748024276122
2017-03-07,3.283117544109107
2017-03-08,3.6757464030330538
2017-03-09,3.283117544109107
2017-03-10,3.043122407838312
2017-03-11,7.631487131715369
2017-03-12,5.6936159567526765
2017-03-13,3.3957520773837926
2017-03-14,3.475750456140724
2017-03-15,3.0031232184598458
2017-03-16,2.9631240290813796
2017-03-17,3.7557447817899856
2017-03-18,3.595748024276122
2017-03-19,4.628363913255523
2017-03-20,3.403115112244505
2017-03-21,3.0831215972167776
2017-03-22,3.0031232184598458
2017-03-23,2.770491117049763
2017-03-24,3.6757464030330538
2017-03-25,3.9157415393038493
2017-03-26,4.068375261957
2017-03-27,3.475750456140724
2017-03-28,2.5704951701574332
2017-03-29,2.4104984126435696
2017-03-30,2.0578687430980893
2017-03-31,3.323116733487573
2017-04-01,3.5557488348976563
2017-04-02,3.839922180332727
2017-04-03,3.3599319077911365
2017-04-04,3.9999189378465907
2017-04-05,4.879901104172841
2017-04-06,3.519928665305
2017-04-07,4.079917316603523
2017-04-08,4.239914074117387
2017-04-09,4.239914074117387
2017-04-10,2.7999432564926137
2017-04-11,2.559948120221818
2017-04-12,2.159956226437159
2017-04-13,2.4799497414648863
2017-04-14,3.199935150277273
2017-04-15,3.919920559089659
2017-04-16,3.599927044061932
2017-04-17,2.9599400140064773
2017-04-18,2.159956226437159
2017-04-19,1.839962711409432
2017-04-20,2.079957847680227
2017-04-21,2.239954605194091
2017-04-22,2.7999432564926137
2017-04-23,3.7599238015757956
2017-04-24,2.3999513627079545
2017-04-25,2.63994649897875
2017-04-26,2.239954605194091
2017-04-27,2.3999513627079545
2017-04-28,2.3199529839510227
2017-04-29,2.7999432564926137
2017-04-30,3.519928665305
2017-05-01,2.9599400140064773
2017-05-02,2.3199529839510227
2017-05-03,2.079957847680227
2017-05-04,2.3199529839510227
2017-05-05,1.9999594689232953
2017-05-06,2.9599400140064773
2017-05-07,4.319912452874318
2017-05-08,3.119936771520341
2017-05-09,2.4799497414648863
2017-05-10,3.7599238015757956
2017-05-11,2.7999432564926137
2017-05-12,3.599927044061932
2017-05-13,2.9599400140064773
2017-05-14,3.3599319077911365
2017-05-15,2.63994649897875
2017-05-16,2.9599400140064773
2017-05-17,2.9599400140064773
2017-05-18,3.7599238015757956
2017-05-19,2.3999513627079545
2017-05-20,2.7999432564926137
2017-05-21,3.039938392763409
2017-05-22,3.119936771520341
2017-05-23,2.9599400140064773
2017-05-24,3.119936771520341
2017-05-25,3.119936771520341
2017-05-26,3.679925422818864
