date,cognitive impairment
2016-05-01,34.0
2016-05-02,39.0
2016-05-03,51.0
2016-05-04,48.0
2016-05-05,40.0
2016-05-06,72.0
2016-05-07,35.0
2016-05-08,61.0
2016-05-09,74.0
2016-05-10,54.0
2016-05-11,57.0
2016-05-12,58.0
2016-05-13,53.0
2016-05-14,30.0
2016-05-15,45.0
2016-05-16,55.0
2016-05-17,56.0
2016-05-18,48.0
2016-05-19,48.0
2016-05-20,50.0
2016-05-21,42.0
2016-05-22,42.0
2016-05-23,58.0
2016-05-24,51.0
2016-05-25,74.0
2016-05-26,34.0
2016-05-27,59.0
2016-05-28,15.0
2016-05-29,34.0
2016-05-30,43.0
2016-05-31,49.0
2016-06-01,61.0
2016-06-02,49.0
2016-06-03,51.0
2016-06-04,20.0
2016-06-05,23.0
2016-06-06,58.0
2016-06-07,38.0
2016-06-08,52.0
2016-06-09,59.0
2016-06-10,61.0
2016-06-11,30.0
2016-06-12,45.0
2016-06-13,48.0
2016-06-14,35.0
2016-06-15,51.0
2016-06-16,59.0
2016-06-17,48.0
2016-06-18,23.0
2016-06-19,42.0
2016-06-20,58.0
2016-06-21,42.0
2016-06-22,36.0
2016-06-23,62.0
2016-06-24,44.0
2016-06-25,27.0
2016-06-26,38.0
2016-06-27,61.0
2016-06-28,42.0
2016-06-29,82.0
2016-06-30,63.0
2016-07-01,24.0
2016-07-02,23.0
2016-07-03,20.0
2016-07-04,41.0
2016-07-05,34.0
2016-07-06,54.0
2016-07-07,57.0
2016-07-08,38.0
2016-07-09,27.0
2016-07-10,35.0
2016-07-11,43.0
2016-07-12,45.0
2016-07-13,63.0
2016-07-14,30.0
2016-07-15,44.0
2016-07-16,39.0
2016-07-17,28.0
2016-07-18,57.0
2016-07-19,47.0
2016-07-20,70.0
2016-07-21,37.0
2016-07-22,34.0
2016-07-23,43.0
2016-07-24,31.0
2016-07-25,36.0
2016-07-26,59.0
2016-07-27,46.0
2016-07-28,47.0
2016-07-29,55.0
2016-07-30,47.0
2016-07-31,27.0
2016-08-01,43.0
2016-08-02,59.0
2016-08-03,53.0
2016-08-04,57.0
2016-08-05,83.0
2016-08-06,40.0
2016-08-07,27.0
2016-08-08,23.0
2016-08-09,33.0
2016-08-10,39.0
2016-08-11,54.0
2016-08-12,61.0
2016-08-13,35.0
2016-08-14,31.0
2016-08-15,80.0
2016-08-16,60.0
2016-08-17,53.0
2016-08-18,57.0
2016-08-19,62.0
2016-08-20,42.0
2016-08-21,45.0
2016-08-22,55.0
2016-08-23,79.0
2016-08-24,88.0
2016-08-25,90.0
2016-08-26,37.0
2016-08-27,34.0
2016-08-28,45.0
2016-08-29,44.0
2016-08-30,60.0
2016-08-31,60.0
2016-09-01,71.0
2016-09-02,64.0
2016-09-03,30.0
2016-09-04,34.0
2016-09-05,33.0
2016-09-06,57.0
2016-09-07,58.0
2016-09-08,61.0
2016-09-09,56.0
2016-09-10,33.0
2016-09-11,26.0
2016-09-12,45.0
2016-09-13,66.0
2016-09-14,38.0
2016-09-15,90.0
2016-09-16,57.0
2016-09-17,44.0
2016-09-18,36.0
2016-09-19,47.0
2016-09-20,34.0
2016-09-21,50.0
2016-09-22,38.0
2016-09-23,56.0
2016-09-24,11.0
2016-09-25,33.0
2016-09-26,62.0
2016-09-27,52.0
2016-09-28,47.0
2016-09-29,47.0
2016-09-30,42.0
2016-10-01,30.51783783783784
2016-10-02,26.218918918918916
2016-10-03,48.809729729729725
2016-10-04,64.98054054054055
2016-10-05,60.681621621621616
2016-10-06,46.42
2016-10-07,50.32216216216216
2016-10-08,42.99297297297297
2016-10-09,51.52324324324324
2016-10-10,59.52324324324324
2016-10-11,61.08378378378379
2016-10-12,66.55351351351351
2016-10-13,66.54108108108107
2016-10-14,54.895135135135135
2016-10-15,27.005405405405405
2016-10-16,38.69405405405405
2016-10-17,31.26162162162162
2016-10-18,42.236756756756755
2016-10-19,68.2545945945946
2016-10-20,41.62108108108108
2016-10-21,65.16918918918918
2016-10-22,45.86486486486486
2016-10-23,33.20648648648648
2016-10-24,73.2545945945946
2016-10-25,67.4254054054054
2016-10-26,87.95567567567568
2016-10-27,93.22972972972973
2016-10-28,52.35243243243244
2016-10-29,35.83459459459459
2016-10-30,46.02324324324324
2016-10-31,51.82216216216216
2016-11-01,59.72432432432433
2016-11-02,53.96108108108108
2016-11-03,81.39891891891892
2016-11-04,50.3027027027027
2016-11-05,41.15675675675676
2016-11-06,33.839999999999996
2016-11-07,53.96108108108108
2016-11-08,55.79027027027027
2016-11-09,52.13189189189189
2016-11-10,63.10702702702702
2016-11-11,41.15675675675676
2016-11-12,24.694054054054053
2016-11-13,31.096216216216217
2016-11-14,70.42378378378378
2016-11-15,80.48432432432432
2016-11-16,59.44864864864865
2016-11-17,64.02162162162162
2016-11-18,31.096216216216217
2016-11-19,55.79027027027027
2016-11-20,37.498378378378376
2016-11-21,67.67999999999999
2016-11-22,53.04648648648649
2016-11-23,53.96108108108108
2016-11-24,33.839999999999996
2016-11-25,40.24216216216216
2016-11-26,23.77945945945946
2016-11-27,40.24216216216216
2016-11-28,50.3027027027027
2016-11-29,61.277837837837836
2016-11-30,55.79027027027027
2016-12-01,84.1427027027027
2016-12-02,52.13189189189189
2016-12-03,20.12108108108108
2016-12-04,30.18162162162162
2016-12-05,67.67999999999999
2016-12-06,76.82594594594595
2016-12-07,74.08216216216216
2016-12-08,64.93621621621621
2016-12-09,38.41297297297297
2016-12-10,27.437837837837836
2016-12-11,21.035675675675677
2016-12-12,64.93621621621621
2016-12-13,58.53405405405405
2016-12-14,68.5945945945946
2016-12-15,45.729729729729726
2016-12-16,50.3027027027027
2016-12-17,17.377297297297297
2016-12-18,38.41297297297297
2016-12-19,48.47351351351351
2016-12-20,40.24216216216216
2016-12-21,50.3027027027027
2016-12-22,51.21729729729729
2016-12-23,32.92540540540541
2016-12-24,19.206486486486487
2016-12-25,27.437837837837836
2016-12-26,23.77945945945946
2016-12-27,50.3027027027027
2016-12-28,42.07135135135135
2016-12-29,19.206486486486487
2016-12-30,40.24216216216216
2016-12-31,36.58378378378379
2017-01-01,22.864864864864863
2017-01-02,31.096216216216217
2017-01-03,47.55891891891892
2017-01-04,37.498378378378376
2017-01-05,21.035675675675677
2017-01-06,40.24216216216216
2017-01-07,26.523243243243243
2017-01-08,40.24216216216216
2017-01-09,58.53405405405405
2017-01-10,52.13189189189189
2017-01-11,51.21729729729729
2017-01-12,74.99675675675675
2017-01-13,47.55891891891892
2017-01-14,33.839999999999996
2017-01-15,53.04648648648649
2017-01-16,45.729729729729726
2017-01-17,52.13189189189189
2017-01-18,49.388108108108106
2017-01-19,50.3027027027027
2017-01-20,77.74054054054054
2017-01-21,46.64432432432432
2017-01-22,6.402162162162162
2017-01-23,40.24216216216216
2017-01-24,51.21729729729729
2017-01-25,68.5945945945946
2017-01-26,66.7654054054054
2017-01-27,21.035675675675677
2017-01-28,36.58378378378379
2017-01-29,30.18162162162162
2017-01-30,65.85081081081081
2017-01-31,74.99675675675675
2017-02-01,63.10702702702702
2017-02-02,40.24216216216216
2017-02-03,56.70486486486487
2017-02-04,53.04648648648649
2017-02-05,38.41297297297297
2017-02-06,42.98594594594594
2017-02-07,56.70486486486487
2017-02-08,47.55891891891892
2017-02-09,51.21729729729729
2017-02-10,56.70486486486487
2017-02-11,46.64432432432432
2017-02-12,55.79027027027027
2017-02-13,75.91135135135136
2017-02-14,57.619459459459456
2017-02-15,78.65513513513514
2017-02-16,54.87567567567567
2017-02-17,51.21729729729729
2017-02-18,50.3027027027027
2017-02-19,46.64432432432432
2017-02-20,48.47351351351351
2017-02-21,59.44864864864865
2017-02-22,45.729729729729726
2017-02-23,37.498378378378376
2017-02-24,53.96108108108108
2017-02-25,40.24216216216216
2017-02-26,62.19243243243243
2017-02-27,66.7654054054054
2017-02-28,58.53405405405405
2017-03-01,73.70964012140483
2017-03-02,61.50689405983523
2017-03-03,72.25949414655297
2017-03-04,34.577300187888426
2017-03-05,42.06564532446886
2017-03-06,60.40277785807198
2017-03-07,70.98378956496603
2017-03-08,64.61178783061136
2017-03-09,54.948223731753146
2017-03-10,43.43753721636075
2017-03-11,40.1582020523197
2017-03-12,38.975831767596475
2017-03-13,78.72483017777137
2017-03-14,53.97045526810233
2017-03-15,68.58603555427085
2017-03-16,75.82453822806764
2017-03-17,44.24086428674664
2017-03-18,27.245463217227922
2017-03-19,42.06564532446886
2017-03-20,44.35213181095534
2017-03-21,69.31110854169677
2017-03-22,71.64568868333575
2017-03-23,64.25067784361903
2017-03-24,56.93392108686227
