date,crooked hillary
2016-05-01,4.0
2016-05-02,6.0
2016-05-03,6.0
2016-05-04,11.0
2016-05-05,13.0
2016-05-06,20.0
2016-05-07,14.0
2016-05-08,11.0
2016-05-09,5.0
2016-05-10,9.0
2016-05-11,7.0
2016-05-12,10.0
2016-05-13,7.0
2016-05-14,5.0
2016-05-15,13.0
2016-05-16,10.0
2016-05-17,32.0
2016-05-18,12.0
2016-05-19,11.0
2016-05-20,10.0
2016-05-21,13.0
2016-05-22,13.0
2016-05-23,8.0
2016-05-24,8.0
2016-05-25,10.0
2016-05-26,14.0
2016-05-27,19.0
2016-05-28,13.0
2016-05-29,9.0
2016-05-30,9.0
2016-05-31,6.0
2016-06-01,8.0
2016-06-02,37.0
2016-06-03,36.0
2016-06-04,22.0
2016-06-05,71.0
2016-06-06,100.0
2016-06-07,23.0
2016-06-08,54.0
2016-06-09,33.0
2016-06-10,55.0
2016-06-11,57.0
2016-06-12,24.0
2016-06-13,15.0
2016-06-14,12.0
2016-06-15,13.0
2016-06-16,7.0
2016-06-17,8.0
2016-06-18,9.0
2016-06-19,10.0
2016-06-20,5.0
2016-06-21,10.0
2016-06-22,46.0
2016-06-23,54.0
2016-06-24,82.0
2016-06-25,43.0
2016-06-26,24.0
2016-06-27,21.0
2016-06-28,16.0
2016-06-29,16.0
2016-06-30,11.0
2016-07-01,14.0
2016-07-02,20.0
2016-07-03,16.0
2016-07-04,15.0
2016-07-05,39.0
2016-07-06,47.0
2016-07-07,33.0
2016-07-08,16.0
2016-07-09,10.0
2016-07-10,7.0
2016-07-11,9.0
2016-07-12,12.0
2016-07-13,12.0
2016-07-14,24.0
2016-07-15,28.0
2016-07-16,20.0
2016-07-17,18.0
2016-07-18,16.0
2016-07-19,16.0
2016-07-20,13.0
2016-07-21,17.0
2016-07-22,21.0
2016-07-23,15.0
2016-07-24,69.0
2016-07-25,33.0
2016-07-26,42.0
2016-07-27,25.0
2016-07-28,40.0
2016-07-29,40.0
2016-07-30,23.0
2016-07-31,24.0
2016-08-01,16.0
2016-08-02,14.0
2016-08-03,11.0
2016-08-04,11.0
2016-08-05,8.0
2016-08-06,12.0
2016-08-07,10.0
2016-08-08,10.0
2016-08-09,11.0
2016-08-10,9.0
2016-08-11,11.0
2016-08-12,13.0
2016-08-13,10.0
2016-08-14,14.0
2016-08-15,12.0
2016-08-16,11.0
2016-08-17,13.0
2016-08-18,12.0
2016-08-19,8.0
2016-08-20,8.0
2016-08-21,6.0
2016-08-22,9.0
2016-08-23,7.0
2016-08-24,9.0
2016-08-25,11.0
2016-08-26,8.0
2016-08-27,9.0
2016-08-28,7.0
2016-08-29,8.0
2016-08-30,8.0
2016-08-31,6.0
2016-09-01,10.0
2016-09-02,7.0
2016-09-03,9.0
2016-09-04,8.0
2016-09-05,8.0
2016-09-06,7.0
2016-09-07,8.0
2016-09-08,5.0
2016-09-09,6.0
2016-09-10,7.0
2016-09-11,5.0
2016-09-12,17.0
2016-09-13,9.0
2016-09-14,10.0
2016-09-15,8.0
2016-09-16,6.0
2016-09-17,10.0
2016-09-18,6.0
2016-09-19,8.0
2016-09-20,7.0
2016-09-21,7.0
2016-09-22,9.0
2016-09-23,6.0
2016-09-24,9.0
2016-09-25,5.0
2016-09-26,21.0
2016-09-27,29.0
2016-09-28,14.0
2016-09-29,12.0
2016-09-30,21.0
2016-10-01,13.46946564885496
2016-10-02,12.96946564885496
2016-10-03,8.412213740458014
2016-10-04,7.633587786259541
2016-10-05,8.412213740458014
2016-10-06,5.354961832061068
2016-10-07,6.614503816793893
2016-10-08,9.912213740458014
2016-10-09,9.67175572519084
2016-10-10,17.30534351145038
2016-10-11,18.862595419847327
2016-10-12,17.286259541984734
2016-10-13,16.30534351145038
2016-10-14,15.545801526717558
2016-10-15,13.767175572519083
2016-10-16,12.767175572519083
2016-10-17,18.083969465648856
2016-10-18,17.32442748091603
2016-10-19,17.267175572519083
2016-10-20,22.217557251908396
2016-10-21,11.950381679389313
2016-10-22,14.748091603053435
2016-10-23,12.488549618320612
2016-10-24,13.767175572519083
2016-10-25,12.488549618320612
2016-10-26,14.267175572519083
2016-10-27,11.988549618320612
2016-10-28,19.12213740458015
2016-10-29,29.572519083969464
2016-10-30,21.603053435114504
2016-10-31,23.198473282442748
2016-11-01,21.62213740458015
2016-11-02,22.839694656488547
2016-11-03,23.877862595419845
2016-11-04,23.877862595419845
2016-11-05,25.954198473282442
2016-11-06,23.358778625954198
2016-11-07,29.068702290076335
2016-11-08,39.45038167938931
2016-11-09,51.908396946564885
2016-11-10,19.206106870229007
2016-11-11,12.458015267175572
2016-11-12,10.900763358778626
2016-11-13,8.305343511450381
2016-11-14,6.229007633587786
2016-11-15,5.190839694656488
2016-11-16,5.190839694656488
2016-11-17,6.748091603053435
2016-11-18,4.67175572519084
2016-11-19,2.0763358778625953
2016-11-20,3.633587786259542
2016-11-21,2.595419847328244
2016-11-22,3.114503816793893
2016-11-23,3.114503816793893
2016-11-24,4.67175572519084
2016-11-25,2.595419847328244
2016-11-26,1.0381679389312977
2016-11-27,3.633587786259542
2016-11-28,2.0763358778625953
2016-11-29,4.152671755725191
2016-11-30,3.114503816793893
2016-12-01,1.5572519083969465
2016-12-02,4.152671755725191
2016-12-03,4.67175572519084
2016-12-04,1.0381679389312977
2016-12-05,2.595419847328244
2016-12-06,1.0381679389312977
2016-12-07,2.0763358778625953
2016-12-08,1.5572519083969465
2016-12-09,3.114503816793893
2016-12-10,1.5572519083969465
2016-12-11,2.0763358778625953
2016-12-12,1.5572519083969465
2016-12-13,0.5190839694656488
2016-12-14,5.190839694656488
2016-12-15,16.610687022900763
2016-12-16,6.229007633587786
2016-12-17,4.152671755725191
2016-12-18,3.114503816793893
2016-12-19,1.0381679389312977
2016-12-20,1.5572519083969465
2016-12-21,3.114503816793893
2016-12-22,2.595419847328244
2016-12-23,0.0
2016-12-24,1.5572519083969465
2016-12-25,2.595419847328244
2016-12-26,0.5190839694656488
2016-12-27,1.0381679389312977
2016-12-28,4.152671755725191
2016-12-29,2.0763358778625953
2016-12-30,1.0381679389312977
2016-12-31,1.0381679389312977
2017-01-01,1.0381679389312977
2017-01-02,2.0763358778625953
2017-01-03,2.595419847328244
2017-01-04,1.5572519083969465
2017-01-05,1.0381679389312977
2017-01-06,1.0381679389312977
2017-01-07,2.0763358778625953
2017-01-08,2.0763358778625953
2017-01-09,2.0763358778625953
2017-01-10,1.5572519083969465
2017-01-11,0.5190839694656488
2017-01-12,1.5572519083969465
2017-01-13,1.5572519083969465
2017-01-14,1.5572519083969465
2017-01-15,1.5572519083969465
2017-01-16,2.0763358778625953
2017-01-17,2.595419847328244
2017-01-18,2.0763358778625953
2017-01-19,1.5572519083969465
2017-01-20,3.633587786259542
2017-01-21,3.633587786259542
2017-01-22,3.633587786259542
2017-01-23,2.595419847328244
2017-01-24,3.114503816793893
2017-01-25,2.0763358778625953
2017-01-26,0.5190839694656488
2017-01-27,1.5572519083969465
2017-01-28,4.152671755725191
2017-01-29,1.0381679389312977
