date,donald trump release tax returns
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,14.0
2016-05-06,14.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,13.0
2016-05-12,13.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,13.0
2016-05-17,13.0
2016-05-18,0.0
2016-05-19,13.0
2016-05-20,27.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,27.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,13.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,13.0
2016-06-30,13.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,14.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,14.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,14.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,40.0
2016-07-28,27.0
2016-07-29,0.0
2016-07-30,48.0
2016-07-31,16.0
2016-08-01,13.0
2016-08-02,27.0
2016-08-03,13.0
2016-08-04,13.0
2016-08-05,14.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,27.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,31.0
2016-08-14,16.0
2016-08-15,0.0
2016-08-16,13.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,15.0
2016-08-22,0.0
2016-08-23,27.0
2016-08-24,13.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,15.0
2016-08-28,15.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,14.0
2016-09-03,15.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,13.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,15.0
2016-09-12,26.0
2016-09-13,13.0
2016-09-14,26.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,25.0
2016-09-21,13.0
2016-09-22,13.0
2016-09-23,13.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,100.0
2016-09-28,64.0
2016-09-29,26.0
2016-09-30,0.0
2016-10-01,19.378048780487806
2016-10-02,40.424119241192415
2016-10-03,14.130081300813007
2016-10-04,10.065040650406504
2016-10-05,14.401084010840108
2016-10-06,6.5
2016-10-07,10.836043360433603
2016-10-08,0.0
2016-10-09,12.378048780487806
2016-10-10,0.0
2016-10-11,10.065040650406504
2016-10-12,4.0650406504065035
2016-10-13,0.0
2016-10-14,4.336043360433604
2016-10-15,4.878048780487805
2016-10-16,4.878048780487805
2016-10-17,0.0
2016-10-18,12.5
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,4.336043360433604
2016-10-22,0.0
2016-10-23,4.878048780487805
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,4.336043360433604
2016-10-29,4.878048780487805
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,12.737127371273711
2016-11-02,8.130081300813007
2016-11-03,0.0
2016-11-04,16.802168021680217
2016-11-05,9.214092140921409
2016-11-06,9.214092140921409
2016-11-07,0.0
2016-11-08,8.130081300813007
2016-11-09,33.60433604336043
2016-11-10,28.726287262872628
2016-11-11,8.672086720867208
2016-11-12,18.970189701897016
2016-11-13,18.428184281842817
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,8.130081300813007
2016-11-24,8.130081300813007
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,9.214092140921409
2016-11-28,0.0
2016-11-29,7.588075880758807
2016-11-30,8.130081300813007
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,8.130081300813007
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,8.130081300813007
2016-12-14,0.0
2016-12-15,12.466124661246612
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,8.672086720867208
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,8.672086720867208
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,8.130081300813007
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,7.588075880758807
2017-01-12,11.924119241192411
2017-01-13,11.924119241192411
2017-01-14,9.214092140921409
2017-01-15,0.0
2017-01-16,15.718157181571815
2017-01-17,8.130081300813007
2017-01-18,0.0
2017-01-19,8.130081300813007
2017-01-20,16.260162601626014
2017-01-21,18.428184281842817
2017-01-22,44.98644986449864
2017-01-23,54.20054200542005
2017-01-24,23.30623306233062
2017-01-25,7.588075880758807
2017-01-26,20.054200542005418
2017-01-27,20.596205962059617
2017-01-28,9.214092140921409
2017-01-29,9.214092140921409
2017-01-30,7.588075880758807
2017-01-31,7.588075880758807
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,8.130081300813007
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,7.588075880758807
2017-02-07,15.176151761517614
