date,donald trump seizure
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,5.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,5.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,6.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,5.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,5.0
2016-06-14,5.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,5.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,5.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,5.0
2016-07-23,6.0
2016-07-24,6.0
2016-07-25,9.0
2016-07-26,5.0
2016-07-27,5.0
2016-07-28,10.0
2016-07-29,5.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,5.0
2016-08-02,5.0
2016-08-03,0.0
2016-08-04,5.0
2016-08-05,10.0
2016-08-06,9.0
2016-08-07,6.0
2016-08-08,5.0
2016-08-09,19.0
2016-08-10,5.0
2016-08-11,10.0
2016-08-12,10.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,5.0
2016-08-18,10.0
2016-08-19,5.0
2016-08-20,0.0
2016-08-21,5.0
2016-08-22,0.0
2016-08-23,5.0
2016-08-24,5.0
2016-08-25,12.0
2016-08-26,0.0
2016-08-27,6.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,5.0
2016-09-03,5.0
2016-09-04,0.0
2016-09-05,5.0
2016-09-06,9.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,5.0
2016-09-11,11.0
2016-09-12,100.0
2016-09-13,57.0
2016-09-14,16.0
2016-09-15,9.0
2016-09-16,10.0
2016-09-17,5.0
2016-09-18,5.0
2016-09-19,0.0
2016-09-20,4.0
2016-09-21,11.0
2016-09-22,5.0
2016-09-23,5.0
2016-09-24,5.0
2016-09-25,5.0
2016-09-26,0.0
2016-09-27,11.0
2016-09-28,11.0
2016-09-29,4.0
2016-09-30,9.0
2016-10-01,2.5402298850574714
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,2.0
2016-10-05,4.166666666666667
2016-10-06,2.166666666666667
2016-10-07,4.741379310344827
2016-10-08,5.040229885057471
2016-10-09,7.580459770114943
2016-10-10,6.666666666666667
2016-10-11,9.78735632183908
2016-10-12,4.741379310344827
2016-10-13,4.166666666666667
2016-10-14,4.741379310344827
2016-10-15,4.9655172413793105
2016-10-16,0.0
2016-10-17,4.166666666666667
2016-10-18,0.0
2016-10-19,2.0
2016-10-20,7.666666666666667
2016-10-21,2.5
2016-10-22,9.971264367816094
2016-10-23,2.4655172413793105
2016-10-24,2.091954022988506
2016-10-25,2.0
2016-10-26,5.5919540229885065
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,2.241379310344828
2016-11-01,0.0
2016-11-02,8.517241379310345
2016-11-03,4.183908045977012
2016-11-04,0.0
2016-11-05,4.931034482758621
2016-11-06,0.0
2016-11-07,12.402298850574713
2016-11-08,6.275862068965518
2016-11-09,11.804597701149426
2016-11-10,14.942528735632186
2016-11-11,4.482758620689656
2016-11-12,9.862068965517242
2016-11-13,0.0
2016-11-14,8.367816091954024
2016-11-15,0.0
2016-11-16,4.183908045977012
2016-11-17,4.333333333333334
2016-11-18,0.0
2016-11-19,4.931034482758621
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,4.183908045977012
2016-11-23,0.0
2016-11-24,4.333333333333334
2016-11-25,0.0
2016-11-26,4.931034482758621
2016-11-27,4.781609195402299
2016-11-28,4.183908045977012
2016-11-29,0.0
2016-11-30,4.183908045977012
2016-12-01,0.0
2016-12-02,4.333333333333334
2016-12-03,0.0
2016-12-04,4.781609195402299
2016-12-05,0.0
2016-12-06,4.183908045977012
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,4.183908045977012
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,4.482758620689656
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,4.333333333333334
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,4.482758620689656
2016-12-23,4.781609195402299
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,4.781609195402299
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,5.2298850574712645
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,8.367816091954024
2017-01-04,0.0
2017-01-05,4.333333333333334
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,4.183908045977012
2017-01-10,8.218390804597702
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,4.183908045977012
2017-01-14,0.0
2017-01-15,4.6321839080459775
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,4.183908045977012
2017-01-20,4.183908045977012
2017-01-21,4.781609195402299
2017-01-22,0.0
2017-01-23,4.03448275862069
2017-01-24,8.06896551724138
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,8.367816091954024
2017-01-28,4.781609195402299
2017-01-29,0.0
2017-01-30,4.03448275862069
2017-01-31,8.06896551724138
2017-02-01,8.06896551724138
2017-02-02,4.03448275862069
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
