date,election results
2016-05-01,1.0
2016-05-02,2.0
2016-05-03,12.0
2016-05-04,23.0
2016-05-05,3.0
2016-05-06,24.0
2016-05-07,7.0
2016-05-08,5.0
2016-05-09,27.0
2016-05-10,33.0
2016-05-11,33.0
2016-05-12,9.0
2016-05-13,3.0
2016-05-14,3.0
2016-05-15,4.0
2016-05-16,5.0
2016-05-17,8.0
2016-05-18,28.0
2016-05-19,100.0
2016-05-20,7.0
2016-05-21,3.0
2016-05-22,2.0
2016-05-23,3.0
2016-05-24,5.0
2016-05-25,11.0
2016-05-26,2.0
2016-05-27,2.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,3.0
2016-06-07,8.0
2016-06-08,39.0
2016-06-09,4.0
2016-06-10,2.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,2.0
2016-06-14,2.0
2016-06-15,3.0
2016-06-16,1.0
2016-06-17,1.0
2016-06-18,1.0
2016-06-19,1.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,1.0
2016-06-23,1.0
2016-06-24,3.0
2016-06-25,1.0
2016-06-26,1.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,2.0
2016-06-30,1.0
2016-07-01,1.0
2016-07-02,31.0
2016-07-03,15.0
2016-07-04,5.0
2016-07-05,7.0
2016-07-06,5.0
2016-07-07,4.0
2016-07-08,3.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,1.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-16,1.0
2016-07-17,1.0
2016-07-18,1.0
2016-07-19,1.0
2016-07-20,0.0
2016-07-21,1.0
2016-07-22,1.0
2016-07-23,1.0
2016-07-24,1.0
2016-07-25,0.0
2016-07-26,1.0
2016-07-27,1.0
2016-07-28,1.0
2016-07-29,1.0
2016-07-30,0.0
2016-07-31,1.0
2016-08-01,0.0
2016-08-02,1.0
2016-08-03,10.0
2016-08-04,20.0
2016-08-05,12.0
2016-08-06,7.0
2016-08-07,3.0
2016-08-08,2.0
2016-08-09,1.0
2016-08-10,2.0
2016-08-11,1.0
2016-08-12,2.0
2016-08-13,2.0
2016-08-14,2.0
