date,employment
2016-05-01,53.0
2016-05-02,91.0
2016-05-03,96.0
2016-05-04,95.0
2016-05-05,94.0
2016-05-06,83.0
2016-05-07,51.0
2016-05-08,46.0
2016-05-09,96.0
2016-05-10,96.0
2016-05-11,94.0
2016-05-12,91.0
2016-05-13,84.0
2016-05-14,50.0
2016-05-15,51.0
2016-05-16,94.0
2016-05-17,97.0
2016-05-18,95.0
2016-05-19,93.0
2016-05-20,78.0
2016-05-21,52.0
2016-05-22,51.0
2016-05-23,94.0
2016-05-24,96.0
2016-05-25,93.0
2016-05-26,91.0
2016-05-27,81.0
2016-05-28,47.0
2016-05-29,47.0
2016-05-30,65.0
2016-05-31,94.0
2016-06-01,94.0
2016-06-02,93.0
2016-06-03,85.0
2016-06-04,53.0
2016-06-05,51.0
2016-06-06,98.0
2016-06-07,97.0
2016-06-08,95.0
2016-06-09,92.0
2016-06-10,80.0
2016-06-11,51.0
2016-06-12,53.0
2016-06-13,91.0
2016-06-14,98.0
2016-06-15,90.0
2016-06-16,88.0
2016-06-17,80.0
2016-06-18,52.0
2016-06-19,49.0
2016-06-20,94.0
2016-06-21,97.0
2016-06-22,93.0
2016-06-23,90.0
2016-06-24,80.0
2016-06-25,52.0
2016-06-26,51.0
2016-06-27,91.0
2016-06-28,96.0
2016-06-29,90.0
2016-06-30,88.0
2016-07-01,74.0
2016-07-02,50.0
2016-07-03,47.0
2016-07-04,66.0
2016-07-05,92.0
2016-07-06,91.0
2016-07-07,89.0
2016-07-08,79.0
2016-07-09,53.0
2016-07-10,50.0
2016-07-11,98.0
2016-07-12,96.0
2016-07-13,93.0
2016-07-14,91.0
2016-07-15,81.0
2016-07-16,55.0
2016-07-17,52.0
2016-07-18,100.0
2016-07-19,98.0
2016-07-20,97.0
2016-07-21,94.0
2016-07-22,79.0
2016-07-23,52.0
2016-07-24,52.0
2016-07-25,93.0
2016-07-26,97.0
2016-07-27,94.0
2016-07-28,89.0
2016-07-29,80.0
2016-07-30,53.0
2016-07-31,52.0
2016-08-01,90.0
2016-08-02,97.0
2016-08-03,93.0
2016-08-04,87.0
2016-08-05,82.0
2016-08-06,53.0
2016-08-07,49.0
2016-08-08,89.0
2016-08-09,91.0
2016-08-10,89.0
2016-08-11,92.0
2016-08-12,77.0
2016-08-13,52.0
2016-08-14,50.0
2016-08-15,93.0
2016-08-16,94.0
2016-08-17,92.0
2016-08-18,88.0
2016-08-19,78.0
2016-08-20,53.0
2016-08-21,51.0
2016-08-22,96.0
2016-08-23,95.0
2016-08-24,90.0
2016-08-25,89.0
2016-08-26,78.0
2016-08-27,50.0
2016-08-28,50.0
2016-08-29,89.0
2016-08-30,92.0
2016-08-31,91.0
2016-09-01,86.0
2016-09-02,75.0
2016-09-03,47.0
2016-09-04,46.0
2016-09-05,59.0
2016-09-06,92.0
2016-09-07,92.0
2016-09-08,89.0
2016-09-09,78.0
2016-09-10,48.0
2016-09-11,50.0
2016-09-12,93.0
2016-09-13,91.0
2016-09-14,89.0
2016-09-15,85.0
2016-09-16,77.0
2016-09-17,47.0
2016-09-18,48.0
2016-09-19,92.0
2016-09-20,89.0
2016-09-21,87.0
2016-09-22,85.0
2016-09-23,76.0
2016-09-24,45.0
2016-09-25,48.0
2016-09-26,92.0
2016-09-27,88.0
2016-09-28,88.0
2016-09-29,83.0
2016-09-30,74.0
2016-10-01,45.02525684931507
2016-10-02,45.98287671232877
2016-10-03,84.13527397260273
2016-10-04,86.5717037671233
2016-10-05,85.61408390410959
2016-10-06,81.1988441780822
2016-10-07,70.953125
2016-10-08,44.02525684931507
2016-10-09,45.48287671232877
2016-10-10,75.80479452054794
2016-10-11,83.63527397260273
2016-10-12,86.0717037671233
2016-10-13,82.17765410958904
2016-10-14,71.88955479452055
2016-10-15,46.48287671232877
2016-10-16,48.91930650684931
2016-10-17,89.00813356164383
2016-10-18,90.00813356164383
2016-10-19,85.61408390410959
2016-10-20,80.22003424657535
2016-10-21,72.8683647260274
2016-10-22,45.004066780821915
2016-10-23,44.504066780821915
2016-10-24,86.5717037671233
2016-10-25,85.61408390410959
2016-10-26,80.2412243150685
2016-10-27,79.7412243150685
2016-10-28,68.0378852739726
2016-10-29,39.63120719178082
2016-10-30,43.04644691780822
2016-10-31,78.28360445205479
2016-11-01,84.63527397260273
2016-11-02,86.18578767123287
2016-11-03,80.44006849315069
2016-11-04,75.6519691780822
2016-11-05,45.00813356164384
2016-11-06,46.92337328767123
2016-11-07,86.18578767123287
2016-11-08,80.44006849315069
2016-11-09,68.9486301369863
2016-11-10,75.6519691780822
2016-11-11,65.1181506849315
2016-11-12,44.050513698630134
2016-11-13,44.050513698630134
2016-11-14,85.22816780821918
2016-11-15,85.22816780821918
2016-11-16,83.31292808219177
2016-11-17,81.39768835616438
2016-11-18,69.90625
2016-11-19,45.00813356164384
2016-11-20,43.09289383561644
2016-11-21,76.60958904109589
2016-11-22,76.60958904109589
2016-11-23,68.9486301369863
2016-11-24,51.711472602739725
2016-11-25,48.83861301369863
2016-11-26,42.13527397260274
2016-11-27,44.050513698630134
2016-11-28,82.35530821917808
2016-11-29,85.22816780821918
2016-11-30,83.31292808219177
2016-12-01,79.48244863013699
2016-12-02,69.90625
2016-12-03,44.050513698630134
2016-12-04,45.00813356164384
2016-12-05,81.39768835616438
2016-12-06,80.44006849315069
2016-12-07,80.44006849315069
2016-12-08,76.60958904109589
2016-12-09,66.07577054794521
2016-12-10,39.26241438356164
2016-12-11,40.220034246575345
2016-12-12,75.6519691780822
2016-12-13,75.6519691780822
2016-12-14,75.6519691780822
2016-12-15,68.9486301369863
2016-12-16,63.202910958904106
2016-12-17,40.220034246575345
2016-12-18,38.304794520547944
2016-12-19,67.0333904109589
2016-12-20,67.9910102739726
2016-12-21,67.9910102739726
2016-12-22,61.28767123287671
2016-12-23,47.88099315068493
