date,endorse hillary
2016-05-01,3.0
2016-05-02,3.0
2016-05-03,1.0
2016-05-04,6.0
2016-05-05,6.0
2016-05-06,6.0
2016-05-07,4.0
2016-05-08,2.0
2016-05-09,4.0
2016-05-10,0.0
2016-05-11,6.0
2016-05-12,1.0
2016-05-13,1.0
2016-05-14,6.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,4.0
2016-05-19,2.0
2016-05-20,1.0
2016-05-21,3.0
2016-05-22,3.0
2016-05-23,3.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,2.0
2016-05-27,3.0
2016-05-28,1.0
2016-05-29,2.0
2016-05-30,2.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,4.0
2016-06-03,3.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,4.0
2016-06-07,10.0
2016-06-08,9.0
2016-06-09,22.0
2016-06-10,15.0
2016-06-11,9.0
2016-06-12,11.0
2016-06-13,2.0
2016-06-14,4.0
2016-06-15,6.0
2016-06-16,5.0
2016-06-17,5.0
2016-06-18,5.0
2016-06-19,5.0
2016-06-20,5.0
2016-06-21,4.0
2016-06-22,4.0
2016-06-23,4.0
2016-06-24,5.0
2016-06-25,10.0
2016-06-26,8.0
2016-06-27,4.0
2016-06-28,1.0
2016-06-29,0.0
2016-06-30,3.0
2016-07-01,0.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,0.0
2016-07-05,5.0
2016-07-06,6.0
2016-07-07,10.0
2016-07-08,11.0
2016-07-09,12.0
2016-07-10,7.0
2016-07-11,14.0
2016-07-12,86.0
2016-07-13,100.0
2016-07-14,23.0
2016-07-15,11.0
2016-07-16,8.0
2016-07-17,12.0
2016-07-18,7.0
2016-07-19,8.0
2016-07-20,9.0
2016-07-21,13.0
2016-07-22,8.0
2016-07-23,9.0
2016-07-24,19.0
2016-07-25,19.0
2016-07-26,32.0
2016-07-27,21.0
2016-07-28,14.0
2016-07-29,19.0
2016-07-30,15.0
2016-07-31,18.0
2016-08-01,9.0
2016-08-02,8.0
2016-08-03,11.0
2016-08-04,5.0
2016-08-05,6.0
2016-08-06,10.0
2016-08-07,7.0
2016-08-08,6.0
2016-08-09,3.0
2016-08-10,3.0
2016-08-11,5.0
2016-08-12,1.0
2016-08-13,1.0
2016-08-14,5.0
2016-08-15,2.0
2016-08-16,3.0
2016-08-17,2.0
2016-08-18,2.0
2016-08-19,0.0
2016-08-20,3.0
2016-08-21,1.0
2016-08-22,2.0
2016-08-23,2.0
2016-08-24,2.0
2016-08-25,6.0
2016-08-26,2.0
2016-08-27,6.0
2016-08-28,2.0
2016-08-29,2.0
2016-08-30,1.0
2016-08-31,1.0
2016-09-01,7.0
2016-09-02,0.0
2016-09-03,4.0
2016-09-04,0.0
2016-09-05,3.0
2016-09-06,4.0
2016-09-07,7.0
2016-09-08,4.0
2016-09-09,4.0
2016-09-10,4.0
2016-09-11,0.0
2016-09-12,4.0
2016-09-13,4.0
2016-09-14,2.0
2016-09-15,5.0
2016-09-16,4.0
2016-09-17,1.0
2016-09-18,3.0
2016-09-19,4.0
2016-09-20,8.0
2016-09-21,10.0
2016-09-22,8.0
2016-09-23,6.0
2016-09-24,8.0
2016-09-25,12.0
2016-09-26,9.0
2016-09-27,19.0
2016-09-28,9.0
2016-09-29,8.0
2016-09-30,7.0
2016-10-01,5.185201401050788
2016-10-02,10.478546409807356
2016-10-03,9.086690017513135
2016-10-04,5.802977232924694
2016-10-05,9.204465849387041
2016-10-06,10.478546409807356
2016-10-07,6.685201401050788
2016-10-08,6.185201401050788
2016-10-09,6.9207530647986
2016-10-10,18.17338003502627
2016-10-11,18.918563922942205
2016-10-12,7.577057793345009
2016-10-13,12.223730297723293
2016-10-14,9.351138353765325
2016-10-15,8.704465849387041
2016-10-16,6.949649737302978
2016-10-17,6.185201401050788
2016-10-18,7.449649737302978
2016-10-19,7.822241681260946
2016-10-20,13.488178633975483
2016-10-21,8.459281961471103
2016-10-22,6.4207530647986
2016-10-23,6.204465849387041
2016-10-24,7.586690017513135
2016-10-25,9.459281961471103
2016-10-26,10.714098073555167
2016-10-27,18.663747810858144
2016-10-28,8.322241681260946
2016-10-29,5.4303852889667255
2016-10-30,6.4592819614711035
2016-10-31,8.57705779334501
2016-11-01,7.831873905429072
2016-11-02,11.211908931698776
2016-11-03,13.250437828371279
2016-11-04,16.5630472854641
2016-11-05,14.01488616462347
2016-11-06,8.663747810858144
2016-11-07,11.466725043782839
2016-11-08,25.226795096322245
2016-11-09,25.481611208406306
2016-11-10,15.03415061295972
2016-11-11,10.702276707530649
2016-11-12,5.605954465849388
2016-11-13,6.880035026269703
2016-11-14,2.2933450087565674
2016-11-15,3.8222416812609463
2016-11-16,6.115586690017514
2016-11-17,2.2933450087565674
2016-11-18,2.802977232924694
2016-11-19,2.2933450087565674
2016-11-20,1.7837127845884415
2016-11-21,3.3126094570928197
2016-11-22,3.8222416812609463
2016-11-23,3.057793345008757
2016-11-24,4.331873905429072
2016-11-25,1.2740805604203154
2016-11-26,0.7644483362521892
2016-11-27,2.5481611208406307
2016-11-28,1.5288966725043784
2016-11-29,2.2933450087565674
2016-11-30,1.5288966725043784
2016-12-01,1.5288966725043784
2016-12-02,0.7644483362521892
2016-12-03,1.7837127845884415
2016-12-04,0.0
2016-12-05,1.5288966725043784
2016-12-06,0.7644483362521892
2016-12-07,1.5288966725043784
2016-12-08,0.7644483362521892
2016-12-09,0.7644483362521892
2016-12-10,1.5288966725043784
2016-12-11,0.7644483362521892
2016-12-12,0.7644483362521892
2016-12-13,2.2933450087565674
2016-12-14,0.0
2016-12-15,1.5288966725043784
2016-12-16,0.7644483362521892
2016-12-17,0.7644483362521892
2016-12-18,0.7644483362521892
2016-12-19,0.0
2016-12-20,2.2933450087565674
2016-12-21,0.7644483362521892
2016-12-22,0.7644483362521892
2016-12-23,2.0385288966725046
2016-12-24,1.0192644483362523
2016-12-25,1.0192644483362523
2016-12-26,0.7644483362521892
2016-12-27,0.7644483362521892
2016-12-28,0.7644483362521892
2016-12-29,0.7644483362521892
2016-12-30,0.7644483362521892
2016-12-31,1.2740805604203154
2017-01-01,1.0192644483362523
2017-01-02,0.0
2017-01-03,0.7644483362521892
2017-01-04,1.5288966725043784
2017-01-05,0.7644483362521892
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.7644483362521892
2017-01-09,0.7644483362521892
2017-01-10,0.7644483362521892
2017-01-11,1.5288966725043784
2017-01-12,0.7644483362521892
2017-01-13,1.5288966725043784
2017-01-14,2.5481611208406307
2017-01-15,0.0
2017-01-16,1.0192644483362523
2017-01-17,1.5288966725043784
2017-01-18,1.0192644483362523
2017-01-19,0.7644483362521892
2017-01-20,3.8222416812609463
2017-01-21,1.2740805604203154
2017-01-22,1.7837127845884415
2017-01-23,0.7644483362521892
2017-01-24,0.7644483362521892
2017-01-25,0.7644483362521892
2017-01-26,0.7644483362521892
2017-01-27,0.7644483362521892
2017-01-28,0.0
2017-01-29,0.7644483362521892
2017-01-30,0.7644483362521892
2017-01-31,0.7644483362521892
2017-02-01,0.0
2017-02-02,2.802977232924694
2017-02-03,0.0
2017-02-04,1.7837127845884415
