date,endorsed trump
2016-05-01,3.0
2016-05-02,3.0
2016-05-03,5.0
2016-05-04,4.0
2016-05-05,5.0
2016-05-06,5.0
2016-05-07,12.0
2016-05-08,4.0
2016-05-09,4.0
2016-05-10,4.0
2016-05-11,4.0
2016-05-12,2.0
2016-05-13,5.0
2016-05-14,3.0
2016-05-15,5.0
2016-05-16,1.0
2016-05-17,1.0
2016-05-18,1.0
2016-05-19,4.0
2016-05-20,2.0
2016-05-21,2.0
2016-05-22,2.0
2016-05-23,2.0
2016-05-24,2.0
2016-05-25,1.0
2016-05-26,2.0
2016-05-27,4.0
2016-05-28,1.0
2016-05-29,4.0
2016-05-30,1.0
2016-05-31,5.0
2016-06-01,7.0
2016-06-02,4.0
2016-06-03,5.0
2016-06-04,5.0
2016-06-05,0.0
2016-06-06,1.0
2016-06-07,5.0
2016-06-08,3.0
2016-06-09,2.0
2016-06-10,3.0
2016-06-11,4.0
2016-06-12,3.0
2016-06-13,4.0
2016-06-14,5.0
2016-06-15,3.0
2016-06-16,0.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,2.0
2016-06-20,1.0
2016-06-21,1.0
2016-06-22,1.0
2016-06-23,1.0
2016-06-24,1.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,2.0
2016-06-30,2.0
2016-07-01,4.0
2016-07-02,3.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,2.0
2016-07-06,2.0
2016-07-07,1.0
2016-07-08,2.0
2016-07-09,4.0
2016-07-10,2.0
2016-07-11,1.0
2016-07-12,4.0
2016-07-13,4.0
2016-07-14,2.0
2016-07-15,6.0
2016-07-16,2.0
2016-07-17,1.0
2016-07-18,3.0
2016-07-19,6.0
2016-07-20,5.0
2016-07-21,16.0
2016-07-22,9.0
2016-07-23,8.0
2016-07-24,6.0
2016-07-25,6.0
2016-07-26,10.0
2016-07-27,7.0
2016-07-28,11.0
2016-07-29,12.0
2016-07-30,5.0
2016-07-31,14.0
2016-08-01,8.0
2016-08-02,8.0
2016-08-03,8.0
2016-08-04,8.0
2016-08-05,6.0
2016-08-06,12.0
2016-08-07,3.0
2016-08-08,6.0
2016-08-09,7.0
2016-08-10,6.0
2016-08-11,2.0
2016-08-12,5.0
2016-08-13,5.0
2016-08-14,2.0
2016-08-15,2.0
2016-08-16,3.0
2016-08-17,2.0
2016-08-18,2.0
2016-08-19,1.0
2016-08-20,3.0
2016-08-21,3.0
2016-08-22,4.0
2016-08-23,1.0
2016-08-24,3.0
2016-08-25,5.0
2016-08-26,1.0
2016-08-27,5.0
2016-08-28,5.0
2016-08-29,4.0
2016-08-30,1.0
2016-08-31,0.0
2016-09-01,4.0
2016-09-02,3.0
2016-09-03,0.0
2016-09-04,1.0
2016-09-05,2.0
2016-09-06,4.0
2016-09-07,9.0
2016-09-08,7.0
2016-09-09,2.0
2016-09-10,4.0
2016-09-11,2.0
2016-09-12,3.0
2016-09-13,1.0
2016-09-14,3.0
2016-09-15,1.0
2016-09-16,3.0
2016-09-17,6.0
2016-09-18,3.0
2016-09-19,4.0
2016-09-20,4.0
2016-09-21,1.0
2016-09-22,4.0
2016-09-23,11.0
2016-09-24,14.0
2016-09-25,5.0
2016-09-26,15.0
2016-09-27,100.0
2016-09-28,26.0
2016-09-29,17.0
2016-09-30,17.0
2016-10-01,13.461813842482101
2016-10-02,5.720763723150358
2016-10-03,5.900954653937948
2016-10-04,4.040572792362768
2016-10-05,8.741050119331742
2016-10-06,6.581145584725537
2016-10-07,4.741050119331742
2016-10-08,15.322195704057279
2016-10-09,11.121718377088307
2016-10-10,22.702863961813843
2016-10-11,9.761336515513126
2016-10-12,7.421241050119332
2016-10-13,15.822195704057279
2016-10-14,12.621718377088307
2016-10-15,8.761336515513126
2016-10-16,11.28162291169451
2016-10-17,7.741050119331742
2016-10-18,8.081145584725537
2016-10-19,8.081145584725537
2016-10-20,21.362768496420045
2016-10-21,4.220763723150358
2016-10-22,5.900954653937948
2016-10-23,8.581145584725537
2016-10-24,7.741050119331742
2016-10-25,8.101431980906922
2016-10-26,8.900954653937948
2016-10-27,5.540572792362768
2016-10-28,3.360381861575179
2016-10-29,6.741050119331742
2016-10-30,3.700477326968974
2016-10-31,5.540572792362768
2016-11-01,7.400954653937948
2016-11-02,12.9236276849642
2016-11-03,11.563245823389021
2016-11-04,15.64439140811456
2016-11-05,10.202863961813843
2016-11-06,12.243436754176612
2016-11-07,11.563245823389021
2016-11-08,31.968973747016708
2016-11-09,68.01909307875896
2016-11-10,38.09069212410501
2016-11-11,26.52744630071599
2016-11-12,17.684964200477328
2016-11-13,10.202863961813843
2016-11-14,6.121718377088306
2016-11-15,6.801909307875896
2016-11-16,7.4821002386634845
2016-11-17,4.761336515513126
2016-11-18,4.761336515513126
2016-11-19,4.081145584725537
2016-11-20,3.400954653937948
2016-11-21,5.441527446300716
2016-11-22,4.081145584725537
2016-11-23,2.0405727923627683
2016-11-24,2.0405727923627683
2016-11-25,1.360381861575179
2016-11-26,2.720763723150358
2016-11-27,2.0405727923627683
2016-11-28,2.0405727923627683
2016-11-29,0.6801909307875895
2016-11-30,1.360381861575179
2016-12-01,1.360381861575179
2016-12-02,2.0405727923627683
2016-12-03,0.6801909307875895
2016-12-04,1.360381861575179
2016-12-05,2.720763723150358
2016-12-06,0.6801909307875895
2016-12-07,1.360381861575179
2016-12-08,0.6801909307875895
2016-12-09,0.6801909307875895
2016-12-10,0.0
2016-12-11,0.6801909307875895
2016-12-12,2.720763723150358
2016-12-13,0.6801909307875895
2016-12-14,4.081145584725537
2016-12-15,0.6801909307875895
2016-12-16,1.360381861575179
2016-12-17,1.360381861575179
2016-12-18,1.360381861575179
2016-12-19,0.0
2016-12-20,0.6801909307875895
2016-12-21,1.360381861575179
2016-12-22,1.360381861575179
2016-12-23,1.360381861575179
2016-12-24,1.360381861575179
2016-12-25,0.6801909307875895
2016-12-26,0.6801909307875895
2016-12-27,1.360381861575179
2016-12-28,0.6801909307875895
2016-12-29,0.6801909307875895
2016-12-30,1.360381861575179
2016-12-31,0.6801909307875895
2017-01-01,1.360381861575179
2017-01-02,0.6801909307875895
2017-01-03,0.6801909307875895
2017-01-04,0.6801909307875895
2017-01-05,1.360381861575179
2017-01-06,0.6801909307875895
2017-01-07,0.6801909307875895
2017-01-08,1.360381861575179
2017-01-09,1.360381861575179
2017-01-10,1.360381861575179
2017-01-11,1.360381861575179
2017-01-12,2.720763723150358
2017-01-13,1.360381861575179
2017-01-14,1.360381861575179
2017-01-15,1.360381861575179
2017-01-16,0.6801909307875895
2017-01-17,1.360381861575179
2017-01-18,1.360381861575179
2017-01-19,2.720763723150358
2017-01-20,4.081145584725537
2017-01-21,2.720763723150358
2017-01-22,1.360381861575179
2017-01-23,2.0405727923627683
2017-01-24,1.360381861575179
2017-01-25,2.720763723150358
2017-01-26,2.0405727923627683
2017-01-27,2.0405727923627683
2017-01-28,2.720763723150358
2017-01-29,2.720763723150358
2017-01-30,3.400954653937948
2017-01-31,2.0405727923627683
2017-02-01,2.0405727923627683
2017-02-02,0.6801909307875895
2017-02-03,0.6801909307875895
2017-02-04,1.360381861575179
