date,environment
2016-05-01,39.0
2016-05-02,55.0
2016-05-03,60.0
2016-05-04,59.0
2016-05-05,60.0
2016-05-06,52.0
2016-05-07,33.0
2016-05-08,38.0
2016-05-09,59.0
2016-05-10,60.0
2016-05-11,60.0
2016-05-12,59.0
2016-05-13,53.0
2016-05-14,34.0
2016-05-15,40.0
2016-05-16,57.0
2016-05-17,59.0
2016-05-18,59.0
2016-05-19,58.0
2016-05-20,52.0
2016-05-21,35.0
2016-05-22,41.0
2016-05-23,55.0
2016-05-24,57.0
2016-05-25,61.0
2016-05-26,60.0
2016-05-27,52.0
2016-05-28,37.0
2016-05-29,39.0
2016-05-30,51.0
2016-05-31,58.0
2016-06-01,60.0
2016-06-02,65.0
2016-06-03,64.0
2016-06-04,55.0
2016-06-05,100.0
2016-06-06,69.0
2016-06-07,64.0
2016-06-08,61.0
2016-06-09,59.0
2016-06-10,52.0
2016-06-11,38.0
2016-06-12,39.0
2016-06-13,51.0
2016-06-14,57.0
2016-06-15,59.0
2016-06-16,54.0
2016-06-17,45.0
2016-06-18,33.0
2016-06-19,40.0
2016-06-20,56.0
2016-06-21,54.0
2016-06-22,51.0
2016-06-23,52.0
2016-06-24,43.0
2016-06-25,35.0
2016-06-26,37.0
2016-06-27,47.0
2016-06-28,52.0
2016-06-29,53.0
2016-06-30,52.0
2016-07-01,45.0
2016-07-02,35.0
2016-07-03,40.0
2016-07-04,46.0
2016-07-05,49.0
2016-07-06,50.0
2016-07-07,50.0
2016-07-08,46.0
2016-07-09,37.0
2016-07-10,37.0
2016-07-11,49.0
2016-07-12,52.0
2016-07-13,50.0
2016-07-14,52.0
2016-07-15,47.0
2016-07-16,33.0
2016-07-17,38.0
2016-07-18,50.0
2016-07-19,54.0
2016-07-20,52.0
2016-07-21,52.0
2016-07-22,46.0
2016-07-23,36.0
2016-07-24,39.0
2016-07-25,49.0
2016-07-26,50.0
2016-07-27,51.0
2016-07-28,48.0
2016-07-29,44.0
2016-07-30,34.0
2016-07-31,38.0
2016-08-01,47.0
2016-08-02,48.0
2016-08-03,51.0
2016-08-04,49.0
2016-08-05,45.0
2016-08-06,32.0
2016-08-07,39.0
2016-08-08,48.0
2016-08-09,50.0
2016-08-10,51.0
2016-08-11,52.0
2016-08-12,46.0
2016-08-13,38.0
2016-08-14,35.0
2016-08-15,47.0
2016-08-16,53.0
2016-08-17,50.0
2016-08-18,51.0
2016-08-19,45.0
2016-08-20,33.0
2016-08-21,40.0
2016-08-22,58.0
2016-08-23,55.0
2016-08-24,54.0
2016-08-25,59.0
2016-08-26,49.0
2016-08-27,35.0
2016-08-28,43.0
2016-08-29,53.0
2016-08-30,58.0
2016-08-31,59.0
2016-09-01,55.0
2016-09-02,50.0
2016-09-03,33.0
2016-09-04,38.0
2016-09-05,46.0
2016-09-06,61.0
2016-09-07,62.0
2016-09-08,64.0
2016-09-09,53.0
2016-09-10,39.0
2016-09-11,42.0
2016-09-12,57.0
2016-09-13,58.0
2016-09-14,59.0
2016-09-15,59.0
2016-09-16,53.0
2016-09-17,35.0
2016-09-18,43.0
2016-09-19,59.0
2016-09-20,62.0
2016-09-21,58.0
2016-09-22,60.0
2016-09-23,55.0
2016-09-24,34.0
2016-09-25,41.0
2016-09-26,60.0
2016-09-27,60.0
2016-09-28,60.0
2016-09-29,59.0
2016-09-30,50.0
2016-10-01,33.076282628262824
2016-10-02,39.02317731773177
2016-10-03,56.73222322232223
2016-10-04,60.33730873087309
2016-10-05,62.31075607560756
2016-10-06,59.33730873087309
2016-10-07,50.04860486048605
2016-10-08,35.18136813681368
2016-10-09,39.39153915391539
2016-10-10,55.99549954995499
2016-10-11,57.86386138613861
2016-10-12,60.33730873087309
2016-10-13,62.67911791179118
2016-10-14,56.73222322232223
2016-10-15,38.154815481548155
2016-10-16,45.83843384338434
2016-10-17,62.074032403240324
2016-10-18,61.44239423942394
2016-10-19,61.574032403240324
2016-10-20,58.10058505850585
2016-10-21,51.285328532853285
2016-10-22,36.0497299729973
2016-10-23,41.496624662466246
2016-10-24,57.73222322232223
2016-10-25,58.968946894689466
2016-10-26,57.23222322232223
2016-10-27,56.49549954995499
2016-10-28,47.943519351935194
2016-10-29,30.10283528352835
2016-10-30,36.0497299729973
2016-10-31,52.285328532853285
2016-11-01,55.127137713771376
2016-11-02,58.2011701170117
2016-11-03,56.727722772277225
2016-11-04,51.57065706570657
2016-11-05,33.15256525652565
2016-11-06,39.78307830783078
2016-11-07,56.727722772277225
2016-11-08,56.727722772277225
2016-11-09,55.25427542754275
2016-11-10,59.67461746174617
2016-11-11,47.15031503150315
2016-11-12,33.88928892889289
2016-11-13,39.046354635463544
2016-11-14,59.67461746174617
2016-11-15,63.358235823582355
2016-11-16,61.88478847884788
2016-11-17,59.67461746174617
2016-11-18,50.83393339333933
2016-11-19,34.62601260126012
2016-11-20,43.466696669666966
2016-11-21,63.358235823582355
2016-11-22,60.41134113411341
2016-11-23,53.044104410441044
2016-11-24,46.413591359135914
2016-11-25,39.046354635463544
2016-11-26,33.15256525652565
2016-11-27,41.99324932493249
2016-11-28,58.2011701170117
2016-11-29,61.14806480648065
2016-11-30,61.14806480648065
2016-12-01,58.93789378937893
2016-12-02,50.097209720972096
2016-12-03,33.15256525652565
2016-12-04,41.99324932493249
2016-12-05,63.358235823582355
2016-12-06,62.62151215121512
2016-12-07,61.14806480648065
2016-12-08,62.62151215121512
2016-12-09,55.25427542754275
2016-12-10,35.36273627362736
2016-12-11,43.466696669666966
2016-12-12,62.62151215121512
2016-12-13,58.93789378937893
2016-12-14,60.41134113411341
2016-12-15,61.88478847884788
2016-12-16,53.044104410441044
2016-12-17,37.57290729072907
2016-12-18,38.30963096309631
2016-12-19,47.15031503150315
2016-12-20,46.413591359135914
2016-12-21,44.2034203420342
2016-12-22,39.046354635463544
2016-12-23,33.15256525652565
2016-12-24,26.522052205220522
2016-12-25,27.25877587758776
2016-12-26,37.57290729072907
2016-12-27,35.36273627362736
2016-12-28,36.83618361836184
2016-12-29,38.30963096309631
2016-12-30,34.62601260126012
2016-12-31,27.995499549954992
2017-01-01,27.25877587758776
2017-01-02,36.099459945994596
2017-01-03,48.62376237623762
2017-01-04,52.3073807380738
2017-01-05,53.044104410441044
2017-01-06,50.83393339333933
2017-01-07,36.83618361836184
2017-01-08,42.729972997299726
2017-01-09,56.727722772277225
2017-01-10,60.41134113411341
2017-01-11,59.67461746174617
2017-01-12,61.88478847884788
2017-01-13,57.46444644464446
2017-01-14,32.415841584158414
2017-01-15,37.57290729072907
2017-01-16,52.3073807380738
2017-01-17,61.14806480648065
2017-01-18,59.67461746174617
2017-01-19,58.2011701170117
2017-01-20,50.83393339333933
2017-01-21,36.099459945994596
2017-01-22,41.99324932493249
2017-01-23,61.88478847884788
2017-01-24,65.56840684068406
2017-01-25,60.41134113411341
2017-01-26,56.727722772277225
2017-01-27,50.83393339333933
2017-01-28,32.415841584158414
2017-01-29,36.83618361836184
2017-01-30,57.46444644464446
2017-01-31,58.2011701170117
2017-02-01,58.2011701170117
2017-02-02,58.2011701170117
2017-02-03,54.51755175517552
2017-02-04,38.30963096309631
2017-02-05,44.94014401440144
2017-02-06,67.77857785778578
2017-02-07,73.67236723672367
2017-02-08,73.67236723672367
2017-02-09,69.25202520252024
2017-02-10,58.2011701170117
2017-02-11,37.57290729072907
2017-02-12,50.83393339333933
2017-02-13,66.3051305130513
2017-02-14,61.88478847884788
2017-02-15,66.3051305130513
2017-02-16,62.62151215121512
2017-02-17,52.3073807380738
2017-02-18,34.62601260126012
2017-02-19,40.51980198019802
2017-02-20,52.3073807380738
2017-02-21,59.67461746174617
2017-02-22,58.2011701170117
2017-02-23,58.2011701170117
2017-02-24,51.57065706570657
2017-02-25,35.36273627362736
2017-02-26,42.729972997299726
2017-02-27,63.358235823582355
2017-02-28,61.88478847884788
2017-03-01,62.27324277882333
2017-03-02,60.39026855013661
2017-03-03,54.38670571048235
2017-03-04,37.14018422906592
2017-03-05,44.26255425986057
2017-03-06,64.14249532492052
2017-03-07,66.01174787101769
2017-03-08,64.15621700751007
2017-03-09,62.641604615006955
2017-03-10,55.137151065439134
2017-03-11,37.52226774783908
2017-03-12,41.64285635880661
2017-03-13,63.02368813378011
2017-03-14,64.14249532492052
2017-03-15,60.00818503136344
2017-03-16,57.006403611536314
2017-03-17,50.25239541692528
2017-03-18,35.25721000037919
2017-03-19,44.64463777863374
2017-03-20,60.00818503136344
2017-03-21,61.89115926005017
2017-03-22,63.392049969963736
2017-03-23,61.126992222503844
2017-03-24,51.753286126838844
2017-03-25,33.005873935508845
2017-03-26,40.87868932126028
2017-03-27,59.62610151259028
2017-03-28,60.39026855013661
2017-03-29,63.774133488736894
2017-03-30,60.40399023272615
2017-03-31,50.26611709951483
2017-04-01,32.637512099325235
2017-04-02,37.44418483977
2017-04-03,56.54836077842817
2017-04-04,58.07669485352083
2017-04-05,58.07669485352083
2017-04-06,57.3125278159745
2017-04-07,49.670857440511234
2017-04-08,32.85918261449205
2017-04-09,35.91585076467735
2017-04-10,55.78419374088185
2017-04-11,55.02002670333552
2017-04-12,54.25585966578919
2017-04-13,49.670857440511234
2017-04-14,40.50085298995531
2017-04-15,31.330848539399394
2017-04-16,34.3875166895847
2017-04-17,49.670857440511234
