date,faint
2016-05-01,38.0
2016-05-02,33.0
2016-05-03,32.0
2016-05-04,29.0
2016-05-05,28.0
2016-05-06,34.0
2016-05-07,32.0
2016-05-08,32.0
2016-05-09,35.0
2016-05-10,31.0
2016-05-11,34.0
2016-05-12,35.0
2016-05-13,24.0
2016-05-14,33.0
2016-05-15,31.0
2016-05-16,30.0
2016-05-17,34.0
2016-05-18,31.0
2016-05-19,35.0
2016-05-20,35.0
2016-05-21,28.0
2016-05-22,35.0
2016-05-23,39.0
2016-05-24,33.0
2016-05-25,31.0
2016-05-26,28.0
2016-05-27,32.0
2016-05-28,31.0
2016-05-29,35.0
2016-05-30,27.0
2016-05-31,32.0
2016-06-01,32.0
2016-06-02,32.0
2016-06-03,30.0
2016-06-04,26.0
2016-06-05,32.0
2016-06-06,32.0
2016-06-07,36.0
2016-06-08,29.0
2016-06-09,35.0
2016-06-10,31.0
2016-06-11,33.0
2016-06-12,35.0
2016-06-13,34.0
2016-06-14,28.0
2016-06-15,30.0
2016-06-16,32.0
2016-06-17,32.0
2016-06-18,31.0
2016-06-19,28.0
2016-06-20,29.0
2016-06-21,30.0
2016-06-22,38.0
2016-06-23,27.0
2016-06-24,36.0
2016-06-25,32.0
2016-06-26,34.0
2016-06-27,28.0
2016-06-28,32.0
2016-06-29,34.0
2016-06-30,26.0
2016-07-01,25.0
2016-07-02,30.0
2016-07-03,29.0
2016-07-04,31.0
2016-07-05,28.0
2016-07-06,33.0
2016-07-07,29.0
2016-07-08,36.0
2016-07-09,34.0
2016-07-10,35.0
2016-07-11,35.0
2016-07-12,31.0
2016-07-13,28.0
2016-07-14,29.0
2016-07-15,31.0
2016-07-16,30.0
2016-07-17,34.0
2016-07-18,34.0
2016-07-19,37.0
2016-07-20,30.0
2016-07-21,28.0
2016-07-22,36.0
2016-07-23,37.0
2016-07-24,36.0
2016-07-25,34.0
2016-07-26,35.0
2016-07-27,31.0
2016-07-28,34.0
2016-07-29,35.0
2016-07-30,32.0
2016-07-31,34.0
2016-08-01,34.0
2016-08-02,29.0
2016-08-03,34.0
2016-08-04,34.0
2016-08-05,30.0
2016-08-06,25.0
2016-08-07,33.0
2016-08-08,26.0
