date,hillary clinton crook
2016-05-01,0.0
2016-05-02,19.0
2016-05-03,18.0
2016-05-04,9.0
2016-05-05,10.0
2016-05-06,15.0
2016-05-07,11.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,19.0
2016-05-11,0.0
2016-05-12,10.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,9.0
2016-05-18,9.0
2016-05-19,9.0
2016-05-20,10.0
2016-05-21,0.0
2016-05-22,11.0
2016-05-23,9.0
2016-05-24,9.0
2016-05-25,10.0
2016-05-26,0.0
2016-05-27,10.0
2016-05-28,17.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,9.0
2016-06-02,10.0
2016-06-03,0.0
2016-06-04,23.0
2016-06-05,11.0
2016-06-06,0.0
2016-06-07,14.0
2016-06-08,29.0
2016-06-09,29.0
2016-06-10,75.0
2016-06-11,100.0
2016-06-12,55.0
2016-06-13,9.0
2016-06-14,9.0
2016-06-15,14.0
2016-06-16,29.0
2016-06-17,10.0
2016-06-18,23.0
2016-06-19,11.0
2016-06-20,10.0
2016-06-21,9.0
2016-06-22,14.0
2016-06-23,10.0
2016-06-24,10.0
2016-06-25,11.0
2016-06-26,11.0
2016-06-27,0.0
2016-06-28,19.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,10.0
2016-07-02,11.0
2016-07-03,0.0
2016-07-04,10.0
2016-07-05,20.0
2016-07-06,40.0
2016-07-07,10.0
2016-07-08,10.0
2016-07-09,11.0
2016-07-10,23.0
2016-07-11,0.0
2016-07-12,9.0
2016-07-13,19.0
2016-07-14,10.0
2016-07-15,0.0
2016-07-16,11.0
2016-07-17,12.0
2016-07-18,0.0
2016-07-19,10.0
2016-07-20,0.0
2016-07-21,15.0
2016-07-22,20.0
2016-07-23,11.0
2016-07-24,23.0
2016-07-25,14.0
2016-07-26,19.0
2016-07-27,19.0
2016-07-28,24.0
2016-07-29,31.0
2016-07-30,35.0
2016-07-31,23.0
2016-08-01,0.0
2016-08-02,10.0
2016-08-03,20.0
2016-08-04,10.0
2016-08-05,10.0
2016-08-06,23.0
2016-08-07,11.0
2016-08-08,19.0
2016-08-09,14.0
2016-08-10,10.0
2016-08-11,10.0
2016-08-12,20.0
2016-08-13,23.0
2016-08-14,11.0
2016-08-15,15.0
2016-08-16,20.0
2016-08-17,14.0
2016-08-18,0.0
2016-08-19,30.0
2016-08-20,0.0
2016-08-21,11.0
2016-08-22,10.0
2016-08-23,0.0
2016-08-24,38.0
2016-08-25,0.0
2016-08-26,15.0
2016-08-27,11.0
2016-08-28,11.0
2016-08-29,9.0
2016-08-30,9.0
2016-08-31,0.0
2016-09-01,9.0
2016-09-02,20.0
2016-09-03,11.0
2016-09-04,11.0
2016-09-05,0.0
2016-09-06,14.0
2016-09-07,19.0
2016-09-08,19.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,22.0
2016-09-12,19.0
2016-09-13,9.0
2016-09-14,28.0
2016-09-15,9.0
2016-09-16,15.0
2016-09-17,11.0
2016-09-18,0.0
2016-09-19,9.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,10.0
2016-09-24,11.0
2016-09-25,16.0
2016-09-26,9.0
2016-09-27,14.0
2016-09-28,23.0
2016-09-29,9.0
2016-09-30,14.0
