date,hillary clinton crooked
2016-05-01,5.0
2016-05-02,9.0
2016-05-03,8.0
2016-05-04,25.0
2016-05-05,16.0
2016-05-06,18.0
2016-05-07,5.0
2016-05-08,5.0
2016-05-09,6.0
2016-05-10,8.0
2016-05-11,13.0
2016-05-12,11.0
2016-05-13,13.0
2016-05-14,13.0
2016-05-15,15.0
2016-05-16,9.0
2016-05-17,21.0
2016-05-18,15.0
2016-05-19,9.0
2016-05-20,9.0
2016-05-21,8.0
2016-05-22,18.0
2016-05-23,13.0
2016-05-24,9.0
2016-05-25,17.0
2016-05-26,20.0
2016-05-27,18.0
2016-05-28,15.0
2016-05-29,5.0
2016-05-30,18.0
2016-05-31,4.0
2016-06-01,13.0
2016-06-02,28.0
2016-06-03,25.0
2016-06-04,16.0
2016-06-05,33.0
2016-06-06,43.0
2016-06-07,13.0
2016-06-08,41.0
2016-06-09,37.0
2016-06-10,100.0
2016-06-11,86.0
2016-06-12,28.0
2016-06-13,6.0
2016-06-14,19.0
2016-06-15,21.0
2016-06-16,15.0
2016-06-17,14.0
2016-06-18,18.0
2016-06-19,10.0
2016-06-20,6.0
2016-06-21,15.0
2016-06-22,22.0
2016-06-23,35.0
2016-06-24,43.0
2016-06-25,41.0
2016-06-26,31.0
2016-06-27,17.0
2016-06-28,13.0
2016-06-29,20.0
2016-06-30,18.0
2016-07-01,25.0
2016-07-02,10.0
2016-07-03,29.0
2016-07-04,23.0
2016-07-05,47.0
2016-07-06,45.0
2016-07-07,29.0
2016-07-08,18.0
2016-07-09,8.0
2016-07-10,8.0
2016-07-11,11.0
2016-07-12,9.0
2016-07-13,11.0
2016-07-14,31.0
2016-07-15,32.0
2016-07-16,23.0
2016-07-17,21.0
2016-07-18,9.0
2016-07-19,20.0
2016-07-20,16.0
2016-07-21,14.0
2016-07-22,25.0
2016-07-23,18.0
2016-07-24,67.0
2016-07-25,59.0
2016-07-26,53.0
2016-07-27,48.0
2016-07-28,36.0
2016-07-29,37.0
2016-07-30,34.0
2016-07-31,50.0
2016-08-01,20.0
2016-08-02,31.0
2016-08-03,25.0
2016-08-04,7.0
2016-08-05,9.0
2016-08-06,16.0
2016-08-07,10.0
2016-08-08,22.0
2016-08-09,15.0
2016-08-10,13.0
2016-08-11,25.0
2016-08-12,16.0
2016-08-13,16.0
2016-08-14,26.0
2016-08-15,11.0
2016-08-16,15.0
2016-08-17,15.0
2016-08-18,13.0
2016-08-19,7.0
2016-08-20,15.0
2016-08-21,18.0
2016-08-22,11.0
2016-08-23,20.0
2016-08-24,15.0
2016-08-25,27.0
2016-08-26,11.0
2016-08-27,18.0
2016-08-28,18.0
2016-08-29,8.0
2016-08-30,17.0
2016-08-31,4.0
2016-09-01,6.0
2016-09-02,13.0
2016-09-03,8.0
2016-09-04,20.0
2016-09-05,7.0
2016-09-06,15.0
2016-09-07,11.0
2016-09-08,11.0
2016-09-09,9.0
2016-09-10,10.0
2016-09-11,12.0
2016-09-12,34.0
2016-09-13,19.0
2016-09-14,21.0
2016-09-15,13.0
2016-09-16,9.0
2016-09-17,30.0
2016-09-18,17.0
2016-09-19,17.0
2016-09-20,16.0
2016-09-21,6.0
2016-09-22,11.0
2016-09-23,27.0
2016-09-24,10.0
2016-09-25,10.0
2016-09-26,17.0
2016-09-27,41.0
2016-09-28,19.0
2016-09-29,25.0
2016-09-30,37.0
2016-10-01,24.464408725602755
2016-10-02,13.140068886337543
2016-10-03,15.140068886337543
2016-10-04,14.455797933409874
2016-10-05,7.070034443168772
2016-10-06,9.262916188289323
2016-10-07,8.885763490241104
2016-10-08,12.324339839265214
2016-10-09,20.648679678530428
2016-10-10,25.218714121699197
2016-10-11,30.218714121699197
2016-10-12,21.271526980482207
2016-10-13,36.48163030998852
2016-10-14,35.543053960964414
2016-10-15,15.640068886337543
2016-10-16,22.341561423650976
2016-10-17,29.595866819747418
2016-10-18,24.595866819747418
2016-10-19,20.332950631458097
2016-10-20,56.76176808266361
2016-10-21,8.385763490241104
2016-10-22,27.48163030998852
