date,hillary clinton event
2016-05-01,0.0
2016-05-02,7.0
2016-05-03,6.0
2016-05-04,0.0
2016-05-05,3.0
2016-05-06,0.0
2016-05-07,4.0
2016-05-08,4.0
2016-05-09,3.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,3.0
2016-05-14,4.0
2016-05-15,0.0
2016-05-16,3.0
2016-05-17,3.0
2016-05-18,6.0
2016-05-19,6.0
2016-05-20,3.0
2016-05-21,0.0
2016-05-22,4.0
2016-05-23,0.0
2016-05-24,3.0
2016-05-25,10.0
2016-05-26,3.0
2016-05-27,7.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,10.0
2016-06-01,3.0
2016-06-02,7.0
2016-06-03,14.0
2016-06-04,16.0
2016-06-05,4.0
2016-06-06,6.0
2016-06-07,10.0
2016-06-08,16.0
2016-06-09,7.0
2016-06-10,10.0
2016-06-11,4.0
2016-06-12,0.0
2016-06-13,3.0
2016-06-14,6.0
2016-06-15,3.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,4.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,3.0
2016-06-22,0.0
2016-06-23,3.0
2016-06-24,3.0
2016-06-25,0.0
2016-06-26,4.0
2016-06-27,6.0
2016-06-28,3.0
2016-06-29,7.0
2016-06-30,0.0
2016-07-01,7.0
2016-07-02,8.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,3.0
2016-07-06,0.0
2016-07-07,3.0
2016-07-08,7.0
2016-07-09,4.0
2016-07-10,4.0
2016-07-11,0.0
2016-07-12,13.0
2016-07-13,7.0
2016-07-14,7.0
2016-07-15,7.0
2016-07-16,8.0
2016-07-17,0.0
2016-07-18,3.0
2016-07-19,7.0
2016-07-20,7.0
2016-07-21,3.0
2016-07-22,7.0
2016-07-23,19.0
2016-07-24,8.0
2016-07-25,0.0
2016-07-26,7.0
2016-07-27,10.0
2016-07-28,27.0
2016-07-29,17.0
2016-07-30,16.0
2016-07-31,8.0
2016-08-01,17.0
2016-08-02,3.0
2016-08-03,10.0
2016-08-04,13.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,8.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,10.0
2016-08-11,3.0
2016-08-12,0.0
2016-08-13,8.0
2016-08-14,16.0
2016-08-15,10.0
2016-08-16,10.0
2016-08-17,0.0
2016-08-18,3.0
2016-08-19,3.0
2016-08-20,8.0
2016-08-21,0.0
2016-08-22,7.0
2016-08-23,10.0
2016-08-24,3.0
2016-08-25,0.0
2016-08-26,10.0
2016-08-27,4.0
2016-08-28,4.0
2016-08-29,6.0
2016-08-30,0.0
2016-08-31,6.0
2016-09-01,3.0
2016-09-02,3.0
2016-09-03,0.0
2016-09-04,4.0
2016-09-05,7.0
2016-09-06,16.0
2016-09-07,6.0
2016-09-08,6.0
2016-09-09,7.0
2016-09-10,7.0
2016-09-11,100.0
2016-09-12,75.0
2016-09-13,25.0
2016-09-14,22.0
2016-09-15,10.0
2016-09-16,17.0
2016-09-17,11.0
2016-09-18,33.0
2016-09-19,9.0
2016-09-20,3.0
2016-09-21,44.0
2016-09-22,16.0
2016-09-23,10.0
2016-09-24,0.0
2016-09-25,7.0
2016-09-26,3.0
2016-09-27,22.0
2016-09-28,22.0
2016-09-29,6.0
2016-09-30,16.0
2016-10-01,7.983832335329342
2016-10-02,3.0826347305389223
2016-10-03,22.17125748502994
2016-10-04,19.74790419161677
2016-10-05,7.022155688622755
2016-10-06,9.725748502994012
2016-10-07,0.0
2016-10-08,5.181437125748503
2016-10-09,1.681437125748503
2016-10-10,28.42934131736527
2016-10-11,26.050299401197606
2016-10-12,17.528143712574852
2016-10-13,7.302395209580839
2016-10-14,20.528143712574852
2016-10-15,4.901197604790419
2016-10-16,0.0
2016-10-17,5.522155688622755
2016-10-18,12.824550898203594
2016-10-19,11.423353293413173
2016-10-20,11.324550898203594
2016-10-21,37.07844311377246
2016-10-22,6.582634730538922
2016-10-23,10.082634730538922
2016-10-24,20.770059880239522
2016-10-25,12.445508982035928
2016-10-26,19.649101796407187
2016-10-27,31.57245508982036
2016-10-28,21.731736526946108
2016-10-29,27.91317365269461
2016-10-30,5.082634730538922
2016-10-31,26.33053892215569
2016-11-01,26.33053892215569
2016-11-02,23.540119760479044
2016-11-03,15.693413173652695
2016-11-04,13.451497005988024
2016-11-05,26.90299401197605
2016-11-06,38.1125748502994
2016-11-07,30.826347305389223
2016-11-08,56.04790419161677
2016-11-09,38.1125748502994
2016-11-10,2.8023952095808387
2016-11-11,5.604790419161677
2016-11-12,15.132934131736528
2016-11-13,2.8023952095808387
2016-11-14,0.0
2016-11-15,2.8023952095808387
2016-11-16,0.0
2016-11-17,7.846706586826348
2016-11-18,13.451497005988024
2016-11-19,2.8023952095808387
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,5.044311377245509
2016-11-23,0.0
2016-11-24,2.8023952095808387
2016-11-25,2.8023952095808387
2016-11-26,0.0
2016-11-27,2.8023952095808387
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,7.846706586826348
2016-12-02,0.0
2016-12-03,2.8023952095808387
2016-12-04,0.0
2016-12-05,2.8023952095808387
2016-12-06,2.8023952095808387
2016-12-07,0.0
2016-12-08,5.604790419161677
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,2.8023952095808387
2016-12-15,2.8023952095808387
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,2.8023952095808387
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,2.8023952095808387
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
