date,hillary clinton health
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,1.0
2016-05-06,2.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,1.0
2016-05-10,1.0
2016-05-11,1.0
2016-05-12,1.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,1.0
2016-05-16,0.0
2016-05-17,1.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,1.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,0.0
2016-05-29,1.0
2016-05-30,0.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,0.0
2016-06-05,1.0
2016-06-06,0.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-11,1.0
2016-06-12,0.0
2016-06-13,1.0
2016-06-14,1.0
2016-06-15,1.0
2016-06-16,1.0
2016-06-17,1.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,1.0
2016-06-22,1.0
2016-06-23,1.0
2016-06-24,1.0
2016-06-25,0.0
2016-06-26,1.0
2016-06-27,0.0
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,1.0
2016-07-02,1.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,1.0
2016-07-06,1.0
2016-07-07,1.0
2016-07-08,0.0
2016-07-09,1.0
2016-07-10,1.0
2016-07-11,0.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,1.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,1.0
2016-07-20,1.0
2016-07-21,1.0
2016-07-22,2.0
2016-07-23,2.0
2016-07-24,3.0
2016-07-25,2.0
2016-07-26,3.0
2016-07-27,5.0
2016-07-28,3.0
2016-07-29,9.0
2016-07-30,3.0
2016-07-31,3.0
2016-08-01,2.0
2016-08-02,1.0
2016-08-03,1.0
2016-08-04,2.0
2016-08-05,3.0
2016-08-06,1.0
2016-08-07,2.0
2016-08-08,13.0
2016-08-09,15.0
2016-08-10,12.0
2016-08-11,11.0
2016-08-12,9.0
2016-08-13,7.0
2016-08-14,7.0
2016-08-15,9.0
2016-08-16,10.0
2016-08-17,12.0
2016-08-18,14.0
2016-08-19,14.0
2016-08-20,10.0
2016-08-21,12.0
2016-08-22,32.0
2016-08-23,29.0
2016-08-24,15.0
2016-08-25,8.0
2016-08-26,9.0
2016-08-27,16.0
2016-08-28,34.0
2016-08-29,16.0
2016-08-30,17.0
2016-08-31,9.0
2016-09-01,7.0
2016-09-02,5.0
2016-09-03,4.0
2016-09-04,5.0
2016-09-05,6.0
2016-09-06,12.0
2016-09-07,11.0
2016-09-08,7.0
2016-09-09,8.0
2016-09-10,6.0
2016-09-11,69.0
2016-09-12,100.0
2016-09-13,76.0
2016-09-14,38.0
2016-09-15,25.0
2016-09-16,14.0
2016-09-17,12.0
2016-09-18,9.0
2016-09-19,9.0
2016-09-20,8.0
2016-09-21,13.0
2016-09-22,9.0
2016-09-23,8.0
2016-09-24,5.0
2016-09-25,7.0
2016-09-26,8.0
2016-09-27,8.0
2016-09-28,5.0
2016-09-29,4.0
2016-09-30,5.0
2016-10-01,2.383909668313338
2016-10-02,4.070924488355681
2016-10-03,2.921312632321807
2016-10-04,3.1083274523641498
2016-10-05,3.1083274523641498
2016-10-06,2.6083274523641498
2016-10-07,2.1594918842625264
2016-10-08,2.196894848270995
2016-10-09,2.1594918842625264
2016-10-10,5.39378969654199
2016-10-11,4.6693719124911786
2016-10-12,4.13196894848271
2016-10-13,3.7953422724064927
2016-10-14,2.383909668313338
2016-10-15,2.883909668313338
2016-10-16,3.1083274523641498
2016-10-17,4.094565984474242
2016-10-18,3.2205363443895556
2016-10-19,4.89378969654199
2016-10-20,5.529640084685957
2016-10-21,3.683133380381087
2016-10-22,1.9724770642201834
2016-10-23,2.883909668313338
2016-10-24,3.3701482004234298
2016-10-25,4.019760056457304
2016-10-26,3.2953422724064927
2016-10-27,3.9075511644318985
2016-10-28,3.421312632321807
2016-10-29,1.9350741002117149
2016-10-30,1.9724770642201834
2016-10-31,3.570924488355681
2016-11-01,3.1457304163726185
2016-11-02,3.2914608327452366
2016-11-03,4.039520112914609
2016-11-04,2.767819336626676
2016-11-05,2.618207480592802
2016-11-06,3.2914608327452366
2016-11-07,4.2639378969654205
2016-11-08,6.433309809456599
2016-11-09,7.480592801693719
2016-11-10,4.637967537050106
2016-11-11,2.1693719124911786
2016-11-12,1.122088920254058
2016-11-13,1.6457304163726183
2016-11-14,1.122088920254058
2016-11-15,1.0472829922371207
2016-11-16,1.1968948482709951
2016-11-17,1.7953422724064927
2016-11-18,1.1968948482709951
2016-11-19,1.1968948482709951
2016-11-20,0.8976711362032463
2016-11-21,1.0472829922371207
2016-11-22,0.748059280169372
2016-11-23,0.8228652081863091
2016-11-24,0.374029640084686
2016-11-25,0.5984474241354976
2016-11-26,0.8228652081863091
2016-11-27,0.748059280169372
2016-11-28,0.9724770642201835
2016-11-29,0.8228652081863091
2016-11-30,0.6732533521524348
2016-12-01,0.374029640084686
2016-12-02,0.374029640084686
2016-12-03,0.2244177840508116
2016-12-04,0.5984474241354976
2016-12-05,0.5236414961185604
2016-12-06,0.8228652081863091
2016-12-07,0.374029640084686
2016-12-08,0.748059280169372
2016-12-09,0.5236414961185604
2016-12-10,0.2992237120677488
2016-12-11,0.6732533521524348
2016-12-12,0.5236414961185604
2016-12-13,0.5236414961185604
2016-12-14,0.2992237120677488
2016-12-15,0.4488355681016232
2016-12-16,0.6732533521524348
2016-12-17,0.374029640084686
2016-12-18,0.2244177840508116
2016-12-19,0.5984474241354976
2016-12-20,0.4488355681016232
2016-12-21,0.4488355681016232
2016-12-22,0.4488355681016232
2016-12-23,0.374029640084686
2016-12-24,0.374029640084686
2016-12-25,0.2992237120677488
2016-12-26,0.1496118560338744
2016-12-27,0.5984474241354976
2016-12-28,0.374029640084686
2016-12-29,0.2992237120677488
2016-12-30,0.4488355681016232
2016-12-31,0.374029640084686
2017-01-01,0.5236414961185604
2017-01-02,0.374029640084686
2017-01-03,0.2992237120677488
2017-01-04,0.2992237120677488
2017-01-05,0.1496118560338744
2017-01-06,0.2992237120677488
2017-01-07,0.2244177840508116
2017-01-08,0.2244177840508116
2017-01-09,0.2992237120677488
2017-01-10,0.5984474241354976
2017-01-11,0.5236414961185604
2017-01-12,0.2992237120677488
2017-01-13,0.5236414961185604
2017-01-14,0.374029640084686
2017-01-15,0.4488355681016232
2017-01-16,0.6732533521524348
2017-01-17,0.5236414961185604
2017-01-18,0.2992237120677488
2017-01-19,0.2992237120677488
2017-01-20,0.5236414961185604
2017-01-21,0.748059280169372
2017-01-22,0.4488355681016232
2017-01-23,0.4488355681016232
2017-01-24,0.4488355681016232
2017-01-25,0.374029640084686
2017-01-26,0.374029640084686
2017-01-27,0.1496118560338744
2017-01-28,0.4488355681016232
2017-01-29,0.374029640084686
2017-01-30,0.8976711362032463
2017-01-31,0.2992237120677488
2017-02-01,0.374029640084686
2017-02-02,0.374029640084686
2017-02-03,0.374029640084686
2017-02-04,0.1496118560338744
2017-02-05,0.1496118560338744
2017-02-06,0.4488355681016232
2017-02-07,0.2992237120677488
2017-02-08,0.2992237120677488
2017-02-09,0.0
2017-02-10,0.4488355681016232
2017-02-11,0.2244177840508116
2017-02-12,0.2244177840508116
2017-02-13,0.2992237120677488
2017-02-14,0.0748059280169372
2017-02-15,0.2992237120677488
2017-02-16,0.5236414961185604
2017-02-17,0.1496118560338744
2017-02-18,0.2244177840508116
2017-02-19,0.2244177840508116
2017-02-20,0.2244177840508116
2017-02-21,0.2992237120677488
2017-02-22,0.4488355681016232
2017-02-23,0.0748059280169372
2017-02-24,0.4488355681016232
2017-02-25,0.2244177840508116
2017-02-26,0.1496118560338744
2017-02-27,0.1496118560338744
2017-02-28,0.4488355681016232
2017-03-01,0.4341317001867461
2017-03-02,0.26816179109757093
2017-03-03,0.19335586308063374
2017-03-04,0.24628978757419126
2017-03-05,0.13408089554878547
2017-03-06,0.17148385955725406
2017-03-07,0.33745376864642923
2017-03-08,0.20888682356572266
2017-03-09,0.4341317001867461
2017-03-10,0.3493087621527989
2017-03-11,0.2800167846039406
2017-03-12,0.3174197486124092
2017-03-13,0.4222767066803764
2017-03-14,0.1815008695742641
2017-03-15,0.28369275158265983
2017-03-16,0.26264784062949204
2017-03-17,0.0374029640084686
2017-03-18,0.24261382059547199
2017-03-19,0.13408089554878547
2017-03-20,0.0748059280169372
2017-03-21,0.0748059280169372
2017-03-22,0.3155817651230496
2017-03-23,0.4277906571484553
2017-03-24,0.7670824092842442
2017-03-25,0.7396964552927856
2017-03-26,0.3922256766293464
2017-03-27,0.5089376282036833
2017-03-28,0.2563067975912013
2017-03-29,0.5682125957355315
2017-03-30,0.17148385955725406
2017-03-31,0.20888682356572266
2017-04-01,0.2052108565870034
2017-04-02,0.14225992207643584
2017-04-03,0.35564980519108963
2017-04-04,0.5690396883057434
2017-04-05,0.0
2017-04-06,0.2370998701273931
2017-04-07,0.2370998701273931
2017-04-08,0.2608098571401324
2017-04-09,0.0
2017-04-10,0.11854993506369654
2017-04-11,0.0
2017-04-12,0.11854993506369654
2017-04-13,0.11854993506369654
2017-04-14,0.14225992207643584
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.11854993506369654
2017-04-19,0.11854993506369654
2017-04-20,0.0
2017-04-21,0.2370998701273931
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.11854993506369654
2017-04-25,0.0
2017-04-26,0.11854993506369654
2017-04-27,0.2370998701273931
2017-04-28,0.11854993506369654
2017-04-29,0.0
2017-04-30,0.14225992207643584
2017-05-01,0.11854993506369654
2017-05-02,0.11854993506369654
2017-05-03,2.3709987012739306
2017-05-04,0.68758962336944
2017-05-05,0.5927496753184827
2017-05-06,0.14225992207643584
2017-05-07,0.4030697792165682
2017-05-08,0.2370998701273931
2017-05-09,0.33193981817835033
2017-05-10,0.33193981817835033
2017-05-11,0.11854993506369654
2017-05-12,0.2370998701273931
2017-05-13,0.0
2017-05-14,0.14225992207643584
2017-05-15,0.2370998701273931
2017-05-16,0.11854993506369654
2017-05-17,0.0
2017-05-18,0.2370998701273931
2017-05-19,0.11854993506369654
2017-05-20,0.2608098571401324
2017-05-21,0.2608098571401324
2017-05-22,0.11854993506369654
2017-05-23,0.33193981817835033
2017-05-24,0.0
2017-05-25,0.2370998701273931
2017-05-26,0.2608098571401324
2017-05-27,0.5690396883057434
2017-05-28,0.2845198441528717
2017-05-29,0.2370998701273931
2017-05-30,0.5927496753184827
2017-05-31,0.2370998701273931
