date,hillary clinton nazi
2016-05-01,0.0
2016-05-02,6.802734375
2016-05-03,6.802734375
2016-05-04,9.826171875
2016-05-05,14.361328125
2016-05-06,0.0
2016-05-07,8.314453125
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,6.802734375
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,8.314453125
2016-05-15,15.873046875
2016-05-16,6.802734375
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,6.802734375
2016-05-20,0.0
2016-05-21,8.314453125
2016-05-22,0.0
2016-05-23,13.60546875
2016-05-24,0.0
2016-05-25,10.58203125
2016-05-26,7.55859375
2016-05-27,7.55859375
2016-05-28,0.0
2016-05-29,8.314453125
2016-05-30,0.0
2016-05-31,6.802734375
2016-06-01,13.60546875
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,8.314453125
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,10.58203125
2016-06-08,13.60546875
2016-06-09,14.361328125
2016-06-10,10.58203125
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,13.60546875
2016-06-14,6.802734375
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,8.314453125
2016-06-19,8.314453125
2016-06-20,6.802734375
2016-06-21,0.0
2016-06-22,6.802734375
2016-06-23,10.58203125
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,8.314453125
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,6.802734375
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,8.314453125
2016-07-03,8.314453125
2016-07-04,14.361328125
2016-07-05,0.0
2016-07-06,7.55859375
2016-07-07,6.802734375
2016-07-08,11.337890625
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,6.802734375
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,6.802734375
2016-07-15,0.0
2016-07-16,8.314453125
2016-07-17,0.0
2016-07-18,6.802734375
2016-07-19,6.802734375
2016-07-20,0.0
2016-07-21,75.5859375
2016-07-22,43.83984375
2016-07-23,16.62890625
2016-07-24,8.314453125
2016-07-25,6.802734375
2016-07-26,14.361328125
2016-07-27,14.361328125
2016-07-28,21.1640625
2016-07-29,37.037109375
2016-07-30,8.314453125
2016-07-31,8.314453125
2016-08-01,6.802734375
2016-08-02,6.802734375
2016-08-03,6.802734375
2016-08-04,6.802734375
2016-08-05,0.0
2016-08-06,8.314453125
2016-08-07,8.314453125
2016-08-08,0.0
2016-08-09,10.58203125
2016-08-10,0.0
2016-08-11,14.361328125
2016-08-12,7.55859375
2016-08-13,0.0
2016-08-14,8.314453125
2016-08-15,0.0
2016-08-16,6.802734375
2016-08-17,6.802734375
2016-08-18,0.0
2016-08-19,7.55859375
2016-08-20,8.314453125
2016-08-21,8.314453125
2016-08-22,0.0
2016-08-23,10.58203125
2016-08-24,6.802734375
2016-08-25,10.58203125
2016-08-26,14.361328125
2016-08-27,0.0
2016-08-28,8.314453125
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,13.60546875
2016-09-01,6.802734375
2016-09-02,6.802734375
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,13.60546875
2016-09-06,13.60546875
2016-09-07,9.826171875
2016-09-08,6.802734375
2016-09-09,6.802734375
2016-09-10,0.0
2016-09-11,7.55859375
2016-09-12,0.0
2016-09-13,16.62890625
2016-09-14,6.802734375
2016-09-15,13.60546875
2016-09-16,6.802734375
2016-09-17,15.873046875
2016-09-18,7.55859375
2016-09-19,9.826171875
2016-09-20,9.826171875
2016-09-21,0.0
2016-09-22,6.802734375
2016-09-23,14.361328125
2016-09-24,7.55859375
2016-09-25,7.55859375
2016-09-26,16.62890625
2016-09-27,12.849609375
2016-09-28,19.65234375
2016-09-29,20.408203125
2016-09-30,6.802734375
2016-10-01,3.779296875
2016-10-02,12.1689453125
2016-10-03,11.4013671875
2016-10-04,7.4013671875
2016-10-05,10.4248046875
2016-10-06,13.826171875
2016-10-07,3.4013671875
2016-10-08,0.0
2016-10-09,3.779296875
2016-10-10,16.802734375
2016-10-11,10.9130859375
2016-10-12,7.4013671875
2016-10-13,21.826171875
2016-10-14,21.60546875
2016-10-15,8.279296875
2016-10-16,8.279296875
2016-10-17,17.326171875
2016-10-18,4.0
2016-10-19,4.0
2016-10-20,20.4130859375
2016-10-21,10.802734375
2016-10-22,8.279296875
2016-10-23,12.05859375
2016-10-24,14.4248046875
2016-10-25,21.4365234375
2016-10-26,10.5234375
2016-10-27,11.4013671875
2016-10-28,12.802734375
2016-10-29,28.7744140625
2016-10-30,24.837890625
2016-10-31,13.826171875
2016-11-01,10.802734375
2016-11-02,16.0
2016-11-03,15.0
2016-11-04,8.0
2016-11-05,9.0
2016-11-06,9.0
2016-11-07,15.0
2016-11-08,83.0
2016-11-09,100.0
2016-11-10,50.0
2016-11-11,12.0
2016-11-12,18.0
2016-11-13,26.0
2016-11-14,15.0
2016-11-15,23.0
2016-11-16,19.0
2016-11-17,16.0
2016-11-18,8.0
2016-11-19,9.0
2016-11-20,9.0
2016-11-21,0.0
2016-11-22,23.0
2016-11-23,23.0
2016-11-24,0.0
2016-11-25,16.0
2016-11-26,13.0
2016-11-27,9.0
2016-11-28,7.0
2016-11-29,7.0
2016-11-30,0.0
2016-12-01,8.0
2016-12-02,8.0
2016-12-03,0.0
2016-12-04,9.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,9.0
2016-12-12,8.0
2016-12-13,0.0
2016-12-14,15.0
2016-12-15,0.0
2016-12-16,8.0
2016-12-17,0.0
2016-12-18,18.0
2016-12-19,8.0
2016-12-20,8.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,10.0
2016-12-25,0.0
2016-12-26,9.0
2016-12-27,8.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,8.0
2017-01-06,8.0
2017-01-07,9.0
2017-01-08,0.0
2017-01-09,7.0
2017-01-10,7.0
2017-01-11,8.0
2017-01-12,8.0
2017-01-13,0.0
2017-01-14,9.0
2017-01-15,0.0
2017-01-16,11.0
2017-01-17,0.0
2017-01-18,7.0
2017-01-19,11.0
2017-01-20,15.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,7.0
2017-01-24,0.0
2017-01-25,7.0
2017-01-26,0.0
2017-01-27,8.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,7.0
2017-01-31,11.0
2017-02-01,15.0
2017-02-02,15.0
2017-02-03,30.0
2017-02-04,9.0
2017-02-05,0.0
2017-02-06,7.0
2017-02-07,15.0
2017-02-08,7.0
2017-02-09,7.0
2017-02-10,8.0
2017-02-11,9.0
2017-02-12,9.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,7.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,9.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,7.0
2017-02-23,15.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,8.0
2017-03-01,6.479400749063671
2017-03-02,0.0
2017-03-03,7.187265917602996
2017-03-04,0.0
2017-03-05,10.928838951310862
2017-03-06,0.0
2017-03-07,2.9794007490636707
2017-03-08,0.0
2017-03-09,2.9794007490636707
2017-03-10,10.617977528089888
2017-03-11,8.5
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,6.479400749063671
2017-03-15,0.0
2017-03-16,6.479400749063671
2017-03-17,0.0
2017-03-18,3.464419475655431
2017-03-19,0.0
2017-03-20,3.5
2017-03-21,8.479400749063672
2017-03-22,0.0
2017-03-23,6.548689138576779
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,9.835205992509364
2017-03-27,2.9794007490636707
2017-03-28,0.0
2017-03-29,3.1179775280898876
2017-03-30,0.0
2017-03-31,10.4438202247191
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,7.48314606741573
2017-04-10,0.0
2017-04-11,6.235955056179775
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,7.067415730337079
2017-04-15,7.48314606741573
2017-04-16,7.344569288389513
2017-04-17,6.51310861423221
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,6.235955056179775
2017-04-25,0.0
2017-04-26,12.0561797752809
