date,hillary clinton strength
2016-05-01,0.0
2016-05-02,62.29007633587786
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,31.14503816793893
2016-05-14,0.0
2016-05-15,35.725190839694655
2016-05-16,30.229007633587784
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,30.229007633587784
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,30.229007633587784
2016-06-07,0.0
2016-06-08,61.37404580152671
2016-06-09,31.14503816793893
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,30.229007633587784
2016-06-14,30.229007633587784
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,30.229007633587784
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,31.14503816793893
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,31.14503816793893
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,31.14503816793893
2016-07-19,31.14503816793893
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,36.6412213740458
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,31.14503816793893
2016-07-27,31.14503816793893
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,36.6412213740458
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,32.97709923664122
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,31.14503816793893
2016-08-09,31.14503816793893
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,32.06106870229007
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,35.725190839694655
2016-08-21,0.0
2016-08-22,91.6030534351145
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,30.229007633587784
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,61.37404580152671
2016-09-06,30.229007633587784
2016-09-07,30.229007633587784
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,34.80916030534351
2016-09-11,34.80916030534351
2016-09-12,91.6030534351145
2016-09-13,30.229007633587784
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,31.14503816793893
2016-09-17,34.80916030534351
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,34.80916030534351
2016-09-25,34.80916030534351
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,31.14503816793893
2016-10-01,16.946564885496183
2016-10-02,16.48854961832061
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,34.19847328244275
2016-10-06,14.65648854961832
2016-10-07,10.5
2016-10-08,0.0
2016-10-09,57.39312977099237
2016-10-10,45.15648854961832
2016-10-11,0.0
2016-10-12,10.0
2016-10-13,53.969465648854964
2016-10-14,40.270992366412216
2016-10-15,0.0
2016-10-16,11.5
2016-10-17,10.0
2016-10-18,0.0
2016-10-19,43.854961832061065
2016-10-20,38.854961832061065
2016-10-21,20.5
2016-10-22,0.0
2016-10-23,11.5
2016-10-24,28.85496183206107
2016-10-25,24.198473282442748
2016-10-26,9.5
2016-10-27,24.65648854961832
2016-10-28,21.0
2016-10-29,35.5
2016-10-30,0.0
2016-10-31,10.0
2016-11-01,10.5
2016-11-02,40.0
2016-11-03,39.0
2016-11-04,20.0
2016-11-05,45.0
2016-11-06,0.0
2016-11-07,68.0
2016-11-08,67.0
2016-11-09,100.0
2016-11-10,30.0
2016-11-11,21.0
2016-11-12,0.0
2016-11-13,22.0
2016-11-14,0.0
2016-11-15,20.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,20.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,19.0
2016-11-22,0.0
2016-11-23,20.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,19.0
2016-11-30,19.0
2016-12-01,0.0
2016-12-02,20.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,19.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,19.0
2016-12-14,19.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,23.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,22.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,19.0
2017-01-12,19.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,22.0
2017-01-16,0.0
2017-01-17,19.0
2017-01-18,19.0
2017-01-19,0.0
2017-01-20,19.0
2017-01-21,22.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,19.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,19.0
2017-02-08,0.0
2017-02-09,19.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,9.5
2017-03-17,0.0
2017-03-18,10.5
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,28.56896551724138
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,10.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,20.43103448275862
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,38.13793103448276
2017-04-19,38.5919540229885
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,44.49425287356322
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,45.40229885057471
2017-05-08,0.0
