date,hillary clinton stroke
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,2.0
2016-05-05,0.0
2016-05-06,3.0
2016-05-07,3.0
2016-05-08,0.0
2016-05-09,2.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,2.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,3.0
2016-05-28,0.0
2016-05-29,3.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,2.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,2.0
2016-06-09,5.0
2016-06-10,0.0
2016-06-11,3.0
2016-06-12,0.0
2016-06-13,2.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,2.0
2016-06-17,0.0
2016-06-18,6.0
2016-06-19,3.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,5.0
2016-06-23,0.0
2016-06-24,3.0
2016-06-25,0.0
2016-06-26,3.0
2016-06-27,0.0
2016-06-28,2.0
2016-06-29,2.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,2.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,3.0
2016-07-18,2.0
2016-07-19,2.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,3.0
2016-07-23,9.0
2016-07-24,9.0
2016-07-25,5.0
2016-07-26,0.0
2016-07-27,12.0
2016-07-28,10.0
2016-07-29,18.0
2016-07-30,23.0
2016-07-31,6.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,2.0
2016-08-04,5.0
2016-08-05,5.0
2016-08-06,12.0
2016-08-07,11.0
2016-08-08,29.0
2016-08-09,10.0
2016-08-10,17.0
2016-08-11,10.0
2016-08-12,13.0
2016-08-13,3.0
2016-08-14,14.0
2016-08-15,18.0
2016-08-16,10.0
2016-08-17,10.0
2016-08-18,7.0
2016-08-19,10.0
2016-08-20,3.0
2016-08-21,20.0
2016-08-22,7.0
2016-08-23,7.0
2016-08-24,2.0
2016-08-25,7.0
2016-08-26,5.0
2016-08-27,3.0
2016-08-28,17.0
2016-08-29,7.0
2016-08-30,0.0
2016-08-31,5.0
2016-09-01,7.0
2016-09-02,5.0
2016-09-03,3.0
2016-09-04,0.0
2016-09-05,5.0
2016-09-06,16.0
2016-09-07,7.0
2016-09-08,5.0
2016-09-09,2.0
2016-09-10,16.0
2016-09-11,93.0
2016-09-12,100.0
2016-09-13,63.0
2016-09-14,28.0
2016-09-15,24.0
2016-09-16,0.0
2016-09-17,3.0
2016-09-18,5.0
2016-09-19,5.0
2016-09-20,2.0
2016-09-21,7.0
2016-09-22,9.0
2016-09-23,15.0
2016-09-24,5.0
2016-09-25,5.0
2016-09-26,7.0
2016-09-27,25.0
2016-09-28,5.0
2016-09-29,5.0
2016-09-30,5.0
2016-10-01,6.813953488372093
2016-10-02,4.47093023255814
2016-10-03,2.299418604651163
2016-10-04,5.878737541528239
2016-10-05,1.1731727574750832
2016-10-06,1.1731727574750832
2016-10-07,0.0
2016-10-08,4.517857142857142
2016-10-09,4.17483388704319
2016-10-10,11.64576411960133
2016-10-11,1.1731727574750832
2016-10-12,0.0
2016-10-13,4.799418604651163
2016-10-14,3.7200996677740865
2016-10-15,2.813953488372093
2016-10-16,2.813953488372093
2016-10-17,1.12624584717608
2016-10-18,3.12624584717608
2016-10-19,3.299418604651163
2016-10-20,9.488787375415283
2016-10-21,2.173172757475083
2016-10-22,7.94186046511628
2016-10-23,2.813953488372093
2016-10-24,2.12624584717608
2016-10-25,2.25249169435216
2016-10-26,6.9256644518272426
2016-10-27,1.0
2016-10-28,3.3932724252491697
2016-10-29,1.5
2016-10-30,3.517857142857143
2016-10-31,3.673172757475083
2016-11-01,1.1731727574750832
2016-11-02,9.197674418604652
2016-11-03,7.883720930232559
2016-11-04,2.3463455149501664
2016-11-05,0.0
2016-11-06,2.5340531561461797
2016-11-07,6.663621262458472
2016-11-08,5.537375415282392
2016-11-09,9.385382059800666
2016-11-10,3.3787375415282392
2016-11-11,4.692691029900333
2016-11-12,2.6279069767441863
2016-11-13,0.0
2016-11-14,2.25249169435216
2016-11-15,2.25249169435216
2016-11-16,4.50498338870432
2016-11-17,4.598837209302326
2016-11-18,2.3463455149501664
2016-11-19,2.6279069767441863
2016-11-20,2.5340531561461797
2016-11-21,4.411129568106312
2016-11-22,4.50498338870432
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,2.5340531561461797
2016-11-27,2.5340531561461797
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,2.25249169435216
2016-12-01,2.25249169435216
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,2.1586378737541527
2016-12-13,2.25249169435216
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,2.3463455149501664
2016-12-17,2.6279069767441863
2016-12-18,2.6279069767441863
2016-12-19,2.25249169435216
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,2.8156146179401995
2016-12-25,2.909468438538206
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,2.440199335548173
2016-12-29,2.440199335548173
2016-12-30,0.0
2016-12-31,2.8156146179401995
2017-01-01,2.8156146179401995
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,2.1586378737541527
2017-01-05,0.0
2017-01-06,2.3463455149501664
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,2.25249169435216
2017-01-14,2.5340531561461797
2017-01-15,2.440199335548173
2017-01-16,2.1586378737541527
2017-01-17,2.1586378737541527
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,2.1586378737541527
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,2.5340531561461797
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
