date,hillary clinton suit
2016-05-01,1.90625
2016-05-02,1.90625
2016-05-03,0.0
2016-05-04,4.765625
2016-05-05,1.90625
2016-05-06,0.0
2016-05-07,1.90625
2016-05-08,1.90625
2016-05-09,1.90625
2016-05-10,3.8125
2016-05-11,1.90625
2016-05-12,1.90625
2016-05-13,1.90625
2016-05-14,0.0
2016-05-15,3.8125
2016-05-16,1.90625
2016-05-17,4.765625
2016-05-18,1.90625
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,1.90625
2016-05-22,1.90625
2016-05-23,1.90625
2016-05-24,0.0
2016-05-25,1.90625
2016-05-26,0.0
2016-05-27,3.8125
2016-05-28,1.90625
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,4.765625
2016-06-02,1.90625
2016-06-03,3.8125
2016-06-04,1.90625
2016-06-05,3.8125
2016-06-06,0.0
2016-06-07,4.765625
2016-06-08,12.390625
2016-06-09,8.578125
2016-06-10,3.8125
2016-06-11,8.578125
2016-06-12,3.8125
2016-06-13,4.765625
2016-06-14,1.90625
2016-06-15,1.90625
2016-06-16,1.90625
2016-06-17,3.8125
2016-06-18,6.671875
2016-06-19,1.90625
2016-06-20,1.90625
2016-06-21,4.765625
2016-06-22,10.484375
2016-06-23,3.8125
2016-06-24,5.71875
2016-06-25,1.90625
2016-06-26,1.90625
2016-06-27,1.90625
2016-06-28,1.90625
2016-06-29,6.671875
2016-06-30,1.90625
2016-07-01,3.8125
2016-07-02,6.671875
2016-07-03,1.90625
2016-07-04,1.90625
2016-07-05,7.625
2016-07-06,5.71875
2016-07-07,9.53125
2016-07-08,1.90625
2016-07-09,0.0
2016-07-10,8.578125
2016-07-11,3.8125
2016-07-12,0.0
2016-07-13,3.8125
2016-07-14,1.90625
2016-07-15,1.90625
2016-07-16,3.8125
2016-07-17,1.90625
2016-07-18,3.8125
2016-07-19,3.8125
2016-07-20,5.71875
2016-07-21,1.90625
2016-07-22,9.53125
2016-07-23,12.390625
2016-07-24,12.390625
2016-07-25,6.671875
2016-07-26,16.203125
2016-07-27,10.484375
2016-07-28,7.625
2016-07-29,95.3125
2016-07-30,36.21875
2016-07-31,12.390625
2016-08-01,14.296875
2016-08-02,14.296875
2016-08-03,7.625
2016-08-04,7.625
2016-08-05,9.53125
2016-08-06,4.765625
2016-08-07,6.671875
2016-08-08,3.8125
2016-08-09,20.015625
2016-08-10,3.8125
2016-08-11,5.71875
2016-08-12,5.71875
2016-08-13,1.90625
2016-08-14,3.8125
2016-08-15,5.71875
2016-08-16,7.625
2016-08-17,1.90625
2016-08-18,5.71875
2016-08-19,9.53125
2016-08-20,5.71875
2016-08-21,8.578125
2016-08-22,3.8125
2016-08-23,10.484375
2016-08-24,6.671875
2016-08-25,3.8125
2016-08-26,10.484375
2016-08-27,3.8125
2016-08-28,1.90625
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,3.8125
2016-09-02,5.71875
2016-09-03,5.71875
2016-09-04,8.578125
2016-09-05,5.71875
2016-09-06,3.8125
2016-09-07,3.8125
2016-09-08,6.671875
2016-09-09,3.8125
2016-09-10,12.390625
2016-09-11,7.625
2016-09-12,14.296875
2016-09-13,8.578125
2016-09-14,6.671875
2016-09-15,4.765625
2016-09-16,12.390625
2016-09-17,1.90625
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,6.671875
2016-09-21,3.8125
2016-09-22,8.578125
2016-09-23,6.671875
2016-09-24,3.8125
2016-09-25,1.90625
2016-09-26,11.4375
2016-09-27,58.140625
2016-09-28,30.5
2016-09-29,15.25
2016-09-30,10.484375
2016-10-01,10.71875
2016-10-02,5.859375
2016-10-03,12.6015625
2016-10-04,11.671875
2016-10-05,8.265625
2016-10-06,7.3359375
2016-10-07,13.6953125
2016-10-08,10.71875
2016-10-09,7.8125
2016-10-10,28.34375
2016-10-11,18.5078125
2016-10-12,12.2421875
2016-10-13,7.3828125
2016-10-14,13.7421875
2016-10-15,7.765625
2016-10-16,15.671875
2016-10-17,13.1015625
2016-10-18,7.2890625
2016-10-19,8.265625
2016-10-20,93.84375
2016-10-21,38.828125
2016-10-22,14.21875
2016-10-23,9.765625
2016-10-24,16.125
2016-10-25,14.1484375
2016-10-26,10.765625
2016-10-27,6.8359375
2016-10-28,15.078125
2016-10-29,16.53125
2016-10-30,6.953125
2016-10-31,14.578125
2016-11-01,9.3359375
2016-11-02,11.0
2016-11-03,8.0
2016-11-04,13.0
2016-11-05,14.0
2016-11-06,14.0
2016-11-07,14.0
2016-11-08,45.0
2016-11-09,48.0
2016-11-10,32.0
2016-11-11,24.0
2016-11-12,17.0
2016-11-13,10.0
2016-11-14,5.0
2016-11-15,6.0
2016-11-16,3.0
2016-11-17,4.0
2016-11-18,4.0
2016-11-19,6.0
2016-11-20,4.0
2016-11-21,3.0
2016-11-22,3.0
2016-11-23,4.0
2016-11-24,9.0
2016-11-25,4.0
2016-11-26,9.0
2016-11-27,4.0
2016-11-28,5.0
2016-11-29,2.0
2016-11-30,4.0
2016-12-01,2.0
2016-12-02,3.0
2016-12-03,3.0
2016-12-04,6.0
2016-12-05,7.0
2016-12-06,2.0
2016-12-07,3.0
2016-12-08,0.0
2016-12-09,2.0
2016-12-10,2.0
2016-12-11,2.0
2016-12-12,0.0
2016-12-13,2.0
2016-12-14,5.0
2016-12-15,3.0
2016-12-16,2.0
2016-12-17,0.0
2016-12-18,3.0
2016-12-19,2.0
2016-12-20,5.0
2016-12-21,2.0
2016-12-22,5.0
2016-12-23,4.0
2016-12-24,4.0
2016-12-25,2.0
2016-12-26,2.0
2016-12-27,2.0
2016-12-28,2.0
2016-12-29,0.0
2016-12-30,2.0
2016-12-31,2.0
2017-01-01,2.0
2017-01-02,2.0
2017-01-03,2.0
2017-01-04,3.0
2017-01-05,3.0
2017-01-06,4.0
2017-01-07,2.0
2017-01-08,2.0
2017-01-09,0.0
2017-01-10,2.0
2017-01-11,2.0
2017-01-12,2.0
2017-01-13,2.0
2017-01-14,0.0
2017-01-15,2.0
2017-01-16,2.0
2017-01-17,3.0
2017-01-18,2.0
2017-01-19,2.0
2017-01-20,8.0
2017-01-21,14.0
2017-01-22,0.0
2017-01-23,4.0
2017-01-24,2.0
2017-01-25,2.0
2017-01-26,3.0
2017-01-27,3.0
2017-01-28,5.0
2017-01-29,0.0
2017-01-30,3.0
2017-01-31,4.0
2017-02-01,3.0
2017-02-02,3.0
2017-02-03,2.0
2017-02-04,2.0
2017-02-05,5.0
2017-02-06,2.0
2017-02-07,3.0
2017-02-08,3.0
2017-02-09,2.0
2017-02-10,3.0
2017-02-11,4.0
2017-02-12,4.0
2017-02-13,0.0
2017-02-14,2.0
2017-02-15,2.0
2017-02-16,2.0
2017-02-17,2.0
2017-02-18,2.0
2017-02-19,0.0
2017-02-20,2.0
2017-02-21,2.0
2017-02-22,3.0
2017-02-23,0.0
2017-02-24,2.0
2017-02-25,0.0
2017-02-26,2.0
2017-02-27,2.0
2017-02-28,2.0
2017-03-01,2.0303300624442464
2017-03-02,2.0303300624442464
2017-03-03,1.0
2017-03-04,0.0
2017-03-05,3.1552185548617304
2017-03-06,1.0
2017-03-07,3.029438001784121
2017-03-08,5.06021409455843
2017-03-09,5.560660124888493
2017-03-10,3.6543264942016056
2017-03-11,2.1864406779661016
2017-03-12,2.1864406779661016
2017-03-13,0.0
2017-03-14,5.559768064228368
2017-03-15,2.0303300624442464
2017-03-16,0.0
2017-03-17,1.0
2017-03-18,3.3728813559322033
2017-03-19,2.1864406779661016
2017-03-20,1.0303300624442462
2017-03-21,0.0
2017-03-22,1.0
2017-03-23,3.5918822479928636
2017-03-24,1.0927743086529884
2017-03-25,1.5
2017-03-26,3.217662801070473
2017-03-27,1.0303300624442462
2017-03-28,1.5298840321141838
2017-03-29,3.092328278322926
2017-03-30,2.561552185548617
2017-03-31,2.0927743086529884
2017-04-01,3.217662801070473
2017-04-02,2.4353256021409453
2017-04-03,2.1231043710972344
2017-04-04,4.183764495985727
2017-04-05,6.244424620874219
2017-04-06,4.246208742194469
2017-04-07,0.0
2017-04-08,4.933095450490633
2017-04-09,2.5602140945584297
2017-04-10,2.1231043710972344
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,2.247992863514719
2017-04-14,2.4353256021409453
2017-04-15,0.0
2017-04-16,2.4977698483496877
2017-04-17,0.0
2017-04-18,2.0606601248884924
2017-04-19,0.0
2017-04-20,2.1231043710972344
2017-04-21,4.433541480820695
2017-04-22,2.4353256021409453
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,2.0606601248884924
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,4.371097234611954
2017-04-29,2.4977698483496877
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,3.1222123104371096
2017-05-03,2.0606601248884924
2017-05-04,2.1231043710972344
2017-05-05,2.185548617305977
2017-05-06,0.0
2017-05-07,2.4353256021409453
2017-05-08,0.0
2017-05-09,2.0606601248884924
2017-05-10,0.0
2017-05-11,2.1231043710972344
2017-05-12,4.371097234611954
2017-05-13,2.4353256021409453
2017-05-14,0.0
2017-05-15,2.1231043710972344
2017-05-16,3.1222123104371096
2017-05-17,3.1222123104371096
2017-05-18,2.1231043710972344
2017-05-19,2.185548617305977
2017-05-20,0.0
2017-05-21,2.4977698483496877
2017-05-22,2.1231043710972344
2017-05-23,3.1222123104371096
2017-05-24,2.1231043710972344
2017-05-25,2.185548617305977
2017-05-26,4.620874219446923
2017-05-27,5.1204281891168595
2017-05-28,5.182872435325602
2017-05-29,2.247992863514719
2017-05-30,0.0
2017-05-31,2.1231043710972344
2017-06-01,2.1231043710972344
2017-06-02,0.0
2017-06-03,0.0
