date,hillary crook
2016-05-01,0.0
2016-05-02,11.0
2016-05-03,0.0
2016-05-04,6.0
2016-05-05,12.0
2016-05-06,12.0
2016-05-07,14.0
2016-05-08,7.0
2016-05-09,0.0
2016-05-10,11.0
2016-05-11,11.0
2016-05-12,11.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,11.0
2016-05-18,0.0
2016-05-19,11.0
2016-05-20,6.0
2016-05-21,7.0
2016-05-22,7.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,6.0
2016-05-26,6.0
2016-05-27,6.0
2016-05-28,7.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,6.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,7.0
2016-06-06,0.0
2016-06-07,11.0
2016-06-08,17.0
2016-06-09,6.0
2016-06-10,36.0
2016-06-11,100.0
2016-06-12,20.0
2016-06-13,11.0
2016-06-14,17.0
2016-06-15,6.0
2016-06-16,17.0
2016-06-17,0.0
2016-06-18,7.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,11.0
2016-06-22,17.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,7.0
2016-06-27,6.0
2016-06-28,6.0
2016-06-29,6.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,7.0
2016-07-03,0.0
2016-07-04,12.0
2016-07-05,53.0
2016-07-06,30.0
2016-07-07,30.0
2016-07-08,0.0
2016-07-09,7.0
2016-07-10,7.0
2016-07-11,0.0
2016-07-12,6.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,7.0
2016-07-17,0.0
2016-07-18,17.0
2016-07-19,6.0
2016-07-20,12.0
2016-07-21,6.0
2016-07-22,30.0
2016-07-23,27.0
2016-07-24,20.0
2016-07-25,29.0
2016-07-26,40.0
2016-07-27,29.0
2016-07-28,29.0
2016-07-29,24.0
2016-07-30,28.0
2016-07-31,0.0
2016-08-01,6.0
2016-08-02,12.0
2016-08-03,6.0
2016-08-04,6.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,14.0
2016-08-08,6.0
2016-08-09,12.0
2016-08-10,12.0
2016-08-11,0.0
2016-08-12,18.0
2016-08-13,7.0
2016-08-14,0.0
2016-08-15,12.0
2016-08-16,29.0
2016-08-17,12.0
2016-08-18,0.0
2016-08-19,36.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,6.0
2016-08-23,23.0
2016-08-24,6.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,7.0
2016-08-29,11.0
2016-08-30,22.0
2016-08-31,11.0
2016-09-01,0.0
2016-09-02,12.0
2016-09-03,13.0
2016-09-04,13.0
2016-09-05,6.0
2016-09-06,6.0
2016-09-07,23.0
2016-09-08,11.0
2016-09-09,12.0
2016-09-10,0.0
2016-09-11,13.0
2016-09-12,17.0
2016-09-13,11.0
2016-09-14,17.0
2016-09-15,0.0
2016-09-16,12.0
2016-09-17,6.0
2016-09-18,0.0
2016-09-19,5.0
2016-09-20,0.0
2016-09-21,6.0
2016-09-22,0.0
2016-09-23,6.0
2016-09-24,13.0
2016-09-25,0.0
2016-09-26,6.0
2016-09-27,22.0
2016-09-28,16.0
2016-09-29,11.0
2016-09-30,6.0
2016-10-01,17.0188679245283
2016-10-02,9.366037735849057
2016-10-03,11.39056603773585
2016-10-04,13.89056603773585
2016-10-05,0.0
2016-10-06,13.89056603773585
2016-10-07,14.81132075471698
2016-10-08,15.866037735849057
2016-10-09,13.518867924528303
2016-10-10,29.513207547169813
2016-10-11,19.39056603773585
2016-10-12,29.12264150943396
2016-10-13,17.256603773584906
2016-10-14,57.00188679245283
2016-10-15,15.866037735849057
2016-10-16,12.866037735849057
