date,hillary suit
2016-05-01,1.0
2016-05-02,3.0
2016-05-03,1.0
2016-05-04,4.0
2016-05-05,3.0
2016-05-06,2.0
2016-05-07,2.0
2016-05-08,4.0
2016-05-09,2.0
2016-05-10,3.0
2016-05-11,2.0
2016-05-12,2.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,4.0
2016-05-16,3.0
2016-05-17,2.0
2016-05-18,1.0
2016-05-19,2.0
2016-05-20,3.0
2016-05-21,3.0
2016-05-22,3.0
2016-05-23,2.0
2016-05-24,3.0
2016-05-25,2.0
2016-05-26,5.0
2016-05-27,3.0
2016-05-28,3.0
2016-05-29,2.0
2016-05-30,3.0
2016-05-31,1.0
2016-06-01,4.0
2016-06-02,4.0
2016-06-03,3.0
2016-06-04,4.0
2016-06-05,1.0
2016-06-06,1.0
2016-06-07,4.0
2016-06-08,18.0
2016-06-09,9.0
2016-06-10,10.0
2016-06-11,6.0
2016-06-12,4.0
2016-06-13,3.0
2016-06-14,3.0
2016-06-15,4.0
2016-06-16,5.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,4.0
2016-06-20,3.0
2016-06-21,3.0
2016-06-22,6.0
2016-06-23,3.0
2016-06-24,5.0
2016-06-25,2.0
2016-06-26,4.0
2016-06-27,2.0
2016-06-28,3.0
2016-06-29,4.0
2016-06-30,2.0
2016-07-01,2.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,4.0
2016-07-05,4.0
2016-07-06,4.0
2016-07-07,5.0
2016-07-08,2.0
2016-07-09,3.0
2016-07-10,1.0
2016-07-11,2.0
2016-07-12,1.0
2016-07-13,3.0
2016-07-14,3.0
2016-07-15,3.0
2016-07-16,3.0
2016-07-17,4.0
2016-07-18,2.0
2016-07-19,4.0
2016-07-20,7.0
2016-07-21,5.0
2016-07-22,9.0
2016-07-23,8.0
2016-07-24,11.0
2016-07-25,3.0
2016-07-26,8.0
2016-07-27,12.0
2016-07-28,14.0
2016-07-29,64.0
2016-07-30,26.0
2016-07-31,16.0
2016-08-01,13.0
2016-08-02,9.0
2016-08-03,11.0
2016-08-04,7.0
2016-08-05,6.0
2016-08-06,7.0
2016-08-07,8.0
2016-08-08,7.0
2016-08-09,15.0
2016-08-10,7.0
2016-08-11,6.0
2016-08-12,5.0
2016-08-13,2.0
2016-08-14,1.0
2016-08-15,3.0
2016-08-16,7.0
2016-08-17,5.0
2016-08-18,5.0
2016-08-19,7.0
2016-08-20,7.0
2016-08-21,3.0
2016-08-22,5.0
2016-08-23,5.0
2016-08-24,5.0
2016-08-25,5.0
2016-08-26,4.0
2016-08-27,7.0
2016-08-28,3.0
2016-08-29,4.0
2016-08-30,3.0
2016-08-31,4.0
2016-09-01,6.0
2016-09-02,3.0
2016-09-03,4.0
2016-09-04,6.0
2016-09-05,4.0
2016-09-06,5.0
2016-09-07,4.0
2016-09-08,9.0
2016-09-09,6.0
2016-09-10,6.0
2016-09-11,7.0
2016-09-12,11.0
2016-09-13,6.0
2016-09-14,11.0
2016-09-15,6.0
2016-09-16,5.0
2016-09-17,2.0
2016-09-18,5.0
2016-09-19,6.0
2016-09-20,5.0
2016-09-21,4.0
2016-09-22,4.0
2016-09-23,6.0
2016-09-24,5.0
2016-09-25,4.0
2016-09-26,8.0
2016-09-27,63.0
2016-09-28,27.0
2016-09-29,14.0
2016-09-30,11.0
2016-10-01,10.28
2016-10-02,4.89
2016-10-03,7.324
2016-10-04,11.236
2016-10-05,7.824
2016-10-06,9.758
2016-10-07,9.302
2016-10-08,12.692
