date,melania trump
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,1.0
2016-05-04,3.0
2016-05-05,4.0
2016-05-06,2.0
2016-05-07,1.0
2016-05-08,1.0
2016-05-09,1.0
2016-05-10,1.0
2016-05-11,1.0
2016-05-12,0.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,1.0
2016-05-16,1.0
2016-05-17,1.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,1.0
2016-06-09,1.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,1.0
2016-07-17,1.0
2016-07-18,6.0
2016-07-19,100.0
2016-07-20,52.0
2016-07-21,22.0
2016-07-22,18.0
2016-07-23,8.0
2016-07-24,5.0
2016-07-25,3.0
2016-07-26,3.0
2016-07-27,2.0
2016-07-28,3.0
2016-07-29,5.0
2016-07-30,3.0
2016-07-31,11.0
2016-08-01,33.0
2016-08-02,23.0
2016-08-03,8.0
2016-08-04,9.0
2016-08-05,10.0
2016-08-06,6.0
2016-08-07,4.0
2016-08-08,3.0
2016-08-09,2.0
2016-08-10,2.0
2016-08-11,1.0
2016-08-12,1.0
2016-08-13,1.0
2016-08-14,1.0
2016-08-15,1.0
2016-08-16,1.0
2016-08-17,1.0
2016-08-18,1.0
2016-08-19,1.0
2016-08-20,1.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,2.0
2016-08-24,1.0
2016-08-25,1.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-28,1.0
2016-08-29,1.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,1.0
2016-09-02,3.0
2016-09-03,1.0
2016-09-04,1.0
2016-09-05,1.0
2016-09-06,1.0
2016-09-07,0.0
2016-09-08,1.0
2016-09-09,1.0
2016-09-10,1.0
2016-09-11,1.0
2016-09-12,1.0
2016-09-13,1.0
2016-09-14,1.0
2016-09-15,1.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,1.0
2016-09-25,1.0
2016-09-26,1.0
2016-09-27,3.0
2016-09-28,1.0
2016-09-29,1.0
2016-09-30,1.0
2016-10-01,0.9891304347826086
2016-10-02,0.9891304347826086
2016-10-03,0.9891304347826086
2016-10-04,0.9891304347826086
2016-10-05,0.9891304347826086
2016-10-06,0.5
2016-10-07,0.9891304347826086
2016-10-08,6.923913043478261
2016-10-09,6.923913043478261
2016-10-10,7.413043478260869
2016-10-11,3.9565217391304346
2016-10-12,1.9782608695652173
2016-10-13,1.9782608695652173
2016-10-14,2.967391304347826
2016-10-15,1.9782608695652173
2016-10-16,1.9782608695652173
2016-10-17,2.967391304347826
2016-10-18,14.33695652173913
2016-10-19,5.934782608695652
2016-10-20,4.945652173913043
2016-10-21,3.9565217391304346
2016-10-22,2.967391304347826
2016-10-23,1.9782608695652173
2016-10-24,1.4782608695652173
2016-10-25,0.9891304347826086
2016-10-26,0.9891304347826086
2016-10-27,1.9782608695652173
2016-10-28,0.9891304347826086
2016-10-29,0.9891304347826086
2016-10-30,0.9891304347826086
2016-10-31,0.9891304347826086
2016-11-01,0.9891304347826086
2016-11-02,0.9782608695652174
2016-11-03,5.869565217391305
2016-11-04,6.8478260869565215
2016-11-05,6.8478260869565215
2016-11-06,3.9130434782608696
2016-11-07,2.9347826086956523
2016-11-08,6.8478260869565215
2016-11-09,70.43478260869566
2016-11-10,64.56521739130434
2016-11-11,51.84782608695652
2016-11-12,34.23913043478261
2016-11-13,20.543478260869566
2016-11-14,18.58695652173913
2016-11-15,12.717391304347826
2016-11-16,11.73913043478261
2016-11-17,8.804347826086957
2016-11-18,6.8478260869565215
2016-11-19,6.8478260869565215
2016-11-20,7.826086956521739
2016-11-21,7.826086956521739
2016-11-22,5.869565217391305
2016-11-23,3.9130434782608696
2016-11-24,2.9347826086956523
2016-11-25,2.9347826086956523
2016-11-26,2.9347826086956523
2016-11-27,2.9347826086956523
2016-11-28,1.9565217391304348
2016-11-29,1.9565217391304348
2016-11-30,1.9565217391304348
2016-12-01,1.9565217391304348
2016-12-02,1.9565217391304348
2016-12-03,1.9565217391304348
2016-12-04,1.9565217391304348
2016-12-05,1.9565217391304348
2016-12-06,1.9565217391304348
2016-12-07,0.9782608695652174
2016-12-08,0.9782608695652174
2016-12-09,0.9782608695652174
2016-12-10,0.9782608695652174
2016-12-11,0.9782608695652174
2016-12-12,0.9782608695652174
2016-12-13,0.9782608695652174
2016-12-14,0.9782608695652174
2016-12-15,0.9782608695652174
2016-12-16,0.9782608695652174
2016-12-17,0.9782608695652174
2016-12-18,0.9782608695652174
2016-12-19,0.9782608695652174
2016-12-20,1.9565217391304348
2016-12-21,0.9782608695652174
2016-12-22,0.9782608695652174
2016-12-23,0.9782608695652174
2016-12-24,0.9782608695652174
2016-12-25,0.9782608695652174
2016-12-26,0.9782608695652174
2016-12-27,0.9782608695652174
2016-12-28,0.9782608695652174
2016-12-29,0.9782608695652174
2016-12-30,0.9782608695652174
2016-12-31,0.9782608695652174
2017-01-01,1.9565217391304348
2017-01-02,1.9565217391304348
2017-01-03,0.9782608695652174
2017-01-04,0.9782608695652174
2017-01-05,0.9782608695652174
2017-01-06,1.9565217391304348
2017-01-07,1.9565217391304348
2017-01-08,1.9565217391304348
2017-01-09,0.9782608695652174
2017-01-10,0.9782608695652174
2017-01-11,1.9565217391304348
2017-01-12,1.9565217391304348
2017-01-13,1.9565217391304348
2017-01-14,1.9565217391304348
2017-01-15,1.9565217391304348
2017-01-16,1.9565217391304348
2017-01-17,1.9565217391304348
2017-01-18,2.9347826086956523
2017-01-19,5.869565217391305
2017-01-20,68.47826086956522
2017-01-21,97.82608695652173
2017-01-22,38.15217391304348
2017-01-23,23.47826086956522
2017-01-24,24.456521739130434
2017-01-25,20.543478260869566
2017-01-26,14.673913043478262
2017-01-27,12.717391304347826
2017-01-28,11.73913043478261
2017-01-29,10.76086956521739
2017-01-30,7.826086956521739
2017-01-31,6.8478260869565215
2017-02-01,5.869565217391305
2017-02-02,5.869565217391305
2017-02-03,5.869565217391305
2017-02-04,6.8478260869565215
2017-02-05,6.8478260869565215
2017-02-06,4.891304347826087
2017-02-07,5.869565217391305
2017-02-08,5.869565217391305
2017-02-09,4.891304347826087
2017-02-10,3.9130434782608696
2017-02-11,5.869565217391305
2017-02-12,4.891304347826087
2017-02-13,2.9347826086956523
2017-02-14,2.9347826086956523
2017-02-15,3.9130434782608696
2017-02-16,3.9130434782608696
2017-02-17,3.9130434782608696
2017-02-18,3.9130434782608696
2017-02-19,5.869565217391305
2017-02-20,3.9130434782608696
2017-02-21,2.9347826086956523
2017-02-22,2.9347826086956523
2017-02-23,2.9347826086956523
2017-02-24,1.9565217391304348
2017-02-25,1.9565217391304348
2017-02-26,2.9347826086956523
2017-02-27,1.9565217391304348
2017-02-28,1.9565217391304348
2017-03-01,4.585851524445246
2017-03-02,2.739942269529136
2017-03-03,2.135125383366408
2017-03-04,2.0772821576763487
2017-03-05,1.9037524806061699
2017-03-06,1.788066029226051
2017-03-07,1.1832491430633232
2017-03-08,1.6723795778459318
2017-03-09,1.9037524806061699
2017-03-10,1.9615957062962295
2017-03-11,2.7977854952191956
2017-03-12,1.9615957062962295
2017-03-13,1.1832491430633232
2017-03-14,1.0097194659931445
2017-03-15,1.2410923687533826
2017-03-16,1.1254059173732636
2017-03-17,1.7302228035359914
2017-03-18,1.9037524806061699
2017-03-19,1.788066029226051
2017-03-20,1.1832491430633232
2017-03-21,1.1832491430633232
2017-03-22,1.1254059173732636
2017-03-23,1.1254059173732636
2017-03-24,1.7302228035359914
2017-03-25,1.788066029226051
2017-03-26,1.7302228035359914
2017-03-27,1.1254059173732636
2017-03-28,1.2410923687533826
2017-03-29,2.0772821576763487
2017-03-30,1.9615957062962295
2017-03-31,1.6723795778459318
2017-04-01,1.1254059173732636
2017-04-02,1.3882374165614288
2017-04-03,2.6607883817427385
2017-04-04,4.164712249684286
2017-04-05,2.4294154789825004
2017-04-06,2.313729027602381
2017-04-07,2.1980425762222624
2017-04-08,1.8509832220819051
2017-04-09,1.5039238679415479
2017-04-10,1.1568645138011906
2017-04-11,0.9254916110409526
2017-04-12,3.4705935414035722
2017-04-13,1.7352967707017861
2017-04-14,1.5039238679415479
2017-04-15,1.5039238679415479
2017-04-16,1.619610319321667
2017-04-17,2.4294154789825004
2017-04-18,3.0078477358830957
2017-04-19,1.5039238679415479
2017-04-20,1.2725509651813098
2017-04-21,1.1568645138011906
2017-04-22,1.5039238679415479
2017-04-23,1.3882374165614288
2017-04-24,1.2725509651813098
2017-04-25,1.5039238679415479
2017-04-26,2.313729027602381
2017-04-27,2.1980425762222624
2017-04-28,1.9666696734620241
2017-04-29,1.8509832220819051
2017-04-30,1.3882374165614288
2017-05-01,1.1568645138011906
2017-05-02,0.9254916110409526
2017-05-03,2.082356124842143
2017-05-04,1.1568645138011906
2017-05-05,1.3882374165614288
2017-05-06,1.1568645138011906
2017-05-07,1.2725509651813098
2017-05-08,1.1568645138011906
2017-05-09,1.0411780624210716
2017-05-10,1.0411780624210716
2017-05-11,0.9254916110409526
2017-05-12,1.1568645138011906
2017-05-13,1.3882374165614288
2017-05-14,1.619610319321667
2017-05-15,1.3882374165614288
2017-05-16,1.1568645138011906
2017-05-17,1.1568645138011906
2017-05-18,1.1568645138011906
2017-05-19,1.8509832220819051
2017-05-20,4.97451740934512
2017-05-21,5.321576763485477
2017-05-22,7.51961933970774
2017-05-23,9.486289013169763
2017-05-24,11.568645138011908
2017-05-25,9.601975464549882
2017-05-26,9.370602561789644
2017-05-27,8.907856756269169
2017-05-28,5.900009020386072
