date,obama bankruptcy
2016-05-01,33.0
2016-05-02,28.0
2016-05-03,27.0
2016-05-04,28.0
2016-05-05,29.0
2016-05-06,30.0
2016-05-07,33.0
2016-05-08,0.0
2016-05-09,28.0
2016-05-10,0.0
2016-05-11,28.0
2016-05-12,56.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,55.0
2016-05-18,0.0
2016-05-19,42.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,33.0
2016-05-23,28.0
2016-05-24,28.0
2016-05-25,42.0
2016-05-26,29.0
2016-05-27,30.0
2016-05-28,33.0
2016-05-29,0.0
2016-05-30,29.0
2016-05-31,0.0
2016-06-01,28.0
2016-06-02,29.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,28.0
2016-06-08,28.0
2016-06-09,0.0
2016-06-10,59.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,56.0
2016-06-15,0.0
2016-06-16,42.0
2016-06-17,58.0
2016-06-18,0.0
2016-06-19,66.0
2016-06-20,28.0
2016-06-21,56.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,28.0
2016-06-28,0.0
2016-06-29,28.0
2016-06-30,28.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,30.0
2016-07-05,0.0
2016-07-06,29.0
2016-07-07,0.0
2016-07-08,61.0
2016-07-09,0.0
2016-07-10,33.0
2016-07-11,29.0
2016-07-12,28.0
2016-07-13,29.0
2016-07-14,29.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,58.0
2016-07-20,29.0
2016-07-21,0.0
2016-07-22,30.0
2016-07-23,0.0
2016-07-24,33.0
2016-07-25,0.0
2016-07-26,100.0
2016-07-27,29.0
2016-07-28,58.0
2016-07-29,30.0
2016-07-30,0.0
2016-07-31,34.0
2016-08-01,29.0
2016-08-02,0.0
2016-08-03,29.0
2016-08-04,43.0
2016-08-05,0.0
2016-08-06,34.0
2016-08-07,34.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,29.0
2016-08-12,30.0
2016-08-13,0.0
2016-08-14,34.0
2016-08-15,30.0
2016-08-16,29.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,29.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,42.0
2016-08-23,29.0
2016-08-24,28.0
2016-08-25,29.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,33.0
2016-08-29,0.0
2016-08-30,28.0
2016-08-31,28.0
2016-09-01,28.0
2016-09-02,29.0
2016-09-03,33.0
2016-09-04,0.0
2016-09-05,57.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,27.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,29.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,27.0
2016-09-20,27.0
2016-09-21,55.0
2016-09-22,0.0
2016-09-23,29.0
2016-09-24,32.0
2016-09-25,0.0
2016-09-26,27.0
2016-09-27,67.0
2016-09-28,27.0
2016-09-29,27.0
2016-09-30,0.0
2016-10-01,23.5
2016-10-02,37.89453125
2016-10-03,13.5
2016-10-04,12.4921875
2016-10-05,25.97265625
2016-10-06,26.47265625
2016-10-07,53.92578125
2016-10-08,0.0
2016-10-09,45.76953125
2016-10-10,26.953125
2016-10-11,0.0
2016-10-12,26.47265625
2016-10-13,0.0
2016-10-14,34.1796875
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,25.4921875
2016-10-19,25.97265625
2016-10-20,0.0
2016-10-21,13.453125
2016-10-22,14.89453125
2016-10-23,14.89453125
2016-10-24,0.0
2016-10-25,38.4921875
2016-10-26,12.97265625
2016-10-27,39.47265625
2016-10-28,14.0
2016-10-29,45.76953125
2016-10-30,15.5
2016-10-31,26.953125
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,25.9453125
2016-11-04,0.0
2016-11-05,29.7890625
2016-11-06,28.828125
2016-11-07,24.984375
2016-11-08,37.4765625
2016-11-09,82.640625
2016-11-10,63.421875
2016-11-11,26.90625
2016-11-12,29.7890625
2016-11-13,28.828125
2016-11-14,75.9140625
2016-11-15,0.0
2016-11-16,24.984375
2016-11-17,25.9453125
2016-11-18,25.9453125
2016-11-19,0.0
2016-11-20,28.828125
2016-11-21,24.984375
2016-11-22,37.4765625
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,25.9453125
2016-11-26,0.0
2016-11-27,28.828125
2016-11-28,24.984375
2016-11-29,24.984375
2016-11-30,0.0
2016-12-01,24.984375
2016-12-02,25.9453125
2016-12-03,28.828125
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,24.984375
2016-12-08,25.9453125
2016-12-09,26.90625
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,49.96875
2016-12-13,24.984375
2016-12-14,24.984375
2016-12-15,25.9453125
2016-12-16,0.0
2016-12-17,0.0
