date,obama benghazi
2016-05-01,11.0
2016-05-02,0.0
2016-05-03,9.0
2016-05-04,13.0
2016-05-05,9.0
2016-05-06,29.0
2016-05-07,5.0
2016-05-08,16.0
2016-05-09,23.0
2016-05-10,4.0
2016-05-11,13.0
2016-05-12,14.0
2016-05-13,14.0
2016-05-14,11.0
2016-05-15,16.0
2016-05-16,9.0
2016-05-17,9.0
2016-05-18,9.0
2016-05-19,5.0
2016-05-20,0.0
2016-05-21,5.0
2016-05-22,5.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,5.0
2016-05-26,5.0
2016-05-27,5.0
2016-05-28,0.0
2016-05-29,11.0
2016-05-30,14.0
2016-05-31,5.0
2016-06-01,0.0
2016-06-02,28.0
2016-06-03,19.0
2016-06-04,5.0
2016-06-05,11.0
2016-06-06,0.0
2016-06-07,4.0
2016-06-08,14.0
2016-06-09,9.0
2016-06-10,43.0
2016-06-11,16.0
2016-06-12,36.0
2016-06-13,18.0
2016-06-14,27.0
2016-06-15,13.0
2016-06-16,5.0
2016-06-17,14.0
2016-06-18,5.0
2016-06-19,5.0
2016-06-20,9.0
2016-06-21,9.0
2016-06-22,5.0
2016-06-23,9.0
2016-06-24,19.0
2016-06-25,5.0
2016-06-26,21.0
2016-06-27,32.0
2016-06-28,100.0
2016-06-29,82.0
2016-06-30,51.0
2016-07-01,10.0
2016-07-02,16.0
2016-07-03,28.0
2016-07-04,10.0
2016-07-05,9.0
2016-07-06,9.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,11.0
2016-07-10,16.0
2016-07-11,5.0
2016-07-12,5.0
2016-07-13,9.0
2016-07-14,9.0
2016-07-15,5.0
2016-07-16,11.0
2016-07-17,17.0
2016-07-18,14.0
2016-07-19,98.0
2016-07-20,33.0
2016-07-21,23.0
2016-07-22,0.0
2016-07-23,27.0
2016-07-24,43.0
2016-07-25,23.0
2016-07-26,37.0
2016-07-27,18.0
2016-07-28,65.0
2016-07-29,44.0
2016-07-30,6.0
2016-07-31,11.0
2016-08-01,5.0
2016-08-02,23.0
2016-08-03,19.0
2016-08-04,33.0
2016-08-05,20.0
2016-08-06,6.0
2016-08-07,6.0
2016-08-08,9.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,9.0
2016-08-12,10.0
2016-08-13,16.0
2016-08-14,27.0
2016-08-15,5.0
2016-08-16,5.0
2016-08-17,0.0
2016-08-18,9.0
2016-08-19,24.0
2016-08-20,37.0
2016-08-21,5.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,9.0
2016-08-25,5.0
2016-08-26,5.0
2016-08-27,0.0
2016-08-28,5.0
2016-08-29,4.0
2016-08-30,13.0
2016-08-31,9.0
2016-09-01,5.0
2016-09-02,5.0
2016-09-03,5.0
2016-09-04,10.0
2016-09-05,9.0
2016-09-06,4.0
2016-09-07,0.0
2016-09-08,5.0
2016-09-09,5.0
2016-09-10,0.0
2016-09-11,10.0
2016-09-12,0.0
2016-09-13,13.0
2016-09-14,0.0
2016-09-15,5.0
2016-09-16,14.0
2016-09-17,10.0
2016-09-18,0.0
2016-09-19,4.0
2016-09-20,9.0
2016-09-21,31.0
2016-09-22,13.0
2016-09-23,5.0
2016-09-24,10.0
2016-09-25,10.0
2016-09-26,35.0
2016-09-27,35.0
2016-09-28,17.0
2016-09-29,22.0
2016-09-30,23.0
2016-10-01,9.942126514131898
2016-10-02,9.501345895020188
2016-10-03,8.61843876177658
2016-10-04,19.11843876177658
2016-10-05,10.61843876177658
2016-10-06,10.61843876177658
2016-10-07,30.767160161507405
2016-10-08,34.414535666218036
2016-10-09,39.32772543741588
2016-10-10,34.44481830417227
2016-10-11,18.796096904441455
2016-10-12,21.326379542395692
2016-10-13,27.414535666218036
2016-10-14,13.11843876177658
2016-10-15,24.472409152086136
2016-10-16,21.473755047106327
2016-10-17,10.177658142664873
2016-10-18,21.177658142664875
2016-10-19,43.29878869448183
2016-10-20,20.914535666218036
2016-10-21,8.177658142664873
2016-10-22,21.943472409152086
2016-10-23,29.002691790040377
2016-10-24,10.61843876177658
2016-10-25,31.002691790040377
2016-10-26,12.677658142664873
2016-10-27,10.61843876177658
2016-10-28,10.61843876177658
2016-10-29,7.471063257065949
2016-10-30,16.972409152086136
2016-10-31,6.118438761776582
2016-11-01,17.23687752355316
2016-11-02,12.355316285329746
2016-11-03,12.355316285329746
2016-11-04,0.0
2016-11-05,4.942126514131898
2016-11-06,14.002691790040377
2016-11-07,32.123822341857334
2016-11-08,32.123822341857334
2016-11-09,82.36877523553163
2016-11-10,81.54508748317632
2016-11-11,42.831763122476445
2016-11-12,28.005383580080753
2016-11-13,23.063257065948857
2016-11-14,19.768506056527592
2016-11-15,8.236877523553163
2016-11-16,19.768506056527592
2016-11-17,4.118438761776582
2016-11-18,8.236877523553163
2016-11-19,9.06056527590848
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,8.236877523553163
2016-11-23,8.236877523553163
2016-11-24,4.118438761776582
2016-11-25,4.118438761776582
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,4.118438761776582
2016-11-29,4.118438761776582
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,4.118438761776582
2016-12-03,0.0
2016-12-04,4.942126514131898
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,4.118438761776582
2016-12-08,0.0
2016-12-09,4.118438761776582
2016-12-10,0.0
