date,obama inauguration
2016-05-01,28.0
2016-05-02,28.0
2016-05-03,23.0
2016-05-04,27.0
2016-05-05,37.0
2016-05-06,25.0
2016-05-07,23.0
2016-05-08,28.0
2016-05-09,23.0
2016-05-10,19.0
2016-05-11,35.0
2016-05-12,32.0
2016-05-13,12.0
2016-05-14,27.0
2016-05-15,23.0
2016-05-16,12.0
2016-05-17,19.0
2016-05-18,50.0
2016-05-19,79.0
2016-05-20,45.0
2016-05-21,9.0
2016-05-22,9.0
2016-05-23,12.0
2016-05-24,27.0
2016-05-25,24.0
2016-05-26,12.0
2016-05-27,21.0
2016-05-28,9.0
2016-05-29,19.0
2016-05-30,28.0
2016-05-31,16.0
2016-06-01,27.0
2016-06-02,24.0
2016-06-03,17.0
2016-06-04,33.0
2016-06-05,28.0
2016-06-06,27.0
2016-06-07,12.0
2016-06-08,28.0
2016-06-09,16.0
2016-06-10,25.0
2016-06-11,14.0
2016-06-12,27.0
2016-06-13,35.0
2016-06-14,51.0
2016-06-15,19.0
2016-06-16,52.0
2016-06-17,16.0
2016-06-18,19.0
2016-06-19,23.0
2016-06-20,19.0
2016-06-21,8.0
2016-06-22,16.0
2016-06-23,16.0
2016-06-24,41.0
2016-06-25,14.0
2016-06-26,28.0
2016-06-27,31.0
2016-06-28,28.0
2016-06-29,28.0
2016-06-30,36.0
2016-07-01,17.0
2016-07-02,29.0
2016-07-03,14.0
2016-07-04,42.0
2016-07-05,29.0
2016-07-06,25.0
2016-07-07,37.0
2016-07-08,25.0
2016-07-09,19.0
2016-07-10,28.0
2016-07-11,12.0
2016-07-12,27.0
2016-07-13,32.0
2016-07-14,32.0
2016-07-15,45.0
2016-07-16,24.0
2016-07-17,24.0
2016-07-18,36.0
2016-07-19,61.0
2016-07-20,32.0
2016-07-21,25.0
2016-07-22,67.0
2016-07-23,33.0
2016-07-24,19.0
2016-07-25,16.0
2016-07-26,72.0
2016-07-27,52.0
2016-07-28,85.0
2016-07-29,42.0
2016-07-30,48.0
2016-07-31,43.0
2016-08-01,32.0
2016-08-02,24.0
2016-08-03,24.0
2016-08-04,32.0
2016-08-05,29.0
2016-08-06,38.0
2016-08-07,19.0
2016-08-08,28.0
2016-08-09,32.0
2016-08-10,12.0
2016-08-11,12.0
2016-08-12,21.0
2016-08-13,14.0
2016-08-14,10.0
2016-08-15,42.0
2016-08-16,24.0
2016-08-17,20.0
2016-08-18,8.0
2016-08-19,25.0
2016-08-20,32.0
2016-08-21,27.0
2016-08-22,36.0
2016-08-23,48.0
2016-08-24,16.0
2016-08-25,28.0
2016-08-26,17.0
2016-08-27,42.0
2016-08-28,32.0
2016-08-29,27.0
2016-08-30,8.0
2016-08-31,16.0
2016-09-01,31.0
2016-09-02,16.0
2016-09-03,28.0
2016-09-04,32.0
2016-09-05,24.0
2016-09-06,23.0
2016-09-07,16.0
2016-09-08,43.0
2016-09-09,32.0
2016-09-10,18.0
2016-09-11,27.0
2016-09-12,47.0
2016-09-13,39.0
2016-09-14,31.0
2016-09-15,24.0
2016-09-16,40.0
2016-09-17,27.0
2016-09-18,18.0
2016-09-19,34.0
2016-09-20,26.0
2016-09-21,42.0
2016-09-22,42.0
2016-09-23,40.0
2016-09-24,18.0
2016-09-25,31.0
2016-09-26,30.0
2016-09-27,49.0
2016-09-28,15.0
2016-09-29,23.0
2016-09-30,16.0
2016-10-01,15.5
2016-10-02,21.5
2016-10-03,20.5
2016-10-04,9.5
2016-10-05,20.5
2016-10-06,17.0
2016-10-07,21.0
2016-10-08,15.5
2016-10-09,11.0
2016-10-10,23.0
2016-10-11,17.0
2016-10-12,27.0
2016-10-13,28.5
2016-10-14,15.5
2016-10-15,13.0
2016-10-16,10.5
2016-10-17,15.0
2016-10-18,15.0
2016-10-19,50.0
2016-10-20,29.5
2016-10-21,9.5
2016-10-22,30.0
2016-10-23,23.5
2016-10-24,13.0
2016-10-25,16.5
2016-10-26,13.0
2016-10-27,15.0
2016-10-28,15.5
2016-10-29,11.0
2016-10-30,11.0
2016-10-31,7.5
2016-11-01,15.5
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,1.0
2016-11-09,2.0
2016-11-10,1.0
2016-11-11,1.0
2016-11-12,1.0
2016-11-13,0.0
2016-11-14,1.0
2016-11-15,0.0
2016-11-16,1.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,1.0
2016-12-23,1.0
2016-12-24,1.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,1.0
2016-12-29,1.0
2016-12-30,1.0
2016-12-31,1.0
2017-01-01,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,1.0
2017-01-10,2.0
2017-01-11,5.0
2017-01-12,2.0
2017-01-13,2.0
2017-01-14,3.0
2017-01-15,3.0
2017-01-16,4.0
2017-01-17,7.0
2017-01-18,8.0
2017-01-19,14.0
2017-01-20,100.0
2017-01-21,91.0
2017-01-22,42.0
2017-01-23,21.0
2017-01-24,11.0
2017-01-25,7.0
2017-01-26,6.0
2017-01-27,4.0
2017-01-28,3.0
2017-01-29,2.0
2017-01-30,2.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-07,1.0
2017-02-08,1.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,1.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,50.0
2017-03-02,26.0
2017-03-03,36.5
2017-03-04,34.5
2017-03-05,39.0
2017-03-06,27.0
2017-03-07,38.0
2017-03-08,40.5
2017-03-09,28.5
2017-03-10,22.5
2017-03-11,19.5
2017-03-12,28.0
2017-03-13,23.0
2017-03-14,20.5
2017-03-15,25.5
2017-03-16,19.5
2017-03-17,19.0
2017-03-18,17.5
2017-03-19,20.5
2017-03-20,22.0
2017-03-21,22.0
2017-03-22,19.0
2017-03-23,27.0
2017-03-24,16.5
2017-03-25,38.0
2017-03-26,15.0
2017-03-27,18.0
2017-03-28,18.0
2017-03-29,18.5
2017-03-30,25.5
2017-03-31,20.5
2017-04-01,9.0
2017-04-02,37.0
2017-04-03,39.0
2017-04-04,44.0
2017-04-05,37.0
2017-04-06,32.0
2017-04-07,41.0
2017-04-08,28.0
2017-04-09,28.0
2017-04-10,27.0
2017-04-11,29.0
2017-04-12,22.0
2017-04-13,44.0
2017-04-14,30.0
2017-04-15,22.0
2017-04-16,22.0
2017-04-17,36.0
2017-04-18,47.0
2017-04-19,26.0
2017-04-20,48.0
2017-04-21,52.0
2017-04-22,58.0
2017-04-23,36.0
2017-04-24,34.0
2017-04-25,29.0
2017-04-26,28.0
2017-04-27,39.0
2017-04-28,38.0
2017-04-29,28.0
2017-04-30,35.0
2017-05-01,37.0
2017-05-02,23.0
2017-05-03,36.0
2017-05-04,42.0
2017-05-05,27.0
2017-05-06,9.0
2017-05-07,40.0
2017-05-08,34.0
2017-05-09,34.0
2017-05-10,29.0
2017-05-11,37.0
2017-05-12,16.0
2017-05-13,40.0
2017-05-14,22.0
2017-05-15,37.0
2017-05-16,16.0
2017-05-17,42.0
2017-05-18,48.0
2017-05-19,27.0
2017-05-20,44.0
2017-05-21,25.0
2017-05-22,29.0
2017-05-23,57.0
2017-05-24,34.0
2017-05-25,63.0
2017-05-26,43.0
2017-05-27,26.0
2017-05-28,13.0
2017-05-29,30.0
2017-05-30,24.0
2017-05-31,24.0
2017-06-01,22.0
2017-06-02,22.0
2017-06-03,25.0
