date,pepe
2016-05-01,54.0
2016-05-02,48.0
2016-05-03,45.0
2016-05-04,49.0
2016-05-05,49.0
2016-05-06,50.0
2016-05-07,52.0
2016-05-08,52.0
2016-05-09,43.0
2016-05-10,45.0
2016-05-11,46.0
2016-05-12,46.0
2016-05-13,45.0
2016-05-14,49.0
2016-05-15,49.0
2016-05-16,46.0
2016-05-17,43.0
2016-05-18,46.0
2016-05-19,48.0
2016-05-20,47.0
2016-05-21,51.0
2016-05-22,59.0
2016-05-23,49.0
2016-05-24,47.0
2016-05-25,44.0
2016-05-26,47.0
2016-05-27,48.0
2016-05-28,81.0
2016-05-29,74.0
2016-05-30,56.0
2016-05-31,46.0
2016-06-01,46.0
2016-06-02,47.0
2016-06-03,53.0
2016-06-04,52.0
2016-06-05,49.0
2016-06-06,43.0
2016-06-07,41.0
2016-06-08,44.0
2016-06-09,45.0
2016-06-10,45.0
2016-06-11,47.0
2016-06-12,49.0
2016-06-13,42.0
2016-06-14,66.0
2016-06-15,49.0
2016-06-16,46.0
2016-06-17,46.0
2016-06-18,68.0
2016-06-19,49.0
2016-06-20,41.0
2016-06-21,45.0
2016-06-22,46.0
2016-06-23,45.0
2016-06-24,45.0
2016-06-25,75.0
2016-06-26,54.0
2016-06-27,44.0
2016-06-28,42.0
2016-06-29,44.0
2016-06-30,70.0
2016-07-01,51.0
2016-07-02,51.0
2016-07-03,51.0
2016-07-04,45.0
2016-07-05,44.0
2016-07-06,62.0
2016-07-07,47.0
2016-07-08,46.0
2016-07-09,51.0
2016-07-10,100.0
2016-07-11,63.0
2016-07-12,47.0
2016-07-13,44.0
2016-07-14,41.0
2016-07-15,43.0
2016-07-16,49.0
2016-07-17,47.0
2016-07-18,42.0
2016-07-19,43.0
2016-07-20,40.0
2016-07-21,44.0
2016-07-22,44.0
2016-07-23,48.0
2016-07-24,49.0
2016-07-25,42.0
2016-07-26,43.0
2016-07-27,43.0
2016-07-28,42.0
2016-07-29,44.0
2016-07-30,47.0
2016-07-31,47.0
2016-08-01,40.0
2016-08-02,42.0
2016-08-03,41.0
2016-08-04,42.0
2016-08-05,43.0
2016-08-06,48.0
2016-08-07,48.0
2016-08-08,39.0
2016-08-09,41.0
2016-08-10,42.0
2016-08-11,42.0
2016-08-12,43.0
2016-08-13,48.0
2016-08-14,48.0
2016-08-15,41.0
2016-08-16,41.0
2016-08-17,43.0
2016-08-18,42.0
2016-08-19,43.0
2016-08-20,48.0
2016-08-21,46.0
2016-08-22,41.0
2016-08-23,42.0
2016-08-24,42.0
2016-08-25,45.0
2016-08-26,51.0
2016-08-27,55.0
2016-08-28,51.0
2016-08-29,44.0
2016-08-30,44.0
2016-08-31,40.0
2016-09-01,45.0
2016-09-02,44.0
2016-09-03,47.0
2016-09-04,47.0
2016-09-05,42.0
2016-09-06,40.0
2016-09-07,40.0
2016-09-08,41.0
2016-09-09,43.0
2016-09-10,49.0
2016-09-11,49.0
2016-09-12,49.0
2016-09-13,62.0
2016-09-14,57.0
2016-09-15,51.0
2016-09-16,51.0
2016-09-17,60.0
2016-09-18,52.0
2016-09-19,45.0
2016-09-20,44.0
2016-09-21,49.0
2016-09-22,47.0
2016-09-23,50.0
2016-09-24,49.0
2016-09-25,48.0
2016-09-26,44.0
2016-09-27,45.0
2016-09-28,72.0
2016-09-29,90.0
2016-09-30,68.0
2016-10-01,65.6152505446623
2016-10-02,57.01851851851852
2016-10-03,51.44596949891067
2016-10-04,46.556209150326794
2016-10-05,46.89760348583878
2016-10-06,49.58039215686274
2016-10-07,49.763180827886714
2016-10-08,53.47015250544662
2016-10-09,49.92178649237473
2016-10-10,46.37342047930284
2016-10-11,46.714814814814815
2016-10-12,47.056209150326794
2016-10-13,47.89760348583878
2016-10-14,48.42178649237473
2016-10-15,52.287363834422656
2016-10-16,50.42178649237473
2016-10-17,45.190631808278866
2016-10-18,48.238997821350765
2016-10-19,47.556209150326794
2016-10-20,47.714814814814815
2016-10-21,47.89760348583878
2016-10-22,51.60457516339869
