date,president obama putin
2016-05-01,7.724550898203593
2016-05-02,20.59880239520958
2016-05-03,0.0
2016-05-04,26.60678642714571
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,6.8662674650698605
2016-05-10,6.8662674650698605
2016-05-11,0.0
2016-05-12,6.8662674650698605
2016-05-13,6.8662674650698605
2016-05-14,7.724550898203593
2016-05-15,0.0
2016-05-16,6.8662674650698605
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,7.724550898203593
2016-05-22,0.0
2016-05-23,6.8662674650698605
2016-05-24,6.8662674650698605
2016-05-25,0.0
2016-05-26,6.8662674650698605
2016-05-27,6.8662674650698605
2016-05-28,0.0
2016-05-29,7.724550898203593
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,6.8662674650698605
2016-06-03,6.8662674650698605
2016-06-04,7.724550898203593
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,13.732534930139721
2016-06-08,20.59880239520958
2016-06-09,0.0
2016-06-10,14.590818363273453
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,6.8662674650698605
2016-06-15,6.8662674650698605
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,7.724550898203593
2016-06-20,0.0
2016-06-21,6.8662674650698605
2016-06-22,0.0
2016-06-23,6.8662674650698605
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,6.8662674650698605
2016-07-01,6.8662674650698605
2016-07-02,8.582834331337326
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,6.8662674650698605
2016-07-06,0.0
2016-07-07,6.8662674650698605
2016-07-08,6.8662674650698605
2016-07-09,8.582834331337326
2016-07-10,0.0
2016-07-11,6.8662674650698605
2016-07-12,6.8662674650698605
2016-07-13,0.0
2016-07-14,6.8662674650698605
2016-07-15,6.8662674650698605
2016-07-16,7.724550898203593
2016-07-17,0.0
2016-07-18,6.8662674650698605
2016-07-19,13.732534930139721
2016-07-20,6.8662674650698605
2016-07-21,35.18962075848304
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,6.8662674650698605
2016-07-26,20.59880239520958
2016-07-27,13.732534930139721
2016-07-28,20.59880239520958
2016-07-29,6.8662674650698605
2016-07-30,8.582834331337326
2016-07-31,7.724550898203593
2016-08-01,0.0
2016-08-02,13.732534930139721
2016-08-03,0.0
2016-08-04,6.8662674650698605
2016-08-05,6.8662674650698605
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,13.732534930139721
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,6.8662674650698605
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,13.732534930139721
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,6.8662674650698605
2016-08-25,13.732534930139721
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,6.8662674650698605
