date,putin campaign
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,15.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,6.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,12.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,6.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,13.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,6.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,6.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,13.0
2016-06-25,0.0
2016-06-26,7.0
2016-06-27,0.0
2016-06-28,12.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,6.0
2016-07-07,6.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,6.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,19.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,7.0
2016-07-25,19.0
2016-07-26,6.0
2016-07-27,13.0
2016-07-28,6.0
2016-07-29,7.0
2016-07-30,8.0
2016-07-31,15.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,19.0
2016-08-04,6.0
2016-08-05,7.0
2016-08-06,0.0
2016-08-07,7.0
2016-08-08,6.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,7.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,19.0
2016-08-16,12.0
2016-08-17,0.0
2016-08-18,6.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,6.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,6.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,12.0
2016-09-10,0.0
2016-09-11,7.0
2016-09-12,6.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,6.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,12.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,21.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,12.0
2016-09-30,0.0
2016-10-01,7.0
2016-10-02,2.925925925925926
2016-10-03,2.4382716049382718
2016-10-04,5.438271604938272
2016-10-05,12.41358024691358
2016-10-06,3.0
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,14.851851851851851
2016-10-11,98.76543209876543
2016-10-12,27.191358024691358
2016-10-13,12.41358024691358
2016-10-14,4.8765432098765435
2016-10-15,12.364197530864198
2016-10-16,6.827160493827161
2016-10-17,0.0
2016-10-18,2.4382716049382718
2016-10-19,3.0
2016-10-20,15.327160493827162
2016-10-21,13.314814814814815
2016-10-22,8.864197530864198
2016-10-23,5.364197530864198
2016-10-24,7.8765432098765435
2016-10-25,5.438271604938272
2016-10-26,5.438271604938272
2016-10-27,0.0
2016-10-28,5.438271604938272
2016-10-29,12.364197530864198
2016-10-30,3.9012345679012346
2016-10-31,2.4382716049382718
2016-11-01,14.290123456790123
2016-11-02,9.753086419753087
2016-11-03,9.753086419753087
2016-11-04,9.753086419753087
2016-11-05,13.654320987654321
2016-11-06,44.864197530864196
2016-11-07,18.530864197530864
2016-11-08,8.777777777777779
2016-11-09,39.01234567901235
2016-11-10,32.18518518518518
2016-11-11,46.81481481481482
2016-11-12,18.530864197530864
2016-11-13,10.728395061728396
2016-11-14,0.0
2016-11-15,4.8765432098765435
2016-11-16,0.0
2016-11-17,4.8765432098765435
2016-11-18,9.753086419753087
2016-11-19,7.802469135802469
2016-11-20,4.8765432098765435
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,9.753086419753087
2016-11-25,0.0
2016-11-26,4.8765432098765435
2016-11-27,7.802469135802469
2016-11-28,4.8765432098765435
2016-11-29,4.8765432098765435
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,9.753086419753087
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,4.8765432098765435
2016-12-09,4.8765432098765435
2016-12-10,5.851851851851852
2016-12-11,7.802469135802469
2016-12-12,4.8765432098765435
2016-12-13,4.8765432098765435
2016-12-14,13.654320987654321
2016-12-15,13.654320987654321
2016-12-16,9.753086419753087
2016-12-17,5.851851851851852
2016-12-18,5.851851851851852
2016-12-19,9.753086419753087
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,4.8765432098765435
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,5.851851851851852
2016-12-26,0.0
2016-12-27,4.8765432098765435
2016-12-28,0.0
2016-12-29,4.8765432098765435
2016-12-30,10.728395061728396
2016-12-31,5.851851851851852
2017-01-01,0.0
2017-01-02,4.8765432098765435
2017-01-03,4.8765432098765435
2017-01-04,8.777777777777779
2017-01-05,4.8765432098765435
2017-01-06,33.160493827160494
2017-01-07,20.48148148148148
2017-01-08,10.728395061728396
2017-01-09,6.827160493827161
2017-01-10,4.8765432098765435
2017-01-11,15.604938271604938
2017-01-12,6.827160493827161
2017-01-13,0.0
2017-01-14,7.802469135802469
2017-01-15,9.753086419753087
2017-01-16,4.8765432098765435
2017-01-17,4.8765432098765435
2017-01-18,4.8765432098765435
2017-01-19,4.8765432098765435
2017-01-20,4.8765432098765435
2017-01-21,7.802469135802469
2017-01-22,0.0
2017-01-23,4.8765432098765435
2017-01-24,0.0
2017-01-25,4.8765432098765435
2017-01-26,4.8765432098765435
