date,roger stone
2016-05-01,2.34375
2016-05-02,3.90625
2016-05-03,2.34375
2016-05-04,3.90625
2016-05-05,5.46875
2016-05-06,4.6875
2016-05-07,3.125
2016-05-08,3.125
2016-05-09,3.125
2016-05-10,5.46875
2016-05-11,3.90625
2016-05-12,2.34375
2016-05-13,2.34375
2016-05-14,2.34375
2016-05-15,3.125
2016-05-16,3.125
2016-05-17,2.34375
2016-05-18,3.125
2016-05-19,2.34375
2016-05-20,2.34375
2016-05-21,1.5625
2016-05-22,2.34375
2016-05-23,3.125
2016-05-24,3.125
2016-05-25,4.6875
2016-05-26,2.34375
2016-05-27,3.90625
2016-05-28,3.90625
2016-05-29,0.78125
2016-05-30,1.5625
2016-05-31,2.34375
2016-06-01,1.5625
2016-06-02,1.5625
2016-06-03,1.5625
2016-06-04,2.34375
2016-06-05,3.125
2016-06-06,3.125
2016-06-07,3.125
2016-06-08,2.34375
2016-06-09,3.125
2016-06-10,2.34375
2016-06-11,1.5625
2016-06-12,1.5625
2016-06-13,3.125
2016-06-14,3.90625
2016-06-15,2.34375
2016-06-16,3.125
2016-06-17,3.125
2016-06-18,1.5625
2016-06-19,3.125
2016-06-20,3.90625
2016-06-21,2.34375
2016-06-22,1.5625
2016-06-23,1.5625
2016-06-24,1.5625
2016-06-25,1.5625
2016-06-26,1.5625
2016-06-27,1.5625
2016-06-28,1.5625
2016-06-29,1.5625
2016-06-30,1.5625
2016-07-01,1.5625
2016-07-02,2.34375
2016-07-03,2.34375
2016-07-04,1.5625
2016-07-05,1.5625
2016-07-06,2.34375
2016-07-07,2.34375
2016-07-08,1.5625
2016-07-09,2.34375
2016-07-10,1.5625
2016-07-11,0.78125
2016-07-12,2.34375
2016-07-13,2.34375
2016-07-14,2.34375
2016-07-15,2.34375
2016-07-16,1.5625
2016-07-17,1.5625
2016-07-18,3.90625
2016-07-19,4.6875
2016-07-20,3.90625
2016-07-21,15.625
2016-07-22,78.125
2016-07-23,28.90625
2016-07-24,21.09375
2016-07-25,10.9375
2016-07-26,7.8125
2016-07-27,6.25
2016-07-28,4.6875
2016-07-29,3.125
2016-07-30,4.6875
2016-07-31,2.34375
2016-08-01,15.625
2016-08-02,14.84375
2016-08-03,10.9375
2016-08-04,6.25
2016-08-05,9.375
2016-08-06,6.25
2016-08-07,3.90625
2016-08-08,3.125
2016-08-09,4.6875
2016-08-10,3.90625
2016-08-11,3.125
2016-08-12,3.90625
2016-08-13,3.125
2016-08-14,2.34375
2016-08-15,3.90625
2016-08-16,3.90625
2016-08-17,5.46875
2016-08-18,4.6875
2016-08-19,3.125
2016-08-20,3.125
2016-08-21,3.125
2016-08-22,2.34375
2016-08-23,4.6875
2016-08-24,3.125
2016-08-25,3.125
2016-08-26,3.125
2016-08-27,3.90625
