date,russia
2016-05-01,26.0
2016-05-02,16.0
2016-05-03,15.0
2016-05-04,14.0
2016-05-05,15.0
2016-05-06,15.0
2016-05-07,13.0
2016-05-08,14.0
2016-05-09,17.0
2016-05-10,17.0
2016-05-11,16.0
2016-05-12,16.0
2016-05-13,16.0
2016-05-14,20.0
2016-05-15,20.0
2016-05-16,17.0
2016-05-17,16.0
2016-05-18,15.0
2016-05-19,16.0
2016-05-20,16.0
2016-05-21,16.0
2016-05-22,15.0
2016-05-23,15.0
2016-05-24,14.0
2016-05-25,14.0
2016-05-26,14.0
2016-05-27,14.0
2016-05-28,12.0
2016-05-29,13.0
2016-05-30,14.0
2016-05-31,15.0
2016-06-01,15.0
2016-06-02,14.0
2016-06-03,14.0
2016-06-04,13.0
2016-06-05,14.0
2016-06-06,14.0
2016-06-07,14.0
2016-06-08,15.0
2016-06-09,15.0
2016-06-10,20.0
2016-06-11,100.0
2016-06-12,56.0
2016-06-13,23.0
2016-06-14,29.0
2016-06-15,44.0
2016-06-16,23.0
2016-06-17,20.0
2016-06-18,19.0
2016-06-19,18.0
2016-06-20,40.0
2016-06-21,25.0
2016-06-22,15.0
2016-06-23,14.0
2016-06-24,15.0
2016-06-25,14.0
2016-06-26,13.0
2016-06-27,13.0
2016-06-28,13.0
2016-06-29,13.0
2016-06-30,13.0
2016-07-01,13.0
2016-07-02,12.0
2016-07-03,14.0
2016-07-04,13.0
2016-07-05,13.0
2016-07-06,13.0
2016-07-07,13.0
2016-07-08,14.0
2016-07-09,14.0
2016-07-10,14.0
2016-07-11,13.0
2016-07-12,13.0
2016-07-13,13.0
2016-07-14,14.0
2016-07-15,16.0
2016-07-16,16.0
2016-07-17,15.0
2016-07-18,15.0
2016-07-19,15.0
2016-07-20,15.0
2016-07-21,15.0
2016-07-22,15.0
2016-07-23,14.0
2016-07-24,18.0
2016-07-25,17.0
2016-07-26,16.0
2016-07-27,24.0
2016-07-28,21.0
2016-07-29,17.0
2016-07-30,16.0
2016-07-31,16.0
2016-08-01,16.0
2016-08-02,15.0
2016-08-03,15.0
2016-08-04,14.0
2016-08-05,15.0
2016-08-06,20.0
2016-08-07,19.0
2016-08-08,19.0
2016-08-09,19.0
2016-08-10,16.0
2016-08-11,17.0
2016-08-12,17.0
2016-08-13,16.0
2016-08-14,17.0
2016-08-15,20.0
2016-08-16,17.0
2016-08-17,18.0
2016-08-18,16.0
2016-08-19,18.0
2016-08-20,24.0
2016-08-21,20.0
2016-08-22,16.0
2016-08-23,14.0
2016-08-24,14.0
2016-08-25,14.0
2016-08-26,14.0
2016-08-27,13.0
2016-08-28,13.0
2016-08-29,14.0
2016-08-30,13.0
2016-08-31,15.0
2016-09-01,14.0
2016-09-02,14.0
2016-09-03,13.0
2016-09-04,14.0
2016-09-05,16.0
2016-09-06,17.0
2016-09-07,17.0
2016-09-08,17.0
2016-09-09,16.0
2016-09-10,15.0
2016-09-11,14.0
2016-09-12,15.0
2016-09-13,14.0
2016-09-14,15.0
2016-09-15,17.0
2016-09-16,15.0
2016-09-17,14.0
2016-09-18,17.0
2016-09-19,17.0
2016-09-20,21.0
2016-09-21,19.0
2016-09-22,20.0
2016-09-23,20.0
2016-09-24,20.0
2016-09-25,22.0
2016-09-26,16.0
2016-09-27,16.0
2016-09-28,17.0
2016-09-29,16.0
2016-09-30,16.0
2016-10-01,18.055614127569847
2016-10-02,15.206905640484976
2016-10-03,16.092250922509226
2016-10-04,19.826304691618347
2016-10-05,24.138376383763838
2016-10-06,23.253031101739587
2016-10-07,22.675013178703217
2016-10-08,22.36768581971534
2016-10-09,21.982340537691094
2016-10-10,21.789667896678967
2016-10-11,20.404322614654717
2016-10-12,32.18450184501845
2016-10-13,35.725882973115446
2016-10-14,31.299156562994202
2016-10-15,29.835793357933582
2016-10-16,27.179757511860835
2016-10-17,26.98708487084871
2016-10-18,23.753031101739587
2016-10-19,21.789667896678967
2016-10-20,24.831049024775965
2016-10-21,24.831049024775965
2016-10-22,21.789667896678967
2016-10-23,20.01897733263047
2016-10-24,20.904322614654717
2016-10-25,20.01897733263047
2016-10-26,22.175013178703217
2016-10-27,22.175013178703217
2016-10-28,21.096995255666844
2016-10-29,18.055614127569847
2016-10-30,17.862941486557723
2016-10-31,19.826304691618347
2016-11-01,22.86768581971534
2016-11-02,19.26726410121244
