date,spectrum health
2016-05-01,28.0
2016-05-02,93.0
2016-05-03,68.0
2016-05-04,71.0
2016-05-05,70.0
2016-05-06,42.0
2016-05-07,27.0
2016-05-08,27.0
2016-05-09,73.0
2016-05-10,82.0
2016-05-11,94.0
2016-05-12,71.0
2016-05-13,55.0
2016-05-14,32.0
2016-05-15,19.0
2016-05-16,72.0
2016-05-17,90.0
2016-05-18,88.0
2016-05-19,65.0
2016-05-20,59.0
2016-05-21,30.0
2016-05-22,29.0
2016-05-23,74.0
2016-05-24,56.0
2016-05-25,77.0
2016-05-26,69.0
2016-05-27,61.0
2016-05-28,30.0
2016-05-29,22.0
2016-05-30,21.0
2016-05-31,53.0
2016-06-01,77.0
2016-06-02,75.0
2016-06-03,76.0
2016-06-04,38.0
2016-06-05,28.0
2016-06-06,100.0
2016-06-07,76.0
2016-06-08,60.0
2016-06-09,54.0
2016-06-10,54.0
2016-06-11,17.0
2016-06-12,32.0
2016-06-13,76.0
2016-06-14,95.0
2016-06-15,82.0
2016-06-16,55.0
2016-06-17,46.0
2016-06-18,35.0
2016-06-19,32.0
2016-06-20,89.0
2016-06-21,68.0
2016-06-22,63.0
2016-06-23,77.0
2016-06-24,53.0
2016-06-25,22.0
2016-06-26,32.0
2016-06-27,59.0
2016-06-28,69.0
2016-06-29,54.0
2016-06-30,73.0
2016-07-01,60.0
2016-07-02,30.0
2016-07-03,35.0
2016-07-04,30.0
2016-07-05,65.0
2016-07-06,77.0
2016-07-07,71.0
2016-07-08,62.0
2016-07-09,35.0
2016-07-10,23.0
2016-07-11,93.0
2016-07-12,81.0
2016-07-13,66.0
2016-07-14,84.0
2016-07-15,67.0
2016-07-16,25.0
2016-07-17,25.0
2016-07-18,71.0
2016-07-19,79.0
2016-07-20,87.0
2016-07-21,68.0
2016-07-22,56.0
2016-07-23,45.0
2016-07-24,26.0
2016-07-25,64.0
2016-07-26,72.0
2016-07-27,71.0
2016-07-28,66.0
2016-07-29,57.0
2016-07-30,29.0
2016-07-31,27.0
2016-08-01,74.0
2016-08-02,70.0
2016-08-03,75.0
2016-08-04,86.0
2016-08-05,78.0
2016-08-06,36.0
2016-08-07,22.0
2016-08-08,89.0
2016-08-09,86.0
2016-08-10,89.0
2016-08-11,74.0
2016-08-12,57.0
2016-08-13,37.0
2016-08-14,32.0
2016-08-15,76.0
2016-08-16,63.0
2016-08-17,89.0
2016-08-18,78.0
2016-08-19,59.0
2016-08-20,35.0
2016-08-21,33.0
2016-08-22,84.0
2016-08-23,65.0
2016-08-24,72.0
2016-08-25,67.0
2016-08-26,58.0
2016-08-27,38.0
2016-08-28,31.0
2016-08-29,64.0
2016-08-30,82.0
2016-08-31,63.0
2016-09-01,74.0
2016-09-02,55.0
2016-09-03,16.0
2016-09-04,26.0
2016-09-05,42.0
2016-09-06,78.0
2016-09-07,88.0
2016-09-08,86.0
2016-09-09,79.0
2016-09-10,33.0
2016-09-11,34.0
2016-09-12,72.0
2016-09-13,73.0
2016-09-14,51.0
2016-09-15,70.0
2016-09-16,76.0
2016-09-17,36.0
2016-09-18,31.0
2016-09-19,79.0
2016-09-20,63.0
2016-09-21,74.0
2016-09-22,64.0
2016-09-23,74.0
2016-09-24,34.0
2016-09-25,18.0
2016-09-26,79.0
2016-09-27,78.0
2016-09-28,76.0
2016-09-29,69.0
2016-09-30,60.0
2016-10-01,47.24174470182356
2016-10-02,29.75406604238541
2016-10-03,83.10645638245441
2016-10-04,71.96919664859537
2016-10-05,75.0798422868408
2016-10-06,72.04090685066535
2016-10-07,64.66387382947265
2016-10-08,27.409807787087235
2016-10-09,27.520453425332676
2016-10-10,67.34622966978807
2016-10-11,80.64539181862986
2016-10-12,72.76835879743717
2016-10-13,78.96303597831445
2016-10-14,67.11877772301627
2016-10-15,31.137259733859043
2016-10-16,30.25406604238541
2016-10-17,83.22942336126171
2016-10-18,62.618777723016265
2016-10-19,75.27451946771808
2016-10-20,63.930261212419914
2016-10-21,54.7028092656481
2016-10-22,26.831936914736325
2016-10-23,29.25406604238541
2016-10-24,65.62493839329719
2016-10-25,74.69048792508625
2016-10-26,69.61877772301627
2016-10-27,80.45687530803352
2016-10-28,58.930261212419914
2016-10-29,28.25406604238541
2016-10-30,26.948743223262692
2016-10-31,60.430261212419914
2016-11-01,83.18432725480532
2016-11-02,75.61458846722523
2016-11-03,48.872843765401676
2016-11-04,62.704780680138
2016-11-05,33.19664859536718
2016-11-06,23.975357318876295
2016-11-07,65.47116806308527
2016-11-08,76.53671759487433
2016-11-09,41.495810744208974
2016-11-10,89.44652538196156
2016-11-11,80.22523410547068
2016-11-12,32.274519467718086
2016-11-13,24.897486446525384
2016-11-14,65.47116806308527
2016-11-15,49.79497289305077
2016-11-16,76.53671759487433
2016-11-17,78.3809758501725
2016-11-18,62.704780680138
2016-11-19,42.41793987185806
2016-11-20,23.975357318876295
2016-11-21,61.782651552488915
2016-11-22,62.704780680138
2016-11-23,56.249876786594385
2016-11-24,22.13109906357812
2016-11-25,34.118777723016265
2016-11-26,20.28684080827994
2016-11-27,22.13109906357812
2016-11-28,50.717102020699855
2016-11-29,88.52439625431248
2016-11-30,74.69245933957615
2016-12-01,56.249876786594385
2016-12-02,73.77033021192706
2016-12-03,35.04090685066535
2016-12-04,28.586002957121735
2016-12-05,85.7580088713652
2016-12-06,80.22523410547068
2016-12-07,71.92607195662889
2016-12-08,75.61458846722523
2016-12-09,41.495810744208974
2016-12-10,27.66387382947265
2016-12-11,27.66387382947265
2016-12-12,80.22523410547068
2016-12-13,49.79497289305077
2016-12-14,47.95071463775259
2016-12-15,65.47116806308527
2016-12-16,57.17200591424347
2016-12-17,18.442582552981765
2016-12-18,34.118777723016265
2016-12-19,62.704780680138
2016-12-20,66.39329719073436
2016-12-21,72.84820108427797
2016-12-22,47.95071463775259
2016-12-23,43.340068999507146
2016-12-24,19.364711680630855
2016-12-25,12.909807787087235
2016-12-26,39.651552488910795
2016-12-27,62.704780680138
2016-12-28,39.651552488910795
2016-12-29,68.23755544603253
2016-12-30,54.405618531296206
2016-12-31,35.963035978314444
2017-01-01,23.975357318876295
2017-01-02,53.48348940364712
2017-01-03,61.782651552488915
2017-01-04,80.22523410547068
2017-01-05,66.39329719073436
2017-01-06,59.938393297190736
2017-01-07,35.04090685066535
2017-01-08,38.72942336126171
2017-01-09,59.938393297190736
2017-01-10,87.60226712666339
2017-01-11,77.45884672252342
2017-01-12,59.938393297190736
2017-01-13,67.31542631838344
2017-01-14,47.95071463775259
2017-01-15,34.118777723016265
2017-01-16,47.95071463775259
2017-01-17,78.3809758501725
2017-01-18,71.0039428289798
2017-01-19,64.54903893543617
2017-01-20,42.41793987185806
2017-01-21,14.754066042385412
2017-01-22,25.81961557417447
2017-01-23,70.0818137013307
2017-01-24,62.704780680138
2017-01-25,89.44652538196156
2017-01-26,59.01626416954165
2017-01-27,60.86052242483983
2017-01-28,33.19664859536718
2017-01-29,23.975357318876295
2017-01-30,80.22523410547068
2017-01-31,63.626909807787094
2017-02-01,76.53671759487433
2017-02-02,66.39329719073436
2017-02-03,44.26219812715624
2017-02-04,40.57368161655988
2017-02-05,39.651552488910795
2017-02-06,75.61458846722523
2017-02-07,88.52439625431248
2017-02-08,82.99162148841795
2017-02-09,72.84820108427797
2017-02-10,58.094135041892564
2017-02-11,32.274519467718086
2017-02-12,27.66387382947265
2017-02-13,71.0039428289798
2017-02-14,69.15968457368162
2017-02-15,54.405618531296206
2017-02-16,74.69245933957615
2017-02-17,52.561360275998034
