date,trump immigration ban
2016-05-01,0.0
2016-05-02,33.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,67.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,34.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,39.0
2016-06-12,0.0
2016-06-13,97.0
2016-06-14,0.0
2016-06-15,32.0
2016-06-16,0.0
2016-06-17,68.0
2016-06-18,39.0
2016-06-19,39.0
2016-06-20,0.0
2016-06-21,33.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,33.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,34.0
2016-07-08,35.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,33.0
2016-07-13,34.0
2016-07-14,34.0
2016-07-15,69.0
2016-07-16,0.0
2016-07-17,40.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,67.0
2016-07-21,0.0
2016-07-22,70.0
2016-07-23,40.0
2016-07-24,0.0
2016-07-25,66.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,34.0
2016-07-29,0.0
2016-07-30,40.0
2016-07-31,39.0
2016-08-01,100.0
2016-08-02,67.0
2016-08-03,34.0
2016-08-04,34.0
2016-08-05,0.0
2016-08-06,40.0
2016-08-07,40.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,67.0
2016-08-11,34.0
2016-08-12,0.0
2016-08-13,40.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,33.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,33.0
2016-08-24,0.0
2016-08-25,33.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,32.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,32.0
2016-09-07,33.0
2016-09-08,0.0
2016-09-09,33.0
2016-09-10,0.0
2016-09-11,37.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,32.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,36.0
2016-09-19,32.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,37.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,33.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,16.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,15.5
2016-10-12,0.0
2016-10-13,31.5
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,15.5
2016-10-19,15.5
2016-10-20,0.0
2016-10-21,16.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,15.5
2016-10-27,31.0
2016-10-28,16.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,1.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,1.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,5.0
2017-01-26,4.0
2017-01-27,3.0
2017-01-28,28.0
2017-01-29,100.0
2017-01-30,91.0
2017-01-31,63.0
2017-02-01,29.0
2017-02-02,17.0
2017-02-03,13.0
2017-02-04,16.0
2017-02-05,12.0
2017-02-06,11.0
2017-02-07,11.0
2017-02-08,14.0
2017-02-09,11.0
2017-02-10,11.0
2017-02-11,9.0
2017-02-12,3.0
2017-02-13,4.0
2017-02-14,3.0
2017-02-15,3.0
2017-02-16,3.0
2017-02-17,4.0
2017-02-18,2.0
2017-02-19,2.0
2017-02-20,2.0
2017-02-21,2.0
2017-02-22,4.0
2017-02-23,2.0
2017-02-24,3.0
2017-02-25,2.0
2017-02-26,2.0
2017-02-27,2.0
2017-02-28,2.0
2017-03-01,2.776243093922652
2017-03-02,2.0939226519337018
2017-03-03,1.1887661141804788
2017-03-04,1.1685082872928176
2017-03-05,1.0469613259668509
2017-03-06,4.025782688766114
2017-03-07,3.1003683241252302
2017-03-08,1.850828729281768
2017-03-09,2.0331491712707184
2017-03-10,1.5267034990791897
2017-03-11,0.9456721915285451
2017-03-12,1.0672191528545119
2017-03-13,1.1887661141804788
2017-03-14,1.1482504604051567
2017-03-15,1.9318600368324126
2017-03-16,3.080110497237569
2017-03-17,1.0469613259668509
2017-03-18,0.8443830570902394
2017-03-19,0.8646408839779005
2017-03-20,0.9456721915285451
2017-03-21,1.2900552486187844
2017-03-22,1.0672191528545119
2017-03-23,0.9051565377532229
2017-03-24,1.1279926335174955
2017-03-25,0.8646408839779005
2017-03-26,0.7228360957642725
2017-03-27,0.26335174953959484
2017-03-28,1.0469613259668509
2017-03-29,1.0267034990791897
2017-03-30,0.8646408839779005
2017-03-31,0.8443830570902394
2017-04-01,0.10128913443830571
2017-04-02,0.44567219152854515
2017-04-03,1.0128913443830572
2017-04-04,0.9318600368324126
2017-04-05,0.8913443830570903
2017-04-06,0.567219152854512
2017-04-07,0.9318600368324126
2017-04-08,0.5267034990791897
2017-04-09,0.3241252302025783
2017-04-10,0.5267034990791897
2017-04-11,0.6887661141804788
2017-04-12,0.5267034990791897
2017-04-13,0.567219152854512
2017-04-14,0.567219152854512
2017-04-15,0.3241252302025783
2017-04-16,0.5267034990791897
2017-04-17,0.567219152854512
2017-04-18,0.3241252302025783
2017-04-19,0.6482504604051565
2017-04-20,0.3241252302025783
2017-04-21,0.8913443830570903
2017-04-22,0.2430939226519337
2017-04-23,0.3241252302025783
2017-04-24,0.40515653775322286
2017-04-25,0.6482504604051565
2017-04-26,0.9318600368324126
2017-04-27,0.6077348066298343
2017-04-28,0.567219152854512
2017-04-29,0.2430939226519337
2017-04-30,0.283609576427256
2017-05-01,0.6077348066298343
2017-05-02,0.4861878453038674
2017-05-03,0.3241252302025783
2017-05-04,0.20257826887661143
2017-05-05,0.283609576427256
2017-05-06,0.40515653775322286
2017-05-07,0.3241252302025783
2017-05-08,0.567219152854512
2017-05-09,0.44567219152854515
2017-05-10,0.6077348066298343
2017-05-11,0.4861878453038674
2017-05-12,0.8103130755064457
2017-05-13,0.12154696132596685
2017-05-14,0.283609576427256
2017-05-15,0.3241252302025783
2017-05-16,0.44567219152854515
2017-05-17,0.6482504604051565
2017-05-18,0.44567219152854515
2017-05-19,0.2430939226519337
2017-05-20,0.0
2017-05-21,0.12154696132596685
2017-05-22,0.3241252302025783
2017-05-23,0.3241252302025783
2017-05-24,0.567219152854512
2017-05-25,0.567219152854512
2017-05-26,0.5267034990791897
2017-05-27,0.40515653775322286
2017-05-28,0.3241252302025783
2017-05-29,0.12154696132596685
2017-05-30,0.567219152854512
2017-05-31,0.12154696132596685
2017-06-01,0.3241252302025783
2017-06-02,0.4861878453038674
2017-06-03,0.12154696132596685
