date,trump inauguration
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,7.0
2016-05-04,22.0
2016-05-05,15.0
2016-05-06,12.0
2016-05-07,13.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,7.0
2016-05-11,0.0
2016-05-12,7.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,14.0
2016-05-17,0.0
2016-05-18,14.0
2016-05-19,0.0
2016-05-20,11.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,7.0
2016-05-24,0.0
2016-05-25,7.0
2016-05-26,0.0
2016-05-27,8.0
2016-05-28,0.0
2016-05-29,9.0
2016-05-30,0.0
2016-05-31,7.0
2016-06-01,7.0
2016-06-02,0.0
2016-06-03,15.0
2016-06-04,9.0
2016-06-05,0.0
2016-06-06,15.0
2016-06-07,7.0
2016-06-08,7.0
2016-06-09,7.0
2016-06-10,8.0
2016-06-11,0.0
2016-06-12,17.0
2016-06-13,7.0
2016-06-14,18.0
2016-06-15,7.0
2016-06-16,7.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,7.0
2016-06-21,0.0
2016-06-22,7.0
2016-06-23,7.0
2016-06-24,15.0
2016-06-25,0.0
2016-06-26,9.0
2016-06-27,0.0
2016-06-28,7.0
2016-06-29,0.0
2016-06-30,7.0
2016-07-01,0.0
2016-07-02,9.0
2016-07-03,18.0
2016-07-04,0.0
2016-07-05,8.0
2016-07-06,8.0
2016-07-07,8.0
2016-07-08,15.0
2016-07-09,9.0
2016-07-10,9.0
2016-07-11,7.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,7.0
2016-07-15,8.0
2016-07-16,9.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,15.0
2016-07-20,37.0
2016-07-21,8.0
2016-07-22,100.0
2016-07-23,18.0
2016-07-24,13.0
2016-07-25,15.0
2016-07-26,7.0
2016-07-27,22.0
2016-07-28,11.0
2016-07-29,39.0
2016-07-30,9.0
2016-07-31,9.0
2016-08-01,7.0
2016-08-02,7.0
2016-08-03,11.0
2016-08-04,15.0
2016-08-05,12.0
2016-08-06,9.0
2016-08-07,0.0
2016-08-08,7.0
2016-08-09,7.0
2016-08-10,19.0
2016-08-11,0.0
2016-08-12,8.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,12.0
2016-08-16,0.0
2016-08-17,7.0
2016-08-18,0.0
2016-08-19,23.0
2016-08-20,9.0
2016-08-21,0.0
2016-08-22,7.0
2016-08-23,7.0
2016-08-24,0.0
2016-08-25,7.0
2016-08-26,8.0
2016-08-27,17.0
2016-08-28,9.0
2016-08-29,11.0
2016-08-30,7.0
2016-08-31,7.0
2016-09-01,15.0
2016-09-02,15.0
2016-09-03,8.0
2016-09-04,0.0
2016-09-05,15.0
2016-09-06,14.0
2016-09-07,0.0
2016-09-08,15.0
2016-09-09,7.0
2016-09-10,8.0
2016-09-11,17.0
2016-09-12,29.0
2016-09-13,21.0
2016-09-14,14.0
2016-09-15,7.0
2016-09-16,7.0
2016-09-17,17.0
2016-09-18,16.0
2016-09-19,14.0
2016-09-20,14.0
2016-09-21,7.0
2016-09-22,7.0
2016-09-23,7.0
2016-09-24,8.0
2016-09-25,12.0
2016-09-26,14.0
2016-09-27,7.0
2016-09-28,7.0
2016-09-29,18.0
2016-09-30,15.0
2016-10-01,0.0
2016-10-02,10.0
2016-10-03,3.5
2016-10-04,7.0
2016-10-05,3.5
2016-10-06,3.5
2016-10-07,7.0
2016-10-08,0.0
2016-10-09,4.0
2016-10-10,7.0
2016-10-11,3.5
2016-10-12,12.5
2016-10-13,12.0
2016-10-14,3.5
2016-10-15,4.0
2016-10-16,4.0
2016-10-17,3.5
2016-10-18,15.5
2016-10-19,5.0
2016-10-20,20.5
2016-10-21,3.5
2016-10-22,4.0
2016-10-23,8.0
2016-10-24,12.0
2016-10-25,5.0
2016-10-26,10.0
2016-10-27,14.0
2016-10-28,9.0
2016-10-29,8.0
2016-10-30,8.0
2016-10-31,10.5
2016-11-01,3.5
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,2.0
2016-11-10,1.0
2016-11-11,1.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,1.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-23,1.0
2016-12-24,1.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,1.0
2016-12-29,1.0
2016-12-30,1.0
2016-12-31,1.0
2017-01-01,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,1.0
2017-01-09,2.0
2017-01-10,2.0
2017-01-11,4.0
2017-01-12,2.0
2017-01-13,3.0
2017-01-14,4.0
2017-01-15,5.0
2017-01-16,6.0
2017-01-17,7.0
2017-01-18,8.0
2017-01-19,16.0
2017-01-20,100.0
2017-01-21,55.0
2017-01-22,24.0
2017-01-23,13.0
2017-01-24,8.0
2017-01-25,5.0
2017-01-26,4.0
2017-01-27,3.0
2017-01-28,2.0
2017-01-29,2.0
2017-01-30,1.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,50.0
2017-03-02,24.5
