date,trump university fraud
2016-05-01,0.0
2016-05-02,3.9506493506493503
2016-05-03,0.0
2016-05-04,11.851948051948051
2016-05-05,12.729870129870129
2016-05-06,0.0
2016-05-07,9.657142857142857
2016-05-08,7.023376623376623
2016-05-09,8.34025974025974
2016-05-10,0.0
2016-05-11,7.901298701298701
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,4.828571428571428
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,3.9506493506493503
2016-05-18,6.1454545454545455
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,4.828571428571428
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,3.9506493506493503
2016-05-26,4.3896103896103895
2016-05-27,0.0
2016-05-28,4.828571428571428
2016-05-29,4.828571428571428
2016-05-30,0.0
2016-05-31,12.290909090909091
2016-06-01,42.579220779220776
2016-06-02,18.436363636363634
2016-06-03,27.654545454545453
2016-06-04,43.896103896103895
2016-06-05,38.18961038961039
2016-06-06,38.628571428571426
2016-06-07,30.288311688311687
2016-06-08,22.387012987012987
2016-06-09,20.63116883116883
2016-06-10,23.703896103896103
2016-06-11,38.18961038961039
2016-06-12,14.046753246753246
2016-06-13,11.851948051948051
2016-06-14,7.901298701298701
2016-06-15,10.096103896103896
2016-06-16,6.1454545454545455
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,4.828571428571428
2016-06-20,3.9506493506493503
2016-06-21,3.9506493506493503
2016-06-22,6.1454545454545455
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,4.828571428571428
2016-06-27,3.9506493506493503
2016-06-28,0.0
2016-06-29,3.9506493506493503
2016-06-30,4.3896103896103895
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,4.828571428571428
2016-07-04,4.3896103896103895
2016-07-05,6.1454545454545455
2016-07-06,10.535064935064934
2016-07-07,10.535064935064934
2016-07-08,4.3896103896103895
2016-07-09,0.0
2016-07-10,4.828571428571428
2016-07-11,3.9506493506493503
2016-07-12,8.34025974025974
2016-07-13,8.34025974025974
2016-07-14,6.1454545454545455
2016-07-15,8.779220779220779
2016-07-16,0.0
2016-07-17,19.753246753246753
2016-07-18,4.3896103896103895
2016-07-19,4.3896103896103895
2016-07-20,4.3896103896103895
2016-07-21,4.3896103896103895
2016-07-22,10.535064935064934
2016-07-23,4.828571428571428
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,8.34025974025974
2016-07-27,3.9506493506493503
2016-07-28,8.34025974025974
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,4.3896103896103895
2016-08-03,23.264935064935063
2016-08-04,8.34025974025974
2016-08-05,13.168831168831169
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,3.9506493506493503
2016-08-10,3.9506493506493503
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,3.9506493506493503
2016-08-17,0.0
2016-08-18,3.9506493506493503
2016-08-19,4.3896103896103895
2016-08-20,4.828571428571428
2016-08-21,4.828571428571428
2016-08-22,3.9506493506493503
2016-08-23,0.0
2016-08-24,0.0
