date,weiner anthony
2016-05-01,1.0
2016-05-02,0.0
2016-05-03,1.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,1.0
2016-05-07,1.0
2016-05-08,0.0
2016-05-09,1.0
2016-05-10,1.0
2016-05-11,1.0
2016-05-12,2.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,1.0
2016-05-16,1.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,1.0
2016-05-20,2.0
2016-05-21,2.0
2016-05-22,2.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,2.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,2.0
2016-05-30,2.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,2.0
2016-06-05,2.0
2016-06-06,1.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,1.0
2016-06-14,1.0
2016-06-15,1.0
2016-06-16,1.0
2016-06-17,1.0
2016-06-18,1.0
2016-06-19,1.0
2016-06-20,1.0
2016-06-21,0.0
2016-06-22,1.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,1.0
2016-06-26,1.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,1.0
2016-07-04,1.0
2016-07-05,1.0
2016-07-06,0.0
2016-07-07,1.0
2016-07-08,1.0
2016-07-09,1.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,3.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-16,1.0
2016-07-17,1.0
2016-07-18,1.0
2016-07-19,0.0
2016-07-20,1.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,1.0
2016-07-25,1.0
2016-07-26,3.0
2016-07-27,4.0
2016-07-28,3.0
2016-07-29,1.0
2016-07-30,1.0
2016-07-31,1.0
2016-08-01,1.0
2016-08-02,1.0
2016-08-03,1.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,1.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,1.0
2016-08-12,2.0
2016-08-13,3.0
2016-08-14,3.0
2016-08-15,3.0
2016-08-16,2.0
2016-08-17,2.0
2016-08-18,1.0
